operator_id,modality,observable,latent_state_inputs,world_inputs,operator_form,math_models,math_model_ids_FORMULAS_draft,predicted_output,noise_model,systematic_errors_nuisance,support_transform,spatial_support,temporal_support,datum_reference,candidate_tools,operator_status,skru1_data_availability,linked_graph_nodes,linked_processes,status,scope,scale,confidence,source_ids,locator,vn_ids,key_vn_id,key_quote_check,notes
OO-01,levelling,превышения между реперами (геометрическое нивелирование),"u_z(x_i,t) реперов; u_z(x_ref,t) опорного репера",координаты и конструкция реперов; схема ходов; опорные реперы; эпохи циклов,"Δh_ij(t)=[z_i0+u_z(x_i,t)]−[z_j0+u_z(x_j,t)]; отметка H_i(t)=H_ref+ΣΔh; оседание η_i=H_i(t_{m−1})−H_i(t_m)",EV-VN-S024-0189 (η=H_{m−1}−H_m); EV-VN-S012-0203 (СКП),MM-DEF-003,отметки H_i(t_m) и оседания η_i по циклам,случайная: СКП превышения ≤1 мм на 1 км двойного хода (ВКМ); накопление по длине хода ~√L,"смещение опорных реперов (ход, привязанный к реперам барьерного целика); морозное пучение (промерзание 1,75 м); уничтожение/замена реперов; фоновые движения",точечный (репер); разность относительно опорного репера; дискретные эпохи,"реперы вдоль профильных линий (шаг — из графиков, ~20–50 м; уточнить)",от 1 раза в 3 года (<20 мм/год) до ≥3 раз в год (200–400 мм/год) — норматив частоты,"Балтийская система высот (по умолчанию), опорные реперы вне зоны влияния — проверить для СКРУ-1",Python/MATLAB (сетевое уравнивание — вне Phase 1),DESIGN,"СКРУ-1: линия 12 (реперы 45–78, блок 201, с 1989), линия №1 через целик СКРУ-1–СКРУ-2 (30 эпох с 2000), линии 1/5/6/17 (Соликамск, 2011–2016) — только графики; таблицы отметок в корпусе нет",surface_displacement→OBS_LEVELLING; N_FROST_SOIL/N_REF_INSTABILITY/N_EARTHWORKS/N_REGIONAL_BG→OBS_LEVELLING,PC-60;PC-52;PC-66,FACT,SKRU1,FIELD,HIGH,VKM-SRC-012;VKM-SRC-011;VKM-SRC-024,"VKM-SRC-012 p.42 (§2.1); VKM-SRC-012 p.41 (§2.1 pp.41-42); VKM-SRC-012 p.41 (§2.1); VKM-SRC-011 p.131 (Рис. 4.7б); VKM-SRC-012 p.51 (Рис. 2.8 (300 dpi)); VKM-SRC-012 p.43 (§2.2); VKM-SRC-012 p.41 (§2.1); VKM-SRC-024 p.73 (формула (2), §6.3.1)",EV-VN-S012-0203;EV-VN-S012-0200;EV-VN-S012-0197;EV-VN-S011-2097;EV-VN-S012-0240;EV-VN-S012-0208;EV-VN-S012-0198;EV-VN-S024-0189,EV-VN-S012-0203,FUZZY_80,оператор готов по форме; данные требуют оцифровки/доступа (GAP-010)
OO-02,profile_line,"производные величины профильной линии: наклоны, кривизна, скорости оседания","u_z(x,t) вдоль линии","длины интервалов l, порядок реперов",i=(η_n−η_{n−1})/l; K=(i_m−i_{m−1})/l_ср; v=(X_k−X_{k−1})/(t_k−t_{k−1}),EV-VN-S024-0191; EV-VN-S024-0192; EV-VN-S024-0193 (опечатка в источнике); EV-VN-S024-0198,MM-DEF-003,"i, K, v по интервалам и эпохам",распространение ошибок нивелирования на разности/вторые разности (усиливается делением на l),как в OO-01; ошибки длины интервала,интервал между реперами; межцикловые разности,интервалы 20–50 м (уточнить),эпохи нивелирования,"относительные величины (не зависят от датума, кроме опорного дрейфа)",Python,DESIGN,как OO-01,surface_displacement→SD_STRAIN→OBS_LEVELLING/OBS_HORIZ,PC-60;PC-69,FACT,GENERAL_METHOD,FIELD,HIGH,VKM-SRC-024,"VKM-SRC-024 p.73 (формула (3), pp.73-74); VKM-SRC-024 p.74 (формула (4), p.74); VKM-SRC-024 p.74 (формула (5), p.74); VKM-SRC-024 p.75 (§6.3.1 p.75); VKM-SRC-024 p.72 (§6.3.1 pp.72-75)",EV-VN-S024-0191;EV-VN-S024-0192;EV-VN-S024-0193;EV-VN-S024-0198;EV-VN-S024-0332,EV-VN-S024-0332,EXACT,формула кривизны (2-я) в VKM-SRC-024 напечатана с ошибкой — использовать K=(i_m−i_{m−1})/l_ср
OO-03,horizontal_deformation,длины интервалов между реперами (тахеометр/лента),"u_h(x,t) вдоль линии (проекция на направление линии)","азимут линии, начальные длины d0","d_ij(t)=|X_j+u(x_j,t)−X_i−u(x_i,t)|; ε=(d_2−d_1)/d; ξ_i=D_i(t)−D_i(t0)",EV-VN-S024-0195; EV-VN-S024-0196; EV-VN-S024-0197,MM-DEF-003,горизонтальные деформации ε и сдвижения ξ,"относительная точность 1:10 000 (ВКМ); огибающие СКП горизонтальных смещений ~±10–12 мм (СКРУ-2, визуально)",температурные поправки ленты; нестабильность опорного репера,интервал; проекция на ось линии,интервалы профильной линии,эпохи,опорный пункт линии,Python,DESIGN,горизонтальные ряды СКРУ-1 в корпусе не найдены,surface_displacement/SD_STRAIN→OBS_HORIZ,PC-61;PC-69,FACT,VKM_REGIONAL,FIELD,HIGH,VKM-SRC-012;VKM-SRC-024;VKM-SRC-011,"VKM-SRC-012 p.42 (§2.1); VKM-SRC-024 p.74 (формула (6), p.74); VKM-SRC-024 p.74 (формула (7), pp.74-75); VKM-SRC-012 p.47 (Рис. 2.3); VKM-SRC-011 p.35 (текст с.68-69; рис. 1.65, 1.66, 1.68)",EV-VN-S012-0204;EV-VN-S024-0195;EV-VN-S024-0196;EV-VN-S012-0226;EV-VN-S011-0653,EV-VN-S012-0204,EXACT,
OO-04,gnss,"координаты пунктов (E, N, U) по эпохам или непрерывно","u(x_p,t) (3 компоненты)",координаты пунктов; опорная станция; система координат,"Δx_p(t)=u(x_p,t)−u(x_ref,t)+ε",TEXTBOOK (разности координат),,3D смещения пунктов,мм-уровень в относительном режиме (общие данные); для СКРУ-1 не указано,опорная станция в зоне влияния; пункты на насыпях/отвалах; сезонные эффекты антенны (UNKNOWN),точка (антенна),отдельные пункты,эпохи (Старобин: 35 сут) или непрерывно,система координат пунктов — уточнить (WGS84/МСК-59?),Python,DESIGN,на СКРУ-1 ГНСС-данных нет (только предложение Филатовой); СКРУ-2: пункт 507 (79 мм планового смещения 2015–2020),surface_displacement→OBS_GNSS,PC-62,FACT,SKRU2,FIELD,MEDIUM,VKM-SRC-012;VKM-SRC-006;VKM-SRC-009;VKM-SRC-023,VKM-SRC-012 p.43 (§2.2 pp.43-44); VKM-SRC-012 p.44 (§2.2); VKM-SRC-006 p.53 (§5.1 pp.53–54); VKM-SRC-009 p.7 (Таблица 2 «Сравнение результатов полевых данных и результато); VKM-SRC-023 p.106 (rendered p.106; §4.3 para 6-8),EV-VN-S012-0209;EV-VN-S012-0214;EV-VN-S006-0130;EV-VN-S009-0033;EV-VN-S023-0473,EV-VN-S012-0214,EXACT,интервалы ГНСС и InSAR не совпадают (Старобин: 35 сут vs 13 сут) — сравнение только при согласовании эпох
OO-05,insar,разность фаз / смещение по лучу визирования (LOS) относительно опорной точки,"u_E, u_N, u_U(x,t) в пикселе/PS; u в опорной точке","трек (asc/desc), угол падения θ, азимут β, λ, даты сцен, опорная точка, маски","d_LOS(x,t1,t2)=[u(x,t2)−u(x,t1)]·ê_LOS − [то же в x_ref] + φ_atm·λ/4π + δ_nuis; U_LOS=U_Z cosθ+sinθ(U_N sinβ−U_E cosβ)","EV-VN-S003-0068; EV-VN-S003-0069 (TSX: 0,815U_Z−0,075U_N+0,574U_E); EV-VN-S003-0070 (S1); EV-VN-S003-0281/0282 (S1 asc/desc θ=40°); EV-VN-S009-0019 (2π ↔ λ/2)",MM-INSAR-012;MM-INSAR-013;MM-INSAR-002,LOS-смещения по парам; суммарные сезонные LOS-смещения; средние скорости PS,"атмосферная ошибка 0,8–1,4 см на пару (ВКМ); уровень шума средней скорости ~20,7 мм/год (СКРУ-2, 2022); 11-сут сигнал сравним с шумом; СКО снижается с числом сцен (~3,7 см → ~0,6 см, визуально)",усадка солеотвалов; тепловое расширение зданий (3–5 см весной); декорреляция от земляных работ и снега; горизонтальная компонента у провалов; нестабильность опорной точки; ограничение градиента λ/2 на пиксель (развёртка),пиксель/PS (м–десятки м); разность с опорной точкой; только бесснежный сезон (5–6 мес),"площадная, пиксель 1,8×1,9 м (TSX) / ~5×20 м (S1, внешнее)","повтор 11 сут (TSX), 12 сут (S1); зимний пробел","относительно опорной точки/зоны, предполагаемой стабильной",Python (оператор); SNAP/GAMMA/ISCE — обработка вне Phase 1,DESIGN,"СКРУ-1: карта скоростей PS 2016 (−60…+60 мм/год), сезонные ряды 2011–2013, карта 2011 (зоны 1–7, зона 8 поднятие) — параметры съёмки не указаны (open question EV-VN-S001-0083)",surface_displacement→OBS_INSAR; N_*→OBS_INSAR,PC-63;PC-52;PC-66,FACT,SKRU1,FIELD,HIGH,VKM-SRC-003;VKM-SRC-001;VKM-SRC-002,"VKM-SRC-003 p.21 (формула (1.4); стр.20-21); VKM-SRC-003 p.21 (формула (1.5)); VKM-SRC-003 p.21 (формула (1.6)); VKM-SRC-001 p.11 (текст с.11); VKM-SRC-003 p.69 (§3.4 p.69, Рис. 3.18); VKM-SRC-003 p.33 (§2.2); VKM-SRC-001 p.18 (Рис.7); VKM-SRC-003 p.31 (§2.1 (стр.31-32)); VKM-SRC-002 p.14 (слайд 14, карта 'Карта скоростей оседаний территории деятель); VKM-SRC-002 p.14 (слайд 14, врезка-график 'Оседания, мм' май 2011 - август 201); VKM-SRC-001 p.12 (Рис.3); VKM-SRC-003 p.28 (§1.3)",EV-VN-S003-0068;EV-VN-S003-0069;EV-VN-S003-0070;EV-VN-S001-0032;EV-VN-S003-0250;EV-VN-S003-0112;EV-VN-S001-0062;EV-VN-S003-0107;EV-VN-S002-0027;EV-VN-S002-0030;EV-VN-S001-0038;EV-VN-S003-0092,EV-VN-S003-0068,NOT_FOUND,"InSAR ≠ нивелирование: разная поддержка (площадь vs точка), разный датум, разная временная выборка"
OO-06,insar,«субвертикальное» смещение из одной геометрии (производный продукт),d_LOS; θ,угол падения θ,"U_Z* = U_LOS / cosθ (Бабаянц; TSX: ≈1,23·U_LOS) — смещение, если горизонталь пренебрежима; конфликт: в VKM-SRC-009 напечатано d_vert = d_LOS × cosθ",EV-VN-S003-0073; EV-VN-S003-0121; EV-VN-S004-0038; EV-VN-S009-0023 (конфликт); EV-VN-S009-0024,MM-INSAR-014;MM-INSAR-026,субвертикальные смещения/скорости,"как OO-05, умноженная на 1/cosθ","горизонтальная компонента (коэффициент при U_E ~0,57–0,64) → смещение оси мульды и ошибка у провалов",как OO-05,как OO-05,как OO-05,как OO-05,Python,DESIGN,"продукты по СКРУ-1 публиковались как субвертикальные/вертикальные — нужно знать, какое преобразование применено",OBS_INSAR (производный продукт),PC-63;PC-69,FACT,GENERAL_METHOD,FIELD,HIGH,VKM-SRC-003;VKM-SRC-004;VKM-SRC-009,"VKM-SRC-003 p.21 (формула (1.7)); VKM-SRC-003 p.35 (§2.2 (применение формулы 1.7)); VKM-SRC-004 p.7 (p.7 (formula stated verbally, no number)); VKM-SRC-009 p.4 (§8 Преобразование фазы в смещения); VKM-SRC-009 p.4 (§8 vs standard LOS geometry); VKM-SRC-003 p.47 (§3.2 p.47); VKM-SRC-003 p.61 (§3.3 p.61)",EV-VN-S003-0073;EV-VN-S003-0121;EV-VN-S004-0038;EV-VN-S009-0023;EV-VN-S009-0024;EV-VN-S003-0177;EV-VN-S003-0220,EV-VN-S003-0073,FUZZY_93,"конфликт PCF-02: ×cosθ vs ÷cosθ; при сравнении с моделью использовать прямой оператор OO-05, а не обратную конверсию"
OO-07,insar,двухгеометрийная (asc+desc) декомпозиция: вертикаль и восток–запад,"u_U, u_E (u_N пренебрегается)","θ1, β1, θ2, β2; синхронизация эпох",Û_z=(d2 sinθ1 cosβ1 − d1 sinθ2 cosβ2)/(sinθ1 cosθ2 cosβ1 − sinθ2 cosθ1 cosβ2) (формула 4.4),EV-VN-S003-0284; EV-VN-S003-0283,MM-INSAR-015;MM-INSAR-014,вертикальная и E–W компоненты,сумма шумов двух геометрий; ошибка от несинхронности эпох,северная компонента (почти не наблюдаема),общая сетка,площадная,общие интервалы,опорная точка,Python,DESIGN,двух геометрий по СКРУ-1 в корпусе нет,OBS_INSAR,PC-63,FACT,GENERAL_METHOD,FIELD,HIGH,VKM-SRC-003,"VKM-SRC-003 p.78 (формула (4.4)); VKM-SRC-003 p.78 (§4.1.1 p.78); VKM-SRC-003 p.91 (§4.2.3, рис. 4.7 Е)",EV-VN-S003-0284;EV-VN-S003-0283;EV-VN-S003-0353,EV-VN-S003-0284,FUZZY_82,
OO-08,hydrostatic_levelling,относительные вертикальные смещения датчиков внутри контура здания,"u_z(x_s,t) датчиков здания","контур, опорный датчик, размеры здания","ΔU_i(t)=u_z(x_i,t)−u_z(x_ref,t); β_ij=|U_i−U_j|/L_ij; наклон — плоскостная аппроксимация",EV-VN-S017-0013; EV-VN-S017-0016,MM-DEF-001;MM-DEF-002,"дифференциальные осадки, наклоны, β",~1 мм; диапазон 65–70 мм,"перепады температуры, высыхание, дискретность",внутри одного здания (относительно),здание,непрерывно/автоматически,локальная плоскость воды в контуре,Python,DESIGN,на СКРУ-1 не применялось (данные — Березники),surface_displacement/SD_STRAIN→OBS_HYDROSTATIC,PC-64,ANALOGUE,OTHER_VKM_SITE,FIELD,HIGH,VKM-SRC-017,VKM-SRC-017 p.2 (Метод гидростатического нивелирования); VKM-SRC-017 p.2 (p.2 (unnumbered formula)); VKM-SRC-017 p.2 (p.2); VKM-SRC-017 p.3 (Рис. 2); VKM-SRC-017 p.7 (p.7),EV-VN-S017-0009;EV-VN-S017-0013;EV-VN-S017-0016;EV-VN-S017-0021;EV-VN-S017-0046,EV-VN-S017-0009,FUZZY_62,не измеряет абсолютное оседание; сравнивать только разности
OO-09,convergence,"смещения контурных марок / конвергенция камер (полярный метод, рулетки)","u(x_contour,t) кровли, почвы, стенок; поперечная деформация МКЦ","сечения станций, положения марок, опорная точка",c(t)=|x_A+u_A−x_B−u_B|−|x_A−x_B|; ε_целика=Δb/b,"EV-VN-S034-0041 (ε⊥/ε∥=1,6)",,"конвергенция, деформация целика",проектные требования: цикл ≤3 мес; точность — по проекту станции,"повреждение марок, отжим поверхности, взрывные работы",сечение выработки/целика,станции в камерах/штреках,циклы (≤3 мес),локальная система станции,Python,DESIGN,данных станций СКРУ-1 нет; аналог БКПРУ-4 (11.2013–12.2020),PE_CONVERGENCE/PE_PILLAR_CREEP→OBS_CONVERGENCE,PC-65;PC-29,ANALOGUE,BKPRU4,FIELD,HIGH,VKM-SRC-034;VKM-SRC-024;VKM-SRC-021,"VKM-SRC-034 p.2 (§ участок 1; рис. 1б); VKM-SRC-034 p.2 (§ участок 1; рис. 2б, 2в); VKM-SRC-024 p.65 (§6.2.4, Рис. 19); VKM-SRC-024 p.56 (§6.2.2 pp.56-57); VKM-SRC-021 p.2 (введение)",EV-VN-S034-0015;EV-VN-S034-0016;EV-VN-S024-0169;EV-VN-S024-0148;EV-VN-S021-0015,EV-VN-S034-0016,EXACT,"ключевой оператор для идентификации реологии целиков, если данные будут получены"
OO-10,borehole_logging,глубинные реперы: осевые смещения по глубине (расслоение),"u_z(z_k,t) в скважине; раскрытие контактов",глубины анкеров,"Δl_k(t)=u(z_k,t)−u(z_ref,t)",—,,профиль смещений/расслоения по глубине,3 мм (проектное требование),—,скважина,скважины в кровле/почве,как станции,устье/опорный анкер,Python,DESIGN,нет,DD_OVERBURDEN_FIELD/PE_INTERFACE→OBS_DEEP_BENCH,PC-65;PC-26,MODEL_CHOICE,GENERAL_METHOD,DESIGN,MEDIUM,VKM-SRC-024,VKM-SRC-024 p.57 (§6.2.2); VKM-SRC-024 p.65 (§6.2.4 pp.65-66); VKM-SRC-024 p.69 (§6.2.5 p.69),EV-VN-S024-0149;EV-VN-S024-0173;EV-VN-S024-0180,EV-VN-S024-0173,NOT_FOUND,проектная схема (Гремячинск) — ANALOGUE
