lineage_id,verdict,version_order,version_role,applies_to,vn_id,source_id,record_kind,pdf_pages,locator,distortion_type,reference_vn_ids,counts_as_independent,required_original_or_cited,required_status,required_scope,required_scale,global_rule_flags,downstream_must_say,status,scope,confidence,notes
LIN-01,EDITION_DRIFT,1,REFERENCE,RECORD,EV-VN-S037-0880,VKM-SRC-037,engineering_rule,166,"pdf p.166-167, ф.(8.123)-(8.128)",REFERENCE,EV-VN-S037-0881;EV-VN-S037-0884;EV-VN-S037-0891;EV-VN-S037-0898,,,,,,,LIN-01 (Степень нагружения МКЦ C и допустимое [C]): версия-эталон линии (ближайшая к первоисточнику в корпусе),DERIVATION,PROJECT,MEDIUM,generic requirement from distortion types
LIN-01,EDITION_DRIFT,1,REFERENCE,RECORD,EV-VN-S037-0881,VKM-SRC-037,formula,166,"pdf p.166-167, ф.(8.123)-(8.128)",REFERENCE,EV-VN-S037-0880;EV-VN-S037-0884;EV-VN-S037-0891;EV-VN-S037-0898,,,,,,,LIN-01 (Степень нагружения МКЦ C и допустимое [C]): версия-эталон линии (ближайшая к первоисточнику в корпусе),DERIVATION,PROJECT,MEDIUM,generic requirement from distortion types
LIN-01,EDITION_DRIFT,1,REFERENCE,RECORD,EV-VN-S037-0884,VKM-SRC-037,formula,166,"pdf p.166-167, ф.(8.123)-(8.128)",REFERENCE,EV-VN-S037-0880;EV-VN-S037-0881;EV-VN-S037-0891;EV-VN-S037-0898,,,,,,,LIN-01 (Степень нагружения МКЦ C и допустимое [C]): версия-эталон линии (ближайшая к первоисточнику в корпусе),DERIVATION,PROJECT,MEDIUM,generic requirement from distortion types
LIN-01,EDITION_DRIFT,1,REFERENCE,RECORD,EV-VN-S037-0891,VKM-SRC-037,parameter,167,"pdf p.166-167, ф.(8.123)-(8.128)",REFERENCE,EV-VN-S037-0880;EV-VN-S037-0881;EV-VN-S037-0884;EV-VN-S037-0898,,,,,,,LIN-01 (Степень нагружения МКЦ C и допустимое [C]): версия-эталон линии (ближайшая к первоисточнику в корпусе),DERIVATION,PROJECT,MEDIUM,generic requirement from distortion types
LIN-01,EDITION_DRIFT,1,REFERENCE,RECORD,EV-VN-S037-0898,VKM-SRC-037,formula,167,"pdf p.166-167, ф.(8.123)-(8.128)",REFERENCE,EV-VN-S037-0880;EV-VN-S037-0881;EV-VN-S037-0884;EV-VN-S037-0891,,,,,,,LIN-01 (Степень нагружения МКЦ C и допустимое [C]): версия-эталон линии (ближайшая к первоисточнику в корпусе),DERIVATION,PROJECT,MEDIUM,generic requirement from distortion types
LIN-01,EDITION_DRIFT,4,DERIVED_VERSION,RECORD,EV-VN-S032-0003,VKM-SRC-032,formula,1,"pdf p.1, ф.(1)",NONE_VERBATIM,EV-VN-S037-0880;EV-VN-S037-0881;EV-VN-S037-0884;EV-VN-S037-0891;EV-VN-S037-0898,N,,,,,,LIN-01 (Степень нагружения МКЦ C и допустимое [C]): дословная копия версии-эталона — не независимое подтверждение,DERIVATION,PROJECT,HIGH,generic requirement from distortion types
LIN-01,EDITION_DRIFT,4,DERIVED_VERSION,RECORD,EV-VN-S032-0004,VKM-SRC-032,engineering_rule,1,"pdf p.1, ф.(1)",NONE_VERBATIM,EV-VN-S037-0880;EV-VN-S037-0881;EV-VN-S037-0884;EV-VN-S037-0891;EV-VN-S037-0898,N,,,,,,LIN-01 (Степень нагружения МКЦ C и допустимое [C]): дословная копия версии-эталона — не независимое подтверждение,DERIVATION,PROJECT,HIGH,generic requirement from distortion types
LIN-01,EDITION_DRIFT,5,DERIVED_VERSION,RECORD,EV-VN-S031-0002,VKM-SRC-031,formula,1,pdf p.1,SIMPLIFICATION,EV-VN-S037-0880;EV-VN-S037-0881;EV-VN-S037-0884;EV-VN-S037-0891;EV-VN-S037-0898,N,,,,,,LIN-01 (Степень нагружения МКЦ C и допустимое [C]): форма упрощена относительно эталона — использовать эталонную форму,DERIVATION,PROJECT,HIGH,generic requirement from distortion types
LIN-01,EDITION_DRIFT,5,DERIVED_VERSION,RECORD,EV-VN-S031-0005,VKM-SRC-031,formula,1,pdf p.1,SIMPLIFICATION,EV-VN-S037-0880;EV-VN-S037-0881;EV-VN-S037-0884;EV-VN-S037-0891;EV-VN-S037-0898,N,,,,,,LIN-01 (Степень нагружения МКЦ C и допустимое [C]): форма упрощена относительно эталона — использовать эталонную форму,DERIVATION,PROJECT,HIGH,generic requirement from distortion types
LIN-01,EDITION_DRIFT,6,DERIVED_VERSION,RECORD,EV-VN-S019-0014,VKM-SRC-019,engineering_rule,2,"pdf p.2, п.5",CONTEXT_SHIFT,EV-VN-S037-0880;EV-VN-S037-0881;EV-VN-S037-0884;EV-VN-S037-0891;EV-VN-S037-0898,N,,,,,,LIN-01 (Степень нагружения МКЦ C и допустимое [C]): условия применения отличаются от эталона — хранить условия вместе со значением,DERIVATION,PROJECT,HIGH,generic requirement from distortion types
LIN-01,EDITION_DRIFT,7,DERIVED_VERSION,RECORD,EV-VN-S027-0018,VKM-SRC-027,parameter,3,pdf p.3,ATTRIBUTION_VAGUE,EV-VN-S037-0880;EV-VN-S037-0881;EV-VN-S037-0884;EV-VN-S037-0891;EV-VN-S037-0898,N,,,,,,LIN-01 (Степень нагружения МКЦ C и допустимое [C]): первоисточник назван неопределённо — original_or_cited=CITED (источник не установлен),DERIVATION,PROJECT,MEDIUM,generic requirement from distortion types
LIN-01,EDITION_DRIFT,7,DERIVED_VERSION,RECORD,EV-VN-S027-0019,VKM-SRC-027,engineering_rule,3,pdf p.3,ATTRIBUTION_VAGUE,EV-VN-S037-0880;EV-VN-S037-0881;EV-VN-S037-0884;EV-VN-S037-0891;EV-VN-S037-0898,N,,,,,,LIN-01 (Степень нагружения МКЦ C и допустимое [C]): первоисточник назван неопределённо — original_or_cited=CITED (источник не установлен),DERIVATION,PROJECT,MEDIUM,generic requirement from distortion types
LIN-01,EDITION_DRIFT,8,DERIVED_VERSION,RECORD,EV-VN-S012-0259,VKM-SRC-012,formula,54,"pdf p.54-55, ф.(2.1)-(2.3)",CONTEXT_SHIFT,EV-VN-S037-0880;EV-VN-S037-0881;EV-VN-S037-0884;EV-VN-S037-0891;EV-VN-S037-0898,N,,,,,,LIN-01 (Степень нагружения МКЦ C и допустимое [C]): условия применения отличаются от эталона — хранить условия вместе со значением,DERIVATION,PROJECT,HIGH,generic requirement from distortion types
LIN-01,EDITION_DRIFT,8,DERIVED_VERSION,RECORD,EV-VN-S012-0260,VKM-SRC-012,formula,54,"pdf p.54-55, ф.(2.1)-(2.3)",CONTEXT_SHIFT,EV-VN-S037-0880;EV-VN-S037-0881;EV-VN-S037-0884;EV-VN-S037-0891;EV-VN-S037-0898,N,,,,,,LIN-01 (Степень нагружения МКЦ C и допустимое [C]): условия применения отличаются от эталона — хранить условия вместе со значением,DERIVATION,PROJECT,HIGH,generic requirement from distortion types
LIN-01,EDITION_DRIFT,8,DERIVED_VERSION,RECORD,EV-VN-S012-0262,VKM-SRC-012,formula,55,"pdf p.54-55, ф.(2.1)-(2.3)",CONTEXT_SHIFT,EV-VN-S037-0880;EV-VN-S037-0881;EV-VN-S037-0884;EV-VN-S037-0891;EV-VN-S037-0898,N,,,,,,LIN-01 (Степень нагружения МКЦ C и допустимое [C]): условия применения отличаются от эталона — хранить условия вместе со значением,DERIVATION,PROJECT,HIGH,generic requirement from distortion types
LIN-01,EDITION_DRIFT,9,DERIVED_VERSION,RECORD,EV-VN-S034-0023,VKM-SRC-034,parameter,2,pdf p.2,NONE,EV-VN-S037-0880;EV-VN-S037-0881;EV-VN-S037-0884;EV-VN-S037-0891;EV-VN-S037-0898,N,,,,,,LIN-01 (Степень нагружения МКЦ C и допустимое [C]): передача без искажений версии-эталона,DERIVATION,PROJECT,MEDIUM,generic requirement from distortion types
LIN-01,EDITION_DRIFT,10,DERIVED_VERSION,RECORD,EV-VN-S023-0174,VKM-SRC-023,formula,36,pdf p.36 §2.4,SIMPLIFICATION,EV-VN-S037-0880;EV-VN-S037-0881;EV-VN-S037-0884;EV-VN-S037-0891;EV-VN-S037-0898,N,,,,,,LIN-01 (Степень нагружения МКЦ C и допустимое [C]): форма упрощена относительно эталона — использовать эталонную форму,DERIVATION,PROJECT,HIGH,generic requirement from distortion types
LIN-02,SECONDARY_COPY_TERM_SHIFT,1,REFERENCE,RECORD,EV-VN-S025-0855,VKM-SRC-025,parameter,157,pdf p.157 (рис.6.4); p.162 табл.6.1,REFERENCE,EV-VN-S025-0873;EV-VN-S025-0874;EV-VN-S025-0875;EV-VN-S025-0882;EV-VN-S025-0885;EV-VN-S025-0888;EV-VN-S025-0890;EV-VN-S025-0892,,,,,LAB,,"LIN-02 (Коэффициент длительной прочности соляных пород (КС/сильвинит/карналлит)): эталон: безразмерный лабораторный коэффициент длительной прочности (σ∞/σпр) по сериям образцов VKM-SRC-025; LAB, не MASSIF",DERIVATION,PROJECT,HIGH,hand-written requirement (lineages_data.DOWNSTREAM)
LIN-02,SECONDARY_COPY_TERM_SHIFT,1,REFERENCE,RECORD,EV-VN-S025-0873,VKM-SRC-025,parameter,162,pdf p.157 (рис.6.4); p.162 табл.6.1,REFERENCE,EV-VN-S025-0855;EV-VN-S025-0874;EV-VN-S025-0875;EV-VN-S025-0882;EV-VN-S025-0885;EV-VN-S025-0888;EV-VN-S025-0890;EV-VN-S025-0892,,,,,LAB,,"LIN-02 (Коэффициент длительной прочности соляных пород (КС/сильвинит/карналлит)): эталон: безразмерный лабораторный коэффициент длительной прочности (σ∞/σпр) по сериям образцов VKM-SRC-025; LAB, не MASSIF",DERIVATION,PROJECT,HIGH,hand-written requirement (lineages_data.DOWNSTREAM)
LIN-02,SECONDARY_COPY_TERM_SHIFT,1,REFERENCE,RECORD,EV-VN-S025-0874,VKM-SRC-025,parameter,162,pdf p.157 (рис.6.4); p.162 табл.6.1,REFERENCE,EV-VN-S025-0855;EV-VN-S025-0873;EV-VN-S025-0875;EV-VN-S025-0882;EV-VN-S025-0885;EV-VN-S025-0888;EV-VN-S025-0890;EV-VN-S025-0892,,,,,LAB,,"LIN-02 (Коэффициент длительной прочности соляных пород (КС/сильвинит/карналлит)): эталон: безразмерный лабораторный коэффициент длительной прочности (σ∞/σпр) по сериям образцов VKM-SRC-025; LAB, не MASSIF",DERIVATION,PROJECT,HIGH,hand-written requirement (lineages_data.DOWNSTREAM)
LIN-02,SECONDARY_COPY_TERM_SHIFT,1,REFERENCE,RECORD,EV-VN-S025-0875,VKM-SRC-025,parameter,162,pdf p.157 (рис.6.4); p.162 табл.6.1,REFERENCE,EV-VN-S025-0855;EV-VN-S025-0873;EV-VN-S025-0874;EV-VN-S025-0882;EV-VN-S025-0885;EV-VN-S025-0888;EV-VN-S025-0890;EV-VN-S025-0892,,,,,LAB,,"LIN-02 (Коэффициент длительной прочности соляных пород (КС/сильвинит/карналлит)): эталон: безразмерный лабораторный коэффициент длительной прочности (σ∞/σпр) по сериям образцов VKM-SRC-025; LAB, не MASSIF",DERIVATION,PROJECT,HIGH,hand-written requirement (lineages_data.DOWNSTREAM)
LIN-02,SECONDARY_COPY_TERM_SHIFT,2,REFERENCE,RECORD,EV-VN-S025-0882,VKM-SRC-025,parameter,163,pdf p.163 табл.6.2,REFERENCE,EV-VN-S025-0855;EV-VN-S025-0873;EV-VN-S025-0874;EV-VN-S025-0875;EV-VN-S025-0885;EV-VN-S025-0888;EV-VN-S025-0890;EV-VN-S025-0892,,,,,LAB,,"LIN-02 (Коэффициент длительной прочности соляных пород (КС/сильвинит/карналлит)): разброс по монолитам (K_t∞ 0,36–0,62 в зависимости от h/d) хранить вместе со сводным интервалом; LAB",DERIVATION,PROJECT,HIGH,hand-written requirement (lineages_data.DOWNSTREAM)
