canonical_source_id,canonical_path,alias_path,alias_kind,sha256,is_canonical,independent_evidence
DERIVED,data/published_figure_digitization_v1/source_profile_1_native.png,artifacts/reconstruction/musikhin_line1_2011_2016_v1/inputs/source_line1_native.png,file,254b82c1eb8aecb1dbacd071257cbade8d69bfca628367af6f067bafc114ea97,False,no (alias)
DERIVED,data/published_figure_digitization_v1/source_profile_1_native.png,data/published_figure_digitization_v1/source_profile_1_native.png,file,254b82c1eb8aecb1dbacd071257cbade8d69bfca628367af6f067bafc114ea97,True,canonical copy
DERIVED,data/published_figure_digitization_v1/source_profile_1_native.png,work/profile_line1/inspect/Image157.png,file,254b82c1eb8aecb1dbacd071257cbade8d69bfca628367af6f067bafc114ea97,False,no (alias)
DIG01,data/published_figure_digitization_v1/musikhin_profiles_digitization.csv,data/published_figure_digitization_v1/musikhin_profiles_digitization.csv,file,2fc8ac5cd0a40eff9c230e641fe5a3c1a7e1522d41dd989d9abf7eda4af02761,True,canonical copy
DIG01,data/published_figure_digitization_v1/musikhin_profiles_digitization.csv,work/handoff/reference_figures/musikhin_p15_digitized_profiles.csv,file,2fc8ac5cd0a40eff9c230e641fe5a3c1a7e1522d41dd989d9abf7eda4af02761,False,no (alias)
DERIVED,data/published_figure_digitization_v1/source_profile_6_native.png,data/published_figure_digitization_v1/source_profile_6_native.png,file,3d68aef28ce7c2398a2bed91cb6894bdcd95d7d0f894ede10b57e2ae2bcdf325,True,canonical copy
DERIVED,data/published_figure_digitization_v1/source_profile_6_native.png,work/profile_line1/inspect/Image163.png,file,3d68aef28ce7c2398a2bed91cb6894bdcd95d7d0f894ede10b57e2ae2bcdf325,False,no (alias)
SRC01,inputs/sources/primary/ВКР_Филатова_М_С.docx,inputs/sources/primary/ВКР_Филатова_М_С.docx,file,45978d5fc446fa35d0b3e271c44a5790bc5b4101321b20f8078ff83dc8ae2931,True,canonical copy
SRC01,inputs/sources/primary/ВКР_Филатова_М_С.docx,SKRU1_ACTUAL_DATA_TABLES_v1/01_reconstruction_v3_2/source_inputs/╨Æ╨Ü╨á_╨ñ╨╕╨╗╨░╤é╨╛╨▓╨░_╨£_╨í.docx,file,45978d5fc446fa35d0b3e271c44a5790bc5b4101321b20f8078ff83dc8ae2931,False,no (alias)
SRC01,inputs/sources/primary/ВКР_Филатова_М_С.docx,work/run_01/source/SKRU1_data_reconstruction_v3_2/source_inputs/╨Æ╨Ü╨á_╨ñ╨╕╨╗╨░╤é╨╛╨▓╨░_╨£_╨í.docx,file,45978d5fc446fa35d0b3e271c44a5790bc5b4101321b20f8078ff83dc8ae2931,False,no (alias)
SRC01,inputs/sources/primary/ВКР_Филатова_М_С.docx,work/run_02/source/SKRU1_data_reconstruction_v3_2/source_inputs/╨Æ╨Ü╨á_╨ñ╨╕╨╗╨░╤é╨╛╨▓╨░_╨£_╨í.docx,file,45978d5fc446fa35d0b3e271c44a5790bc5b4101321b20f8078ff83dc8ae2931,False,no (alias)
DERIVED,SKRU1_ACTUAL_DATA_TABLES_v1/04_excel_workbooks/HISTORICAL_baseline_audit_v3_1.xlsx,SKRU1_ACTUAL_DATA_TABLES_v1/04_excel_workbooks/HISTORICAL_baseline_audit_v3_1.xlsx,file,664b9820d69049bcd07538878051d194b3087e81373d4b7d88f4b90a9fa569c3,True,canonical copy
DERIVED,SKRU1_ACTUAL_DATA_TABLES_v1/04_excel_workbooks/HISTORICAL_baseline_audit_v3_1.xlsx,SKRU1_ACTUAL_DATA_TABLES_v1/05_audit_and_result_tables/v3_1_baseline_audit/SKRU1_v3_1_baseline_audit.xlsx,file,664b9820d69049bcd07538878051d194b3087e81373d4b7d88f4b90a9fa569c3,False,no (alias)
BOOT02,inputs/bootstrap/SKRU1_v3_2_EDA_targets_v1.zip,inputs/bootstrap/SKRU1_v3_2_EDA_targets_v1.zip,file,7a654c9989ff51494b077d602205e047e69b1733f50573353e8870f94179a387,True,canonical copy
BOOT02,inputs/bootstrap/SKRU1_v3_2_EDA_targets_v1.zip,SKRU1_ACTUAL_DATA_TABLES_v1/07_original_archives/SKRU1_v3_2_EDA_targets_v1.zip,file,7a654c9989ff51494b077d602205e047e69b1733f50573353e8870f94179a387,False,no (alias)
DERIVED,data/published_figure_digitization_v1/source_profile_5_native.png,data/published_figure_digitization_v1/source_profile_5_native.png,file,7ccbcd0bc9300472354f1e53cdc54851e682998be9d97b3463a8de6567936fb2,True,canonical copy
DERIVED,data/published_figure_digitization_v1/source_profile_5_native.png,work/profile_line1/inspect/Image159.png,file,7ccbcd0bc9300472354f1e53cdc54851e682998be9d97b3463a8de6567936fb2,False,no (alias)
BOOT01,inputs/bootstrap/SKRU1_data_reconstruction_v3_2.zip,inputs/bootstrap/SKRU1_data_reconstruction_v3_2.zip,file,b179505c22d7513e53622816532e174a0bd0611173a8a0f64a1250a3362ca99a,True,canonical copy
BOOT01,inputs/bootstrap/SKRU1_data_reconstruction_v3_2.zip,SKRU1_ACTUAL_DATA_TABLES_v1/07_original_archives/SKRU1_data_reconstruction_v3_2.zip,file,b179505c22d7513e53622816532e174a0bd0611173a8a0f64a1250a3362ca99a,False,no (alias)
DERIVED,data/published_figure_digitization_v1/source_profile_17_native.png,data/published_figure_digitization_v1/source_profile_17_native.png,file,bfef815b174e50db7add90a0debca2d9f4c06e2c6fdc0fded600a5e5b558eef0,True,canonical copy
DERIVED,data/published_figure_digitization_v1/source_profile_17_native.png,work/profile_line1/inspect/Image161.png,file,bfef815b174e50db7add90a0debca2d9f4c06e2c6fdc0fded600a5e5b558eef0,False,no (alias)
DERIVED,SKRU1_ACTUAL_DATA_TABLES_v1/01_reconstruction_v3_2/geodata/skru1_data_reconstruction_v3_2.gpkg,SKRU1_ACTUAL_DATA_TABLES_v1/01_reconstruction_v3_2/geodata/skru1_data_reconstruction_v3_2.gpkg,file,d2fe44ffeaccaba20141e530dee320427b2bf5d0c2cd525c99350a991448673b,True,canonical copy
DERIVED,SKRU1_ACTUAL_DATA_TABLES_v1/01_reconstruction_v3_2/geodata/skru1_data_reconstruction_v3_2.gpkg,work/run_01/source/SKRU1_data_reconstruction_v3_2/geodata/skru1_data_reconstruction_v3_2.gpkg,file,d2fe44ffeaccaba20141e530dee320427b2bf5d0c2cd525c99350a991448673b,False,no (alias)
DERIVED,SKRU1_ACTUAL_DATA_TABLES_v1/01_reconstruction_v3_2/geodata/skru1_data_reconstruction_v3_2.gpkg,work/run_02/source/SKRU1_data_reconstruction_v3_2/geodata/skru1_data_reconstruction_v3_2.gpkg,file,d2fe44ffeaccaba20141e530dee320427b2bf5d0c2cd525c99350a991448673b,False,no (alias)
DERIVED,SKRU1_ACTUAL_DATA_TABLES_v1.zip,SKRU1_ACTUAL_DATA_TABLES_v1.zip,file,edcced26f827fc1d24939eabb86d1a1cf5a41669ebe2b9e680af9a955cb733a7,True,canonical copy
