request_id,parameter_or_topic,why_needed,currently_known,missing,preferred_source_type,search_keywords_ru,search_keywords_en,site_specific_importance,solver_impact
MER-01,"Первичная публикация профилей 1/5/17/6 (2011–2016, 2015–2016)","Атрибуция рудника, даты кампаний, класс нивелирования, datum",Только слайд SUP01 p.15 (geokniga),"Статья/отчёт с эпохами, реперами, картой линий","Статья ПНИПУ/отчёт, Вестник ПНИПУ, Маркшейдерский вестник",Мусихин профильные линии Соликамск нивелирование радарная интерферометрия 2011 2016; сводные графики оседаний по профильным линиям СКРУ,Musikhin Solikamsk leveling profile lines InSAR 2011-2016 comparison,CRITICAL для claim domain,Наблюдательный оператор/валидация миров
MER-02,"Журналы/каталоги высот реперов профильных линий СКРУ-1 (≥2 эпох, лучше многолетние)","Идентификация временных законов, реальный календарь, пропуски",Нет,"Эпохи, отметки, σ","Отчёты маркшейдерской службы, ГИ УрО РАН",каталог отметок реперов профильная линия СКРУ-1 нивелирование II класса,benchmark height catalogue SKRU-1 leveling,CRITICAL,Калибровка/валидация
MER-03,"Исходные TAB/Excel Филатовой (zone_pol, otrpol_*, факт_закл_*, Параметры_шахтного_поля_СКРУ1, ОСЕДАНИЯ_2022)",3D-геометрия выработок и хронология по всем блокам,Изображения и 14 строк таблиц,Полигоны + атрибуты 1665 записей,Данные предприятия через научного руководителя,параметры шахтного поля СКРУ1 дата отработки закладка MapInfo,SKRU-1 mine panels MapInfo extraction dates backfill,CRITICAL для геометрии/хронологии,"Mesh, excavation sequence"
MER-04,"Скважинные колонки и мощности слоёв над СКРУ-1 (ПКС, ВЗТ, надсолевая толща, междупластья)",Stratigraphy для мира,Региональные диапазоны,Разрезы по скважинам с отметками,Кудряшов 2001/2013; геологические отчёты; Трапезников 2018,геологический разрез СКРУ-1 скважины мощность водозащитной толщи Соликамск,Solikamsk potash mine borehole section water-protective strata thickness,HIGH,Геометрия слоёв/mesh
MER-05,"Физико-механические свойства по слоям (ρ, E, ν, c, φ, σр) для СКРУ-1/северной части ВКМ",Материалы,"Регион. распределения UCS (EXT01), слоевые свойства ЕвроХим-УКК",Значения для СКРУ-1 и надсолевых пород,"ГИ УрО РАН, Асанов/Токсаров/Паньков; Кашников 2019 (полный текст); Барях–Константинова–Асанов 1996",физико-механические свойства сильвинит каменная соль модуль упругости коэффициент Пуассона Верхнекамское СКРУ,Verkhnekamsk salt rock Young modulus Poisson ratio laboratory tests,HIGH,Материальные параметры
MER-06,Параметры ползучести массива (не только лаборатория): калибровка по конвергенции/экстензометрам ВКМ,Реология мира,"Лаб. Нортон (EXT02), формы законов (EXT05)","Параметры для масштаба массива, температура",Константинова 1993; Барях–Самоделкина 2005; Ермашов 2015; Паньков,ползучесть соляных пород массив конвергенция параметры Деринга-Киля Верхнекамское,rock salt creep parameters in situ convergence Verkhnekamsk Döring-Kiehl,HIGH,Временная динамика
MER-07,Начальное напряжённое состояние (K0) в соляном массиве ВКМ,Initial stress,Только неверно атрибутированный 1.2–1.5γH,Измерения/обоснование,Статьи ГИ УрО РАН; гидроразрыв; разгрузка,начальное поле напряжений соляной массив Верхнекамское горизонтальные напряжения,in situ stress salt Verkhnekamsk horizontal,MEDIUM,Начальные условия
MER-08,Барях и др. 2005 ФТПРПИ №4 'Прогноз нарастания оседаний…',Временная функция оседаний ВКМ,Только библиографическая запись,Полный текст,ФТПРПИ архив/elibrary,прогноз нарастания оседаний земной поверхности свита калийных пластов,prediction of subsidence growth potash seams Baryakh 2005,HIGH,Временной оператор
MER-09,Указания по защите рудников от затопления (2014/2022/2023),"Нормативные углы, функции S(z), коэффициенты","Выдержки через EXT03, EXT04",Полный документ,Официальный документ Уралкалия (ограниченный доступ),Указания по защите рудников от затопления и охране подрабатываемых объектов Верхнекамского,—,MEDIUM,Совместимость миров
MER-10,Температура пород на глубинах 150–450 м ВКМ,Термозависимая ползучесть (CreepBGRa),Не найдено,Геотерм/замеры,"Геологические отчёты, термокаротаж",температура пород Верхнекамское месторождение глубина геотермический градиент,rock temperature Verkhnekamsk geothermal gradient,LOW–MEDIUM,Реология
MER-11,"Коэффициенты закладки/усадки (A, B) и даты закладки по блокам",η_ok и хронология,Типы и годы для 11 зон,"A, B по блокам",Борзаковский–Папулов 1994; данные предприятия,закладка калийных рудников коэффициент усадки закладочного массива Верхнекамское,backfill shrinkage coefficient potash Verkhnekamsk,HIGH,Поздняя динамика
MER-12,Лебедева 2022 (mining-science.ru) и её диссертация (spmi.ru),Пример 3D геомеханической модели ВКМ,Ссылка в RESEARCH_DIRECTION,"Прочтение, параметры",Диссертация СПГУ,Лебедева геомеханическая модель Верхнекамское,—,MEDIUM,Шаблон мира
MER-13,Ермашов 2015 (автореферат),Модели Деринга–Киля на ВКМ; обоснование расчёта оседаний,Ссылка EXT05,Параметры и валидация,ГИ УрО РАН,Ермашов геомеханическое обоснование расчетов оседаний калийно-магниевых руд,—,HIGH,Реология/валидация
MER-14,"Операторы наблюдения: σ отметки нивелирования СКРУ-1, частота кампаний",Observation operator для миров,"Нормативы (не локально), догадки",Реальные σ и расписание,Проект наблюдательной станции,проект наблюдательной станции СКРУ-1 периодичность нивелирования,—,MEDIUM,Оператор наблюдения
MER-15,Годы отработки блоков под мульдой 2016 (−50…−70 мм/год) и сопоставление номеров блоков SUP01 p.14 ↔ Филатова рис.13а/17,Связь хронологии и скоростей,Номера блоков на обеих схемах,Проверенное соответствие,Совместная привязка растров,—,—,HIGH,Проверка физической гипотезы
