check_id,domain,check,status,severity,observed,expected,interpretation
R01,temporal,Balanced process-family design,PASS,critical,"{'decaying': 28, 'uniform_creep': 26, 'stable': 18, 'accelerating': 12, 'reactivated': 8, 'step_change': 6}","{'decaying': 28, 'uniform_creep': 26, 'stable': 18, 'accelerating': 12, 'reactivated': 8, 'step_change': 6}",Acceleration is localized rather than dominant.
R02,temporal,Regime is time-dependent,PASS,critical,"{'count': 98.0, 'mean': 2.489795918367347, 'std': 1.0378893924262853, 'min': 1.0, '25%': 2.0, '50%': 3.0, '75%': 3.0, 'max': 5.0}",>=2 stages for every non-stable WORK point,
R03,temporal,Nominal high-rate tail reduced,PASS,high,"{'max': 194.06722627731386, '>250_frac': 0.0}","{'max': '<=220', '>250_frac': 0}",
R04,sampling,Focused campaigns are true subsets,PASS,critical,"{'count': 14.0, 'mean': 0.14229024943310656, 'std': 0.014422182832679025, 'min': 0.1111111111111111, '25%': 0.14285714285714285, '50%': 0.14285714285714285, '75%': 0.14285714285714285, 'max': 0.16666666666666666}",max<0.45,
R05,sampling,Missing observations are explicit,PASS,high,"{'observed': 2057, 'not_targeted': 1503, 'missing_access': 39, 'missing_weather': 26, 'missing_instrument': 18, 'missing_destroyed': 11}",>0 typed missing records,
R06,sampling,Long and irregular intervals exist,PASS,high,"{'count': 28.0, 'mean': 97.5, 'std': 53.47792898840501, 'min': 35.0, '25%': 68.25, '50%': 91.0, '75%': 112.0, 'max': 322.0}",max>=240 and min<=45 days,
R07,leakage,Model-ready physically excludes hidden/terminal fields,PASS,critical,[],[],
R08,lineage,Point-level provenance uncertainty donor distance,PASS,high,"{'rows': 1134, 'columns': ['point_id', 'profile_id', 'point_type', 'feature', 'value', 'unit', 'provenance', 'standard_uncertainty', 'donor_distance_m', 'source_cell_id', 'model_feature_allowed', 'source_reference_year']}",>=882 rows and required fields,
R09,GNSS,Stratified GNSS network,PASS,critical,"{'points': 56, 'profiles': {'P-D01': 4, 'P-H01': 4, 'P-H02': 4, 'P-H03': 4, 'P-H04': 4, 'P-H05': 4, 'P-H06': 4, 'P-H07': 4, 'P-V01': 4, 'P-V02': 4, 'P-V03': 4, 'P-V04': 4, 'P-V05': 4, 'P-V06': 4}}","56 points, four strata/profile",
R10,InSAR,Independent spatial-temporal InSAR field,PASS,critical,"{'points': 600, 'unique_ratio': 1.0, 'nearest_truth_column': False}","{'unique_ratio': '>0.99', 'nearest_truth_column': False}",
R11,stress,Stress scenarios cover four strata,PASS,high,"{'background': 18, 'moderate': 18, 'high': 18, 'unseen_spatial': 18}","{'background': 18, 'moderate': 18, 'high': 18, 'unseen_spatial': 18}",
R12,early_warning,Separate early-acceleration task has positives,PASS,critical,"{'nominal_split_positives': {'test': 10, 'train': 25, 'validation': 8}, 'stress_positives': 232}",positive labels in all splits and stress,
R13,external,Frozen no-retraining external harness,PASS,critical,"{'status': 'PASS', 'note': 'Software smoke test on synthetic records only; not external validation.'}",software smoke PASS; real status pending,
R14,InSAR,First epoch is zero,PASS,high,0.0,0,
R15,temporal,Reference points remain stable,PASS,critical,0,0,
R16,formula,Tilt and curvature recompute,PASS,high,"{'tilt': 0.0, 'curvature': 1.6653345369377348e-16}",<1e-6,
R17,sensors,Uncertainty coverage is calibrated,PASS,high,"[{'sensor': 'leveling', 'n': 2039, 'MAE_mm': 0.6358624476261783, 'RMSE_mm': 0.802735653684681, 'bias_mm': 0.06368095474221627, 'coverage95': 0.9450711132908288, 'mean_sigma_mm': 0.8300820154638355}, {'sensor': 'GNSS', 'n': 844, 'MAE_mm': 2.706647955392313, 'RMSE_mm': 3.4724352360345887, 'bias_mm': -0.2869741964626759, 'coverage95': 0.9845971563981043, 'mean_sigma_mm': 4.355090778609824}, {'sensor': 'InSAR', 'n': 19800, 'MAE_mm': 5.184086034946883, 'RMSE_mm': 6.501098141678582, 'bias_mm': 0.22841862147230613, 'coverage95': 0.9745959595959596, 'mean_sigma_mm': 7.426323974548912}]",>=0.93,
R18,integrity,All requirement checks pass,PASS,critical,18,18,
