constraint_id,domain,quantity,lower_bound,upper_bound,unit,allowed_values,basis_type,source_id,source_location,dependency,confidence,use_scope,status,notes
MUS-P1-LEVELING-2011-2016-SIGNED-DISP,published_spatial_profile,signed_displacement_envelope,-349.3,-96.1,mm,,published_graph_digitization,SUP01,"geokniga-02obrabotka.pdf, p.15, profile 1, leveling, 2011-2016","profile label, method, observation interval and printed categorical position order",medium,scenario_conditioning_and_stress_design_not_parameter_prior,SOURCE_ENVELOPE,Envelope of 10 readable digitized values; not a time series and not mapped to synthetic points.
MUS-P1-LEVELING-2015-2016-SIGNED-DISP,published_spatial_profile,signed_displacement_envelope,-69.9,0.6,mm,,published_graph_digitization,SUP01,"geokniga-02obrabotka.pdf, p.15, profile 1, leveling, 2015-2016","profile label, method, observation interval and printed categorical position order",medium,scenario_conditioning_and_stress_design_not_parameter_prior,SOURCE_ENVELOPE,Envelope of 14 readable digitized values; not a time series and not mapped to synthetic points.
MUS-P1-RADAR-2011-2016-SIGNED-DISP,published_spatial_profile,signed_displacement_envelope,-369.6,-15.5,mm,,published_graph_digitization,SUP01,"geokniga-02obrabotka.pdf, p.15, profile 1, radar, 2011-2016","profile label, method, observation interval and printed categorical position order",medium,scenario_conditioning_and_stress_design_not_parameter_prior,SOURCE_ENVELOPE,Envelope of 14 readable digitized values; not a time series and not mapped to synthetic points.
MUS-P1-RADAR-2015-2016-SIGNED-DISP,published_spatial_profile,signed_displacement_envelope,-72.2,-0.6,mm,,published_graph_digitization,SUP01,"geokniga-02obrabotka.pdf, p.15, profile 1, radar, 2015-2016","profile label, method, observation interval and printed categorical position order",medium,scenario_conditioning_and_stress_design_not_parameter_prior,SOURCE_ENVELOPE,Envelope of 14 readable digitized values; not a time series and not mapped to synthetic points.
MUS-P17-LEVELING-2011-2016-SIGNED-DISP,published_spatial_profile,signed_displacement_envelope,-175.8,-70.7,mm,,published_graph_digitization,SUP01,"geokniga-02obrabotka.pdf, p.15, profile 17, leveling, 2011-2016","profile label, method, observation interval and printed categorical position order",medium,scenario_conditioning_and_stress_design_not_parameter_prior,SOURCE_ENVELOPE,Envelope of 9 readable digitized values; not a time series and not mapped to synthetic points.
MUS-P17-LEVELING-2015-2016-SIGNED-DISP,published_spatial_profile,signed_displacement_envelope,-26.3,-12.8,mm,,published_graph_digitization,SUP01,"geokniga-02obrabotka.pdf, p.15, profile 17, leveling, 2015-2016","profile label, method, observation interval and printed categorical position order",medium,scenario_conditioning_and_stress_design_not_parameter_prior,SOURCE_ENVELOPE,Envelope of 11 readable digitized values; not a time series and not mapped to synthetic points.
MUS-P17-RADAR-2011-2016-SIGNED-DISP,published_spatial_profile,signed_displacement_envelope,-160.9,-51,mm,,published_graph_digitization,SUP01,"geokniga-02obrabotka.pdf, p.15, profile 17, radar, 2011-2016","profile label, method, observation interval and printed categorical position order",medium,scenario_conditioning_and_stress_design_not_parameter_prior,SOURCE_ENVELOPE,Envelope of 11 readable digitized values; not a time series and not mapped to synthetic points.
MUS-P17-RADAR-2015-2016-SIGNED-DISP,published_spatial_profile,signed_displacement_envelope,-20.6,-4.2,mm,,published_graph_digitization,SUP01,"geokniga-02obrabotka.pdf, p.15, profile 17, radar, 2015-2016","profile label, method, observation interval and printed categorical position order",medium,scenario_conditioning_and_stress_design_not_parameter_prior,SOURCE_ENVELOPE,Envelope of 11 readable digitized values; not a time series and not mapped to synthetic points.
MUS-P5-LEVELING-2011-2016-SIGNED-DISP,published_spatial_profile,signed_displacement_envelope,-308.7,-119.6,mm,,published_graph_digitization,SUP01,"geokniga-02obrabotka.pdf, p.15, profile 5, leveling, 2011-2016","profile label, method, observation interval and printed categorical position order",medium,scenario_conditioning_and_stress_design_not_parameter_prior,SOURCE_ENVELOPE,Envelope of 24 readable digitized values; not a time series and not mapped to synthetic points.
MUS-P5-LEVELING-2015-2016-SIGNED-DISP,published_spatial_profile,signed_displacement_envelope,-55.9,-15.7,mm,,published_graph_digitization,SUP01,"geokniga-02obrabotka.pdf, p.15, profile 5, leveling, 2015-2016","profile label, method, observation interval and printed categorical position order",medium,scenario_conditioning_and_stress_design_not_parameter_prior,SOURCE_ENVELOPE,Envelope of 24 readable digitized values; not a time series and not mapped to synthetic points.
