issue_id,severity,domain,finding,evidence,impact,required_fix,status
A-001,CRITICAL,source_fidelity,Таблица legacy_integrated_features_1665.csv искусственно добрана до числа 1665.,"Состав строк: {'base_polygon': 536, 'mining_polygon': 536, 'overlapping_seam': 390, 'backfill_polygon': 175, 'anomaly_polygon': 14, 'anomaly_line_link': 14}. В reproduce_v2_1.py присутствуют случайные выборки 300 и 90 перекрывающихся пластов, 175 строк закладки, 28 аномальных строк и assert len(rows)==1665.","Число из ВКР воспроизведено, но семантика строк и межслойные перекрытия не восстановлены. Таблицу нельзя считать аналогом исходного интегрального слоя.","Удалить суррогатный слой. Восстановить каждую из 12 исходных таблиц отдельно по рисунку 12/перечню слоёв; 1665 считать только контрольным итогом после пространственного объединения, а не целевым числом генератора.",OPEN
A-002,CRITICAL,time_anchor,Полю оседаний без опубликованной даты приписан reference_period=2022 и дата 2022-10-01.,"В абзацах вокруг рисунка 22 источник говорит только «Интерполяция данных оседания земной поверхности»; год и дата отсутствуют. В field_grid_50m.csv все 11 484 строки помечены 2022/2022-10-01, и к этой дате калибруются временные ряды.","Вся обратная временная реконструкция получает ложный временной якорь; возраста выработок, скорости и предыстория становятся недоказанными.",Переименовать поле в settlement_reference_map_mm; хранить reference_date=NULL и interval_unknown. Временную реконструкцию строить сценарно относительно неизвестной даты либо найти исходный файл/метаданные карты.,OPEN
A-003,HIGH,geometry,Сетка 50 м не совпадает с восстановленной полигональной областью.,3.132 км² (10.9%) сетки лежит за границами полигонов; 3.231 км² (11.2%) полигонов не покрыто сеткой. Встроенная проверка проверяет только центроиды ячеек.,Зональная статистика и пространственные признаки смешивают площадь вне объекта и теряют часть мелких полигонов.,"Клиповать геометрию каждой ячейки по plan_union и хранить effective_area_fraction; для статистик использовать пересечение, а не правило «центроид внутри».",OPEN
A-004,HIGH,geometry,25.7% плановых единиц не имеют оседаний и ключевых агрегированных признаков.,Пустые settlement/kzt/ko/seismic/lithology присутствуют у 138/536 полигонов.,Модельные и инженерные выборки будут терять 138 объектов либо получать неявную импутацию.,Считать зональные статистики напрямую по пикселям/маскам полигона; для малых полигонов применять sub-cell sampling и явно хранить coverage_fraction.,OPEN
A-005,CRITICAL,geometry,"Границы полигонов извлечены из цветной карты оседаний порогом по серому, поэтому красные зоны оседаний превращены в «линии/барьеры».","В ROI 21.7% пикселей, попавших в маску gray<120, являются насыщенно-красными, а не чёрной плановой графикой. 39.1% насыщенно-красных пикселей внутри выпуклой оболочки оказались вне объединения полигонов.","Геометрия 536 единиц систематически вырезает области максимальных оседаний; все последующие сетки, профили и зональные статистики наследуют искажение.","Сегментировать чёрную графику в HSV/Lab по низкой насыщенности и яркости, отдельно подавить красную заливку; затем вручную проверить/исправить контуры и сравнить с рисунком 23.",OPEN
A-006,HIGH,source_fidelity,"В legacy-слое отсутствуют оседания у 19.3% строк, хотя источник описывает итоговую таблицу после удаления строк с отсутствующими значениями.",Непустые settlement_mean: 1343/1665; missing share=19.3%.,Сравнение распределений проводится только на подмножестве и не подтверждает воспроизведение 1665 строк исходной таблицы.,Не формировать legacy-слой до завершения зональной статистики для всех объектов; либо явно исключить непокрываемые объекты и не утверждать размер 1665.,OPEN
A-007,HIGH,anchors,Большинство размещённых опубликованных якорей фактически не попало в назначенный полигон.,Из 40 placed-якорей 26 находятся вне полигона; у 17 расстояние больше link_uncertainty_m; максимум 98.9 м.,Остатки между опубликованными и реконструированными значениями относятся к геометрически слабым или ошибочным сопоставлениям.,"Для координатных якорей отклонять связь при distance>uncertainty; для блочных якорей восстанавливать полигон по номеру блока, а не назначать ближайший.",OPEN
A-008,CRITICAL,source_fidelity,Точные опубликованные строки не калибруют реконструированные поля.,anchor_conditioned=False у всех 536 полигонов. MAE для опубликованных средних оседаний=1412.3 мм; для load_coeff=0.124; для глубины кровли=29.6 м.,"Ключевые признаки являются независимой синтетикой, а не результатом обратного восстановления по имеющимся точным данным.",Включить якоря в целевую функцию реконструкции с весами по источнику/геометрии; откалибровать поля и публиковать остатки до/после.,OPEN
A-009,HIGH,field_extraction,"61.3% значений k_o получены nearest-neighbour заполнением, а не оцифровкой.","ko_provenance: {'D': 4448, 'R': 7036}. Расстояние до донора и зона экстраполяции в таблице не сохранены.","Поле выглядит полным, но большая часть значений наследует ближайший класс через потенциально крупные расстояния; неопределённость занижена.","Исправить геометрическое совмещение панели k_o, хранить nearest_source_distance_m и uncertainty, не использовать R-ячейки как равноправные D-наблюдения.",OPEN
A-010,HIGH,coordinates,WGS84-привязка остаётся обзорной и не минимизирована до инженерного уровня.,"Использованы 2 fit-точки и 1 приблизительная validation-точка; остаток 261.4 м. Масштаб по X=0.950, по Y=0.781, анизотропия=1.216. Локальные слои GPKG имеют пустой CRS.",При наложении на внешние данные возможны сотни метров смещения и деформация масштаба/углов.,Не публиковать lon/lat как координаты объектов. Добавить официальный ключ либо 4–8 общих пунктов; до этого оставить только local_x/local_y и отдельный overview_transform.,OPEN
A-011,HIGH,temporal_physics,Опорные реперы имеют нулевое накопленное оседание при ненулевой скорости.,"Таких строк 1748, из них 1740 относятся к REF. Для REF settlement принудительно обнулён после интегрирования, а velocity сохранена.","Пары (S, v) физически и математически противоречат друг другу; будущая модель может выучить артефакт типа пункта.","Для опорных пунктов либо задавать v=0, либо интегрировать малые движения без принудительного обнуления S; хранить стабильность как отдельное наблюдение с неопределённостью.",OPEN
A-012,MEDIUM,stress_test,Часть stress-test сценариев превышает собственный верхний предел.,"Максимальная скорость 414.92 мм/год; 5 сценариев выше 410 мм/год, потому что target peak добавляется поверх nominal velocity.",Каталог и фактические ряды расходятся; внешняя огибающая 250–400 мм/год соблюдается нестрого.,"Определять target как итоговую скорость, а не добавочную; после генерации клиповать/перенормировать и валидировать максимум.",OPEN
