relative_path,category,data_rows,columns,bytes,sha256,read_status
01_reconstruction_v3_2/audit/baseline_regression_metrics.csv,other_csv,8,8,764,06b46470b660dea7183d56e63e0b8b7f40328207fabf2db7a7bd1e73ecc03713,ok
01_reconstruction_v3_2/audit/early_warning_baseline_metrics.csv,other_csv,1,10,219,ac93638a41d3b3b34c9eb3ca59383b6ece335aa5892f8fd2abcab2e4df404050,ok
01_reconstruction_v3_2/evaluation_only/early_acceleration_labels.csv,evaluation_only,1274,8,113718,60f90951a16909d38fd3e74bcf587f7a827146a3fb297b658f42668c3d29f28a,ok
01_reconstruction_v3_2/evaluation_only/gnss_truth_residuals.csv,evaluation_only,844,8,75511,6c7b31c7329b7dba8fce16c4127012884ffd834ef86689e34309d3627f8eb40e,ok
01_reconstruction_v3_2/evaluation_only/insar_truth_relative.csv,evaluation_only,20400,7,1742203,9f0e4157ea8514a53d4787a0e9368b9018074ff05d0ccb389eef466ade8fef79,ok
01_reconstruction_v3_2/evaluation_only/leveling_adjustment_truth_residuals.csv,evaluation_only,2039,9,195058,266fe4caa0bcc30128832c8eb238e705282739d5770a0b782fd8515e1b13d995,ok
01_reconstruction_v3_2/evaluation_only/leveling_station_injected_error_labels.csv,evaluation_only,5248,5,231080,bcfb868b8e7ee6fe115821feae60d1972a00f58e71de01fa80d485250026db44,ok
01_reconstruction_v3_2/evaluation_only/next_cycle_targets.csv,evaluation_only,1274,6,111461,9e9d2d2f0b8e186d88ca2519b15d7ae841b759ea4c301d7c3359ca3ed6370c4c,ok
01_reconstruction_v3_2/evaluation_only/planar_observation_truth_residuals.csv,evaluation_only,2039,10,232049,e0cc35bb5c82dacff8ecf6f68c7e108671e3c269e02143d32b5a5a16f911e077,ok
01_reconstruction_v3_2/evaluation_only/regime_stage_transitions.csv,evaluation_only,272,6,14174,955237a2b31caf0f63cb6a0f8bc778fae38faf5f5e11596b13f163928bf743c6,ok
01_reconstruction_v3_2/evaluation_only/stress_early_acceleration_labels.csv,evaluation_only,1328,5,64202,aca12eb87c0dfc5ca23c3082028c7d3a7691edcba257b8727a27d4f99aa82fe7,ok
01_reconstruction_v3_2/evaluation_only/stress_test_measurement_labels.csv,evaluation_only,1611,11,171686,3513daf06af2407838bb3314f26b69da3c5608a1aeb75ce611fdbc79a851de14,ok
01_reconstruction_v3_2/evaluation_only/stress_test_truth_monthly.csv,evaluation_only,4320,8,383951,7a658b5d3a7809e382cfe17b0dc8cfcbc6986cf1dbe765ab0d72e1535973ed5d,ok
01_reconstruction_v3_2/evaluation_only/synthetic_truth_ensemble_quarterly.csv,evaluation_only,64512,5,2445517,3e4a7437521726724581dbf9c2cb287f85c4c88b53885c4df53d027ddbb6b381,ok
01_reconstruction_v3_2/evaluation_only/synthetic_truth_quantiles_quarterly.csv,evaluation_only,4032,8,292945,ef7da2d2723396569ebfbde1878a8acbead14d47f1c96e8cce7796def5add342,ok
01_reconstruction_v3_2/evaluation_only/truth_survey_points_monthly.csv,evaluation_only,12096,11,1916780,a0bfb4117dc9158a9e6e00f0869facacbde4eb82a5ced3216b6e13d47fd5b651,ok
01_reconstruction_v3_2/external_validation/external_cycle_schema.csv,other_csv,6,5,451,8172166836fca791e9c0f8a811ce63e039a376dd68b970b50d1a9a3068b4406e,ok
01_reconstruction_v3_2/external_validation/synthetic_smoke_fixture.csv,other_csv,58,6,3348,b904895888a25e66817a21795c6f2a809629e599e49a9644d19ee2ef2c940fc2,ok
01_reconstruction_v3_2/external_validation/synthetic_smoke_output/external_predictions.csv,other_csv,49,6,3787,5d9f4bba180e810cf14ea185630e03fe761b86e3f2d882ead5279c32d126e7de,ok
01_reconstruction_v3_2/metadata/dataset_manifest.csv,other_csv,115,4,15003,25324aead4702d61609361d4ac9770f1728b11a0bf0588c6541bd0f2f1f5910c,ok
01_reconstruction_v3_2/metadata/validation_checks.csv,other_csv,18,8,3943,047b103a8620bc2a176845ac1e57f27e00fc02bcb2c0def580bbbb31fff425c4,ok
01_reconstruction_v3_2/model_ready/early_acceleration_balanced_index.csv,model_ready,215,4,10174,c32814d9667cdef03a010574d697ee16aaabcfbe458b09476c699959e1521be2,ok
01_reconstruction_v3_2/model_ready/early_acceleration_features.csv,model_ready,1274,55,529607,f34494ce9df89561e77ffa3fbc4e590c26d40011f19584e72c6374d02adefd37,ok
01_reconstruction_v3_2/model_ready/feature_contract.csv,model_ready,68,4,7329,643dce3c0030ff359bb0a469add725831d3d4e838cdb5878bddf52fb94b00d22,ok
01_reconstruction_v3_2/model_ready/next_cycle_features.csv,model_ready,1274,57,550022,bd1eed0554b56a0daa2df725a06cbc9d77d07c1abfd3cc156bbee99bf60f2a58,ok
01_reconstruction_v3_2/model_ready/point_feature_lineage_safe.csv,model_ready,1008,12,87227,58b40c88f3480b034a6de3c2e3873d719710a38b000af47f9320db8c4683e8ca,ok
01_reconstruction_v3_2/model_ready/static_point_features.csv,model_ready,126,37,31948,42f8e0dc538acb6d107bf32a3781d080a2cc5a2e0ac69fe10f4113ce5d3a24a2,ok
01_reconstruction_v3_2/model_ready/stress_early_acceleration_features.csv,model_ready,1328,14,182004,b0f6f5c0ec281bd7ca2dadabd6df8446f57339a401d46095bc122208d1dc00a9,ok
01_reconstruction_v3_2/model_ready/stress_static_features.csv,model_ready,72,40,17636,3e572a25936fe5e06c060c6019738ede89a398ade499f9a1a16e75883f5892af,ok
01_reconstruction_v3_2/private_generation/hidden_event_catalog.csv,private_generation,34,6,2753,d1704529a21b776d15b64825d1ef15e943dbec6bf02f0da1b712d4c52a49fc08,ok
01_reconstruction_v3_2/private_generation/insar_spatial_source_catalog.csv,private_generation,5,7,452,fa24d34688176741d87671753d3a1d2bb34f3d4bd11fba799941ab985d82ccd3,ok
01_reconstruction_v3_2/private_generation/process_family_assignment.csv,private_generation,98,5,4258,4c14009ead220c04790c3451bb29575685ad8a91fa152de6bca3d0ba5b6c4c05,ok
01_reconstruction_v3_2/private_generation/process_parameters_survey_points.csv,private_generation,126,16,16695,a77d1c65dcf154b667be50ad3e1d29aabc1fe6ce8054b0f876d256543ff94c71,ok
01_reconstruction_v3_2/seed/normative_requirements.csv,other_csv,11,6,3922,570e8e63805f7e52b3d7e77500ae6b2eb937ef40e2089758f67bbdff0245f239,ok
01_reconstruction_v3_2/seed/provenance_codes.csv,other_csv,7,5,1138,aa7291cda6728d7c34a2a0a6c49cbf97f4ba24ba459b2211edca605ab8e4f204,ok
