unit_id,strict_iou,strict_centroid_shift_px,lenient_iou,lenient_centroid_shift_px,classification,interpretation
F13B-PX-0001,0.990769,0.137722,1.0,0.0,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0002,0.993548,0.069633,0.983766,0.145142,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0003,0.994595,0.020389,0.994565,0.023806,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0004,0.996904,0.029063,0.996894,0.026828,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0005,1.0,0.0,0.991736,0.040108,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0006,0.99187,0.02108,0.991803,0.077025,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0007,0.992381,0.015313,0.980806,0.11565,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0008,1.0,0.0,0.955556,0.146196,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0009,1.0,0.0,0.925926,0.26377,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0010,0.992282,0.085604,0.992222,0.082989,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0011,0.982609,0.090534,0.997788,0.031845,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0012,0.992248,0.055543,0.976562,0.202731,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0013,1.0,0.0,1.0,0.0,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0014,0.995074,0.131267,0.990099,0.106387,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0015,0.978571,0.20277,0.978102,0.152903,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0016,0.952381,0.200101,0.966667,0.093958,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0017,1.0,0.0,0.960938,0.213254,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0018,1.0,0.0,0.992248,0.04691,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0019,0.996951,0.033183,0.996942,0.029113,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0020,0.995671,0.0128,0.95,0.618133,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0021,0.0,,0.997159,0.036483,threshold_sensitive,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0022,0.907258,0.46371,1.0,0.0,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0023,1.0,0.0,1.0,0.0,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0024,1.0,0.0,1.0,0.0,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0025,0.985663,0.153665,0.996364,0.032713,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0026,0.99932,0.021064,0.995238,0.080654,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0027,1.0,0.0,0.956522,0.102023,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0028,0.989605,0.175428,0.989496,0.101462,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0029,1.0,0.0,1.0,0.0,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0030,1.0,0.0,1.0,0.0,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0031,1.0,0.0,0.987261,0.094205,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0032,1.0,0.0,1.0,0.0,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0033,0.996516,0.030279,0.98951,0.077842,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0034,0.966292,0.435116,1.0,0.0,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0035,1.0,0.0,1.0,0.0,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0036,0.893333,0.399544,1.0,0.0,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0037,0.807229,0.691291,0.955224,0.381255,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0038,1.0,0.0,0.963716,0.517395,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0039,0.99631,0.03097,0.996296,0.044614,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0040,0.949367,0.148997,0.982222,0.114974,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0041,0.995984,0.051834,1.0,0.0,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0042,0.998834,0.018613,0.991832,0.108257,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0043,0.958333,0.12676,1.0,0.0,stable,color-threshold repeatability_not_geodetic_accuracy
