campaign_id,point_id,old_observed,new_observed,reason,evidence_run_ids
C005,P-H04-REF-A,True,False,rejected_after_qc,LR-00038|LR-00039
C005,P-H04-W001,True,False,rejected_after_qc,LR-00038|LR-00039
C005,P-H04-W002,True,False,rejected_after_qc,LR-00038|LR-00039
C005,P-H04-W003,True,False,rejected_after_qc,LR-00038|LR-00039
C005,P-H04-W004,True,False,rejected_after_qc,LR-00038|LR-00039
C005,P-H04-W005,True,False,rejected_after_qc,LR-00038|LR-00039
C005,P-H04-W006,True,False,rejected_after_qc,LR-00038|LR-00039
C005,P-H04-W007,True,False,rejected_after_qc,LR-00038|LR-00039
C005,P-H04-REF-B,True,False,rejected_after_qc,LR-00038|LR-00039
C010,P-H07-REF-A,True,False,rejected_after_qc,LR-00097|LR-00098
C010,P-H07-W001,True,False,rejected_after_qc,LR-00097|LR-00098
C010,P-H07-W002,True,False,rejected_after_qc,LR-00097|LR-00098
C010,P-H07-W003,True,False,rejected_after_qc,LR-00097|LR-00098
C010,P-H07-W004,True,False,rejected_after_qc,LR-00097|LR-00098
C010,P-H07-W005,True,False,rejected_after_qc,LR-00097|LR-00098
C010,P-H07-W006,True,False,rejected_after_qc,LR-00097|LR-00098
C010,P-H07-W007,True,False,rejected_after_qc,LR-00097|LR-00098
C010,P-H07-REF-B,True,False,rejected_after_qc,LR-00097|LR-00098
