point_id,profile_id,point_type,feature,value,unit,provenance,standard_uncertainty,donor_distance_m,source_cell_id,model_feature_allowed,source_reference_year,legacy_provenance,legacy_source_reference_year,source_available_at,source_availability_status,scenario_available_at_rule,assumption_id,uncertainty_interpretation,source_id,source_locator,derivation,reconstruction_assumptions_allowed
P-D01-REF-A,P-D01,REF,settlement_anchor_map_mm,0.0,mm,S,0.0,0.0,,False,,S_REF,2022,,not_applicable_synthetic,scenario_start_if_explicit_assumption,SIM_STATIC_KNOWN,legacy_heuristic_not_empirical_measurement_sigma,,synthetic_reference_design,Назначено искусственной опорной точке,False
P-D01-REF-A,P-D01,REF,kzt,0.1,1,S,,0.0,,False,,S_REF,2022,,not_applicable_synthetic,scenario_start_if_explicit_assumption,SIM_STATIC_KNOWN,legacy_heuristic_not_empirical_measurement_sigma,,synthetic_reference_design,Назначено искусственной опорной точке,True
P-D01-REF-A,P-D01,REF,ko,0.3,1,S,,0.0,,False,,S_REF,2022,,not_applicable_synthetic,scenario_start_if_explicit_assumption,SIM_STATIC_KNOWN,legacy_heuristic_not_empirical_measurement_sigma,,synthetic_reference_design,Назначено искусственной опорной точке,True
P-D01-REF-A,P-D01,REF,seismic_energy_J_m2,0.0,J/m2,S,,0.0,,False,,S_REF,2022,,not_applicable_synthetic,scenario_start_if_explicit_assumption,SIM_STATIC_KNOWN,legacy_heuristic_not_empirical_measurement_sigma,,synthetic_reference_design,Назначено искусственной опорной точке,True
P-D01-REF-A,P-D01,REF,fill_density,0.0,1,S,,0.0,,False,,S_REF,2022,,not_applicable_synthetic,scenario_start_if_explicit_assumption,SIM_STATIC_KNOWN,legacy_heuristic_not_empirical_measurement_sigma,,synthetic_reference_design,Назначено искусственной опорной точке,True
P-D01-REF-A,P-D01,REF,fault_distance_m,9999.0,approximate_local_m,S,,0.0,,False,,S_REF,2022,,not_applicable_synthetic,scenario_start_if_explicit_assumption,SIM_STATIC_KNOWN,legacy_heuristic_not_empirical_measurement_sigma,,synthetic_reference_design,Назначено искусственной опорной точке,True
P-D01-REF-A,P-D01,REF,lithology,stable_external_reference,category,S,,0.0,,False,,S_REF,2022,,not_applicable_synthetic,scenario_start_if_explicit_assumption,SIM_STATIC_KNOWN,legacy_heuristic_not_empirical_measurement_sigma,,synthetic_reference_design,Назначено искусственной опорной точке,True
P-D01-REF-A,P-D01,REF,terrain_TRI_relative,,relative_colour_proxy,S,,0.0,,False,,S_REF,2022,,not_applicable_synthetic,scenario_start_if_explicit_assumption,SIM_STATIC_KNOWN,legacy_heuristic_not_empirical_measurement_sigma,,synthetic_reference_design,Назначено искусственной опорной точке,True
P-D01-REF-A,P-D01,REF,terrain_roughness_relative,,relative_colour_proxy,S,,0.0,,False,,S_REF,2022,,not_applicable_synthetic,scenario_start_if_explicit_assumption,SIM_STATIC_KNOWN,legacy_heuristic_not_empirical_measurement_sigma,,synthetic_reference_design,Назначено искусственной опорной точке,True
P-D01-W001,P-D01,WORK,settlement_anchor_map_mm,333.789954337899,mm,R,35.00684932,0.0,G050-000526,False,,D,2022,,unknown,scenario_start_if_explicit_assumption,SIM_STATIC_KNOWN,legacy_heuristic_not_empirical_measurement_sigma,SRC01,Рис. 22 и опубликованные зональные фрагменты,"Чтение палитры, заполнение пропусков и приведение к якорям; не измерение",False
P-D01-W001,P-D01,WORK,kzt,0.669909651344213,1,R,0.072,50.0,G050-000526,False,,R,2022,,unknown,scenario_start_if_explicit_assumption,SIM_STATIC_KNOWN,legacy_heuristic_not_empirical_measurement_sigma,SRC01,Рис. 24а и опубликованные фрагменты,Чтение палитры и пространственная реконструкция коэффициента,True
