row_id,catalog,category,subcategory,item,value_as_printed,unit,site_attribution,scope,spatial_level,depth_or_unit_context,time_context,status,evidence_type,scale,skru1_transfer,evidence_strength,confidence,relevance_normal_skru1,relevance_accident_scenario,worldspec_role,source_ids,locator,vn_ids,prev_evidence_ids,extraction_method,quote_check,visual_recheck,conflict_ref,notes
SGP-001,seismic_geophysics_catalog,INDUCED_EARTHQUAKE,AB_BOTH,"Соликамское землетрясение 05.01.1995 (12:46), Ms = 4,2, с массовым обрушением рабочих пластов на СКРУ-2 (1-2 СВП) у целика СКРУ-1–СКРУ-2; зона 3-балльной изосейсты ~40×25 км (~790 км²); в эпицентральной области 5–6 баллов; гипоцентр ~3 км (правительственная комиссия)","Ms 4,2; 790 км²; 5–6 баллов; h ≈ 3 км",—; км²; балл; км,"СКРУ-2, 1-2 СВП (сосед СКРУ-1)",SKRU2,panel,,1995-01-05,FACT,LITERATURE_CITED,FIELD,NEIGHBOUR_MINE_ANALOGUE,MODERATE,HIGH,MEDIUM,HIGH,EVENT_LOG,VKM-SRC-012,"VKM-SRC-012 p.31 (§1.4.2 «События 1995 года», [42]) | VKM-SRC-012 p.32 (§1.4.2, [42]) | VKM-SRC-012 p.33 (§1.4.2, [42]) | VKM-SRC-012 p.122 (Список литературы [42]) | VKM-SRC-012 p.122 (Список литературы, [42])",EV-VN-S012-0142;EV-VN-S012-0144;EV-VN-S012-0149;EV-VN-S012-0687;EV-VN-S012-0659,,TEXT_LAYER,EXACT,,SGP-CF1,Первоисточник — макросейсмическое обследование Маловичко и др. [42] (вне корпуса). Квалификация события как глубокого техногенного землетрясения с гипоцентром ~3 км — интерпретация комиссии; с глубиной горных работ 300–320 м не согласуется напрямую (SGP-CF1).
SGP-002,seismic_geophysics_catalog,INDUCED_COLLAPSE,A_PHYSICAL_PROCESS,"СКРУ-2, 1995: одновременно с землетрясением — оседание поверхности на 4,5 м, мульда 650×850 м с открытыми трещинами; обрушение на 300–320 м на площади ~600×600 м при выемке двух и частично трёх пластов (10/16 м суммарно); позднее оседания захватили южную границу целика СКРУ-1–СКРУ-2; провалы 2014 и 2018 гг.","4,5 м; 650×850 м; H 300–320 м; ~600×600 м",м,"СКРУ-2, 1-2 СВП",SKRU2,panel,,1995-01-05; 2014; 2018,FACT,LITERATURE_CITED,FIELD,NEIGHBOUR_MINE_ANALOGUE,MODERATE,HIGH,HIGH,HIGH,EVENT_LOG,VKM-SRC-012,"VKM-SRC-012 p.32 (§1.4.2, [42]) | VKM-SRC-012 p.33 (§1.4.2 (pp.31-33)) | VKM-SRC-012 p.58 (§2.5 Выводы п.5) | VKM-SRC-012 p.113 (p.113 vs pp.33, 58)",EV-VN-S012-0146;EV-VN-S012-0143;EV-VN-S012-0145;EV-VN-S012-0166;EV-VN-S012-0285;EV-VN-S012-0286;EV-VN-S012-0616,,TEXT_LAYER,EXACT,,,"Результат: единственное задокументированное катастрофическое динамическое событие у границы СКРУ-1; мульда >2,3 м в 450 м от границы целика со стороны СКРУ-2 (профильная линия № 7). Его влияние на поле СКРУ-1 (краевые оседания, нарушенность ВЗТ целика) требует отдельного анализа (сам источник). Для нормального сценария СКРУ-1 — внешнее событие/ГУ на границе модели."
SGP-003,seismic_geophysics_catalog,INDUCED_COLLAPSE,AB_BOTH,"На пересечении Володинской и Рубцовской зон разломов — участок внезапного обрушения подработанной толщи на СКРУ-2 с техногенным землетрясением; северо-западнее, в ЮВ части поля СКРУ-1 — участки ускоренного (против расчётного) оседания поверхности (напр., район блока № 115) и техногенная сейсмоопасная зона",качественно (без величин и дат),,ЮВ часть шахтного поля СКРУ-1 (блок № 115); СКРУ-2,SKRU1_SKRU2,block,,,FACT,FIELD_OBSERVATION,NOT_APPLICABLE,SITE_SPECIFIC_SHARED_SKRU1_SKRU2,MODERATE,HIGH,HIGH,HIGH,RESEARCH_REQUIRED,VKM-SRC-011,VKM-SRC-011 p.32 (текст с.62),EV-VN-S011-0568;EV-VN-S011-0570;EV-VN-S011-0571,,TEXT_LAYER,EXACT,,,"КЛЮЧЕВОЙ результат для СКРУ-1: SITE_SPECIFIC указание на техногенную сейсмоопасную зону в ЮВ части поля и на аномально быстрое оседание (блок 115) в зоне разломов. Величины, даты и границы — UNKNOWN. Причинная связь «разлом → ускорение» — интерпретация автора (пространственное совпадение)."
SGP-004,seismic_geophysics_catalog,SEISMIC_HAZARD,AB_BOTH,"Сейсмоопасные зоны ВКМ: плотность выделения сейсмической энергии ≥ 20 Дж/100 м² в год (Маловичко Д.А. и др., 1999–2001); практически все важнейшие аварии и эпицентры землетрясений M ≥ 2,5 — в зонах разломов","порог ≥ 20 Дж/100 м²·год; M ≥ 2,5",Дж/100 м² в год,рудники ВКМ (карта рис. 1.51),VKM_REGIONAL,deposit,,1999–2001,FACT,LITERATURE_CITED,NOT_APPLICABLE,REGIONAL_PRIOR,MODERATE,HIGH,MEDIUM,HIGH,OBSERVATION_OPERATOR,VKM-SRC-011,VKM-SRC-011 p.30 (текст с.59) | VKM-SRC-011 p.30 (текст с.59; рис. 1.51),EV-VN-S011-0541;EV-VN-S011-0540;EV-VN-S011-0542,,TEXT_LAYER,EXACT,,SGP-CF2,Порог в Дж/100 м² не совпадает по единицам с классами Es (Дж/м²) карты СКРУ-1 2023 — SGP-CF2 (единицы не пересчитывались).
SGP-005,seismic_geophysics_catalog,SEISMIC_HAZARD_SKRU1,AB_BOTH,"Карта максимальных значений плотности выделения сейсмической энергии Es на 2023 г. по руднику СКРУ-1 (Злобина, Шулаков 2023): классы 0–5, 5–10, 10–15, 15–20, 20–25, >25 Дж/м²; максимумы (>25) на ЮЗ (вдоль Камы и ЮЗ блоки) и в северной полосе; центральная часть преимущественно 5–10",классы 0…>25 Дж/м²; пространственный рисунок качественно,Дж/м²,шахтное поле СКРУ-1,SKRU1,mine_field,,на 2023 г.,DERIVATION,LITERATURE_CITED,FIELD,SITE_SPECIFIC,WEAK,MEDIUM,HIGH,HIGH,OBSERVATION_OPERATOR,VKM-SRC-023,"VKM-SRC-023 p.48 (Рис.24в (image26.png), rendered p.48) | VKM-SRC-023 p.48 (§3.1.4 + Рис.24в, rendered p.48) | VKM-SRC-023 p.48 (in-text reference [33]) | VKM-SRC-023 p.113 (rendered p.113; Список использованных источников, [33])",EV-VN-S023-0303;EV-VN-S023-0302;EV-VN-S023-0312;EV-VN-S023-0515,,VISUAL_READ,NOT_FOUND,,,"Результат: на СКРУ-1 существует шахтная сейсмологическая сеть (ГИ УрО РАН) и прогнозный продукт Es — SITE_SPECIFIC наблюдаемая динамического отклика массива. В корпусе — лишь студенческая переоцифровка рисунка [33]; сам каталог событий/сеть/даты — вне корпуса (приоритет приобретения: Злобина, Шулаков 2023, DOI 10.30686/1609-9192-2023-S1-76-82). Это прогноз алгоритма (DERIVATION), не каталог."
SGP-006,seismic_geophysics_catalog,SEISMIC_HAZARD,A_PHYSICAL_PROCESS,"Сейсмоопасные узлы (схема сейсморайонирования Среднего Урала, Кашубин и др.) в пределах геодинамических активных зон; основные аномалии совпадают с региональной СЗ зоной ВОЗ; эпицентры интенсивностью 3–6 баллов MSK-64 в пределах АЗ; ВКМ — повышенная сейсмичность, аномальные скорости современных вертикальных движений",3–6 баллов MSK-64 (без дат/координат),балл MSK-64,ВКМКС,VKM_REGIONAL,deposit,,,FACT,LITERATURE_CITED,NOT_APPLICABLE,REGIONAL_PRIOR,WEAK,MEDIUM,LOW,MEDIUM,CONTEXT_ONLY,VKM-SRC-018,"VKM-SRC-018 p.4 (p.4, [1]) | VKM-SRC-018 p.2 (Введение, [9])",EV-VN-S018-0024;EV-VN-S018-0006,,TEXT_LAYER,EXACT,,,Техногенные и тектонические события не разделены; каталог не приведён.
SGP-007,seismic_geophysics_catalog,SEISMIC_LOCAL_GENERAL,A_PHYSICAL_PROCESS,"Локальная (нетектоническая) сейсмичность: денудационная (обвалы, провалы) и техногенная (взрывы, закачка) — общая классификация",классификация,,общее,GENERAL_METHOD,unstated,,,FACT,DESCRIPTIVE,NOT_APPLICABLE,METHOD_ONLY,WEAK,HIGH,LOW,MEDIUM,CONTEXT_ONLY,VKM-SRC-006,VKM-SRC-006 p.50 (§5.1),EV-VN-S006-0120,,TEXT_LAYER,EXACT,,,Провалы (карстовые/горные) — источник сейсмических сигналов; для ВКМ данных нет.
SGP-008,seismic_geophysics_catalog,GDP_DYNAMIC,A_PHYSICAL_PROCESS,"Газодинамические явления (ГДЯ) на ВКМ: ~250–256 ГДЯ при отработке сильвинитовых пластов (1968–1989) интенсивностью до 4,5 тыс. т; 58 % внезапные выбросы, 42 % обрушения/комбинированные; 88 % из кровли; 47 % ≤ 3 т; 25 % в подготовительных выработках; максимум — БКПРУ-2, БКПРУ-3","~255 (256) ГДЯ; до 4,5 тыс. т",шт.; т,"рудники ВКМ (ПО «Уралкалий», ПО «Сильвинит»)",VKM_REGIONAL,deposit,,1968–1989,FACT,FIELD_OBSERVATION,FIELD,REGIONAL_PRIOR,STRONG,HIGH,MEDIUM,LOW,EVENT_LOG,VKM-SRC-037,"VKM-SRC-037 p.78 (§5.1 (с.155)) | VKM-SRC-037 p.80 (Табл. 5.1 (с.158–159)) | VKM-SRC-037 p.81 (с.160) | VKM-SRC-037 p.79 (§5.1 (с.156–157)) | VKM-SRC-037 p.81 (Табл. 5.1, 5.2, 5.3 и текст с.160)",EV-VN-S037-0498;EV-VN-S037-0508;EV-VN-S037-0518;EV-VN-S037-0503;EV-VN-S037-0517,,OCR_VISUALLY_CONFIRMED,EXACT,"SRC-037 p80–81 рендер 110 dpi: табл. 5.1, 5.2 CONFIRMED",SGP-CF3,"ГДЯ — локальный динамический процесс разрушения приконтурного массива (газ + НДС), не сейсмичность в узком смысле. Внутренние расхождения итогов 255/256/242 (SGP-CF3)."
SGP-009,seismic_geophysics_catalog,GDP_SKRU1,AB_BOTH,"СКРУ-1 (СКПРУ-1): при отработке сильвинитовых пластов — одно ГДЯ (1987 г., пласт Красный-II, очистная выработка): обрушение/комбинированное, из кровли, 1092 т; на АБ — нет",1 событие; 1987; КрII; 1092 т,т,СКРУ-1 (место в руднике не указано),SKRU1,mine,пласт Красный-II,1987,FACT,FIELD_OBSERVATION,FIELD,SITE_SPECIFIC,STRONG,HIGH,MEDIUM,LOW,EVENT_LOG,VKM-SRC-037,"VKM-SRC-037 p.80 (Табл. 5.1 (с.159)) | VKM-SRC-037 p.81 (Табл. 5.2 (с.160), столбец СКПРУ-1) | VKM-SRC-037 p.80 (Табл. 5.1 (с.158–159))",EV-VN-S037-0509;EV-VN-S037-0515;EV-VN-S037-0508,,VISUAL_READ,NOT_FOUND,SRC-037 p80 (строка 1987: СКПРУ-1 КрII = 1; итог 7 с БКЗ-4 = 3) и p81 (1092 т) CONFIRMED этим потоком,,SITE_SPECIFIC датированное локальное динамическое событие (разрушение кровли ~1100 т). Координаты/панель UNKNOWN.
SGP-010,seismic_geophysics_catalog,GDP_SKRU1,A_PHYSICAL_PROCESS,СКРУ-1: при буровзрывной отработке карналлитового пласта на СКПРУ-1 и БКПРУ-1 — до 500 ГДЯ ежегодно (в зависимости от объёмов добычи); наибольшее число выбросов на СКПРУ-1 приурочено к местам повышенной мощности 6-го слоя пласта В (газовые скопления на глинистом прослое у контакта 6-го слоя В и почвы пласта ВГ),до 500/год (карналлитовый пласт),шт./год,СКРУ-1 (и БКПРУ-1),SKRU1,seam,"пласт В (Вк), 6-й слой",~до 1990,FACT,FIELD_OBSERVATION,FIELD,SITE_SPECIFIC,MODERATE,HIGH,MEDIUM,LOW,EVENT_LOG,VKM-SRC-037,"VKM-SRC-037 p.78 (§5.1 (с.155)) | VKM-SRC-037 p.17 (§1.2.2, выбросы на СКПРУ-1)",EV-VN-S037-0498;EV-VN-S037-0499;EV-VN-S037-0185,,OCR_VISUALLY_CONFIRMED,EXACT,,,«до 500 в год» — суммарная формулировка для двух рудников; распределения по годам/панелям для СКРУ-1 нет. Подтверждает отработку пласта В на СКРУ-1 буровзрывным способом.
