design,model_id,mae,reference_b1_mae,improvement_vs_b1_percent,reference_b5_mae,improvement_vs_b5_percent
leave_profile_out,B1_persistence_last_rate,7.31092175130067,7.31092175130067,0.0,8.03603639185759,9.02328716793309
leave_profile_out,B6_adaptive_kalman,7.311447665392591,7.31092175130067,-0.007193540155553809,8.03603639185759,9.016742721563311
leave_profile_out,B5_fixed_kalman,8.03603639185759,7.31092175130067,-9.918238290922966,8.03603639185759,0.0
leave_zone_out,B1_persistence_last_rate,7.31092175130067,7.31092175130067,0.0,8.03603639185759,9.02328716793309
leave_zone_out,B5_fixed_kalman,8.03603639185759,7.31092175130067,-9.918238290922966,8.03603639185759,0.0
leave_zone_out,B6_adaptive_kalman,8.405255456237965,7.31092175130067,-14.968477876850542,8.03603639185759,-4.594541965420694
rolling_origin,B1_persistence_last_rate,6.8237937224175695,6.8237937224175695,0.0,7.696273649794031,11.33639430037432
rolling_origin,B6_adaptive_kalman,6.958573052227978,6.8237937224175695,-1.9751378088647435,7.696273649794031,9.585165901498259
rolling_origin,B5_fixed_kalman,7.696273649794031,6.8237937224175695,-12.785848501108477,7.696273649794031,0.0
temporal_holdout,B1_persistence_last_rate,7.31092175130067,7.31092175130067,0.0,8.03603639185759,9.02328716793309
temporal_holdout,B6_adaptive_kalman,7.453611564340219,7.31092175130067,-1.9517349233585173,8.03603639185759,7.24766289146605
temporal_holdout,B5_fixed_kalman,8.03603639185759,7.31092175130067,-9.918238290922966,8.03603639185759,0.0
