design,fold_id,held_out_group,train_rows,train_sample_ids_sha256,acceleration_absolute,volatility,missing_campaigns,acceleration_quantile,volatility_quantile
temporal_holdout,temporal_validation_2024,,911,2cd9ef9d27536d6d4e63ef0a56ad51002823d1306ff7c39ac6538586596b6a8c,23.05665753,5.568641825,2,0.8,0.8
rolling_origin,rolling_01,,823,7ca94bfee9c05afaff4ff2480ac6104ebcb2c05c35614d4939bc437075c61ebb,23.016515988,5.580489536,2,0.8,0.8
rolling_origin,rolling_02,,911,2cd9ef9d27536d6d4e63ef0a56ad51002823d1306ff7c39ac6538586596b6a8c,23.05665753,5.568641825,2,0.8,0.8
rolling_origin,rolling_03,,925,686237bc74e73f1828459b8bdba9942c886b88e5acc7cf614f424ea513947f69,23.04366629,5.57557608,2,0.8,0.8
rolling_origin,rolling_04,,1013,669c63c27d719990f96d36a181f3a8eaff5572e9d91db8d532f1c562011c5796,23.05016191,5.5649313428000005,2,0.8,0.8
rolling_origin,rolling_05,,1027,bc199a378f30fe9fbd47539b1e60ec6a9fb9e836b70794e81c8f90efacd098e1,23.114760462000003,5.5686397232000004,2,0.8,0.8
leave_profile_out,leave_profile_out_P-D01,P-D01,833,008aaf57cd145ec8662b561bad67e5ccc4dc9beda5e20f26dc4363821de8bb68,22.751022896000002,5.451458863400001,2,0.8,0.8
leave_profile_out,leave_profile_out_P-H01,P-H01,846,74513de57b4a04e9885259abb09eb0dcf6e98ef1cf64f1368a52b41ac9fe532c,22.92374129,5.419423941,2,0.8,0.8
leave_profile_out,leave_profile_out_P-H02,P-H02,839,5a2f37da60e4e5b514d41622a29232ca90151e01f593722386f4894b83491483,22.766407568,5.4842427470000015,2,0.8,0.8
leave_profile_out,leave_profile_out_P-H03,P-H03,824,9ee5c1a1455e3afc05a8c2abde775660536344c3f4a4ea3b7f7d81ff6f8ac1ba,21.297008892000008,5.257124883600002,2,0.8,0.8
leave_profile_out,leave_profile_out_P-H04,P-H04,830,4a47bc79a0fc747982615585e0ac129ddd7779bd0f3d9ffb9225ce16d0d556ab,20.262587884000016,5.258830501200004,2,0.8,0.8
leave_profile_out,leave_profile_out_P-H05,P-H05,858,0b4d143897bc699b51595550ece106c2e6300c617eae5f01b1ff8ea1a87b9d50,23.589931412000006,5.6115789044,2,0.8,0.8
leave_profile_out,leave_profile_out_P-H06,P-H06,855,8c0d9f6dbd9468c538e02c591631011b1cf1c60b13af272cf0273ba29e109729,23.737435978000004,5.717869631,2,0.8,0.8
leave_profile_out,leave_profile_out_P-H07,P-H07,867,a171e1e811aba7da3fa5d3a8552a6aaf751c1f87bd6d419a10d44b462dbf224f,23.22438869200001,5.6139097392,2,0.8,0.8
leave_profile_out,leave_profile_out_P-V01,P-V01,840,afc8223679e3b257437acd004552c9fbb109e3de4603d34dee0e84c22fefa835,23.04366629,5.650595926200001,2,0.8,0.8
leave_profile_out,leave_profile_out_P-V02,P-V02,837,2073757290af688a54d8e0148c8ddae69bc14aa69057ac9dcdd81fb81df94a28,22.771588056,5.412276508000002,2,0.8,0.8
leave_profile_out,leave_profile_out_P-V03,P-V03,848,04f2d36e9594320659b98143e20f448fd5f92c6401cabe7ca7c9775003b5f578,23.762894594000002,5.737586304200001,2,0.8,0.8
leave_profile_out,leave_profile_out_P-V04,P-V04,856,37611bda531860851736d366f7d45eca3eab535ab6bca8009bd83346ff500e36,23.72470667,5.725147551,2,0.8,0.8
leave_profile_out,leave_profile_out_P-V05,P-V05,860,0db2edf67d3e189d9422bdd5c6a8015c28da55af88a4ea9acebe1d7712ee3c21,23.723331422,5.650595926200001,2,0.8,0.8
leave_profile_out,leave_profile_out_P-V06,P-V06,850,2a77e87731c6a9c60cd7d0a5ffcd18a6de00b3d1388bf4d3a32d1b1a307dbd5a,23.312054040000003,5.650595926200001,2,0.8,0.8
leave_zone_out,leave_zone_out_GEO_NE,GEO_NE,596,ce64431b0fe6e7f47e72c5887ddf2a712665170e04e7ae997e8478bfc8ad0974,30.96726152,6.363994712,2,0.8,0.8
leave_zone_out,leave_zone_out_GEO_NW,GEO_NW,829,607372805656947332a8a5d904a1a39ed3c889f3283ac0703ed8512bf4b49896,23.107632526000003,5.6092480696,2,0.8,0.8
leave_zone_out,leave_zone_out_GEO_SE,GEO_SE,819,ade0f5df02093b907ee8809de3f3a428187d93bac9c4c664882a6c5c38777ed4,21.406678980000017,5.289357180800004,2,0.8,0.8
leave_zone_out,leave_zone_out_GEO_SW,GEO_SW,489,1bca3780b4612834cb08078ab2dcc4b40cea66465ac0610c5e314284b93db6e7,16.675980854000002,4.644721648800001,2,0.8,0.8
