design,model_id,family,folds,n,mae,rmse,bias,r2
leave_profile_out,B1_persistence_last_rate,persistence,14,130,7.31092175130067,11.071272766527729,-3.0461735358418554,0.9422866223175526
leave_profile_out,B6_adaptive_kalman,adaptive_kalman,14,130,7.311447665392591,11.792694062673835,-2.8108890145321412,0.9345201834075664
leave_profile_out,B5_fixed_kalman,fixed_kalman,14,130,8.03603639185759,13.360073223073746,-3.484239968390165,0.9159574797457477
leave_zone_out,B1_persistence_last_rate,persistence,4,130,7.31092175130067,11.071272766527729,-3.046173535841856,0.9422866223175526
leave_zone_out,B5_fixed_kalman,fixed_kalman,4,130,8.03603639185759,13.360073223073746,-3.484239968390165,0.9159574797457477
leave_zone_out,B6_adaptive_kalman,adaptive_kalman,4,130,8.405255456237965,14.618287109978947,-3.9314239703219047,0.8993823046826815
rolling_origin,B1_persistence_last_rate,persistence,5,218,6.8237937224175695,10.832807537871396,-1.403071584712113,0.9352119754485313
rolling_origin,B6_adaptive_kalman,adaptive_kalman,5,218,6.958573052227978,11.332045321236713,-1.9530100138686552,0.9291027664558206
rolling_origin,B5_fixed_kalman,fixed_kalman,5,218,7.696273649794031,13.203883250069847,-2.4129318708197354,0.9037466098576213
temporal_holdout,B1_persistence_last_rate,persistence,1,130,7.31092175130067,11.071272766527729,-3.0461735358418554,0.9422866223175526
temporal_holdout,B6_adaptive_kalman,adaptive_kalman,1,130,7.453611564340219,12.046557206038587,-2.894875862058721,0.9316706506420493
temporal_holdout,B5_fixed_kalman,fixed_kalman,1,130,8.03603639185759,13.360073223073746,-3.484239968390165,0.9159574797457477
