outer_fold_id,inner_fold_id,model_id,seed,parameter_sha256,sample_id,point_id,profile_id,zone_id,current_date,target_date,forecast_horizon_days,current_standard_uncertainty_mm,y_true,y_pred,b1_prediction,absolute_error,b1_absolute_error,transition_segment,is_transition,probabilistic_score,provenance_role,selected_effective_iterations
lpo_2022-10-18_P-D01,lpo_2022-10-18_P-D01__inner_1_2022-03-01,Z01_elastic_net,42117,73f34df716e732898a84e4c3965bc1d12724ab8022c9c851f18ab04bd997a492,P-H04-W001::C014::C015,P-H04-W001,P-H04,GEO_SW,2021-11-02,2022-03-01,119,0.6988264422,25.17007331659657,27.384418449033205,29.9971803,2.214345132436634,4.827106983403429,stable,False,,inner_validation,
lpo_2022-10-18_P-D01,lpo_2022-10-18_P-D01__inner_1_2022-03-01,Z01_elastic_net,42117,73f34df716e732898a84e4c3965bc1d12724ab8022c9c851f18ab04bd997a492,P-H04-W002::C014::C015,P-H04-W002,P-H04,GEO_SW,2021-11-02,2022-03-01,119,0.7221339333,25.328333686134467,31.893527585607334,33.07868016,6.565193899472867,7.75034647386553,stable,False,,inner_validation,
lpo_2022-10-18_P-D01,lpo_2022-10-18_P-D01__inner_1_2022-03-01,Z01_elastic_net,42117,73f34df716e732898a84e4c3965bc1d12724ab8022c9c851f18ab04bd997a492,P-H04-W003::C014::C015,P-H04-W003,P-H04,GEO_SW,2021-11-02,2022-03-01,119,0.748306304,36.16711515882334,33.74082049749136,36.30555947,2.42629466133198,0.1384443111766558,stable,False,,inner_validation,
lpo_2022-10-18_P-D01,lpo_2022-10-18_P-D01__inner_1_2022-03-01,Z01_elastic_net,42117,73f34df716e732898a84e4c3965bc1d12724ab8022c9c851f18ab04bd997a492,P-H04-W004::C014::C015,P-H04-W004,P-H04,GEO_SW,2021-11-02,2022-03-01,119,0.7591565375,22.40874556386553,23.302434079660895,24.97340133,0.8936885157953647,2.5646557661344715,stable,False,,inner_validation,
lpo_2022-10-18_P-D01,lpo_2022-10-18_P-D01__inner_1_2022-03-01,Z01_elastic_net,42117,73f34df716e732898a84e4c3965bc1d12724ab8022c9c851f18ab04bd997a492,P-H04-W005::C014::C015,P-H04-W005,P-H04,GEO_SW,2021-11-02,2022-03-01,119,0.7586418843,32.2360365283614,31.885515163637308,34.87086871,0.350521364724095,2.6348321816386004,stable,False,,inner_validation,
lpo_2022-10-18_P-D01,lpo_2022-10-18_P-D01__inner_1_2022-03-01,Z01_elastic_net,42117,73f34df716e732898a84e4c3965bc1d12724ab8022c9c851f18ab04bd997a492,P-H04-W006::C014::C015,P-H04-W006,P-H04,GEO_SW,2021-11-02,2022-03-01,119,0.7471418385,24.37962320735297,27.09442908954965,30.22836057,2.7148058821966785,5.848737362647029,stable,False,,inner_validation,
lpo_2022-10-18_P-D01,lpo_2022-10-18_P-D01__inner_1_2022-03-01,Z01_elastic_net,42117,73f34df716e732898a84e4c3965bc1d12724ab8022c9c851f18ab04bd997a492,P-H04-W007::C014::C015,P-H04-W007,P-H04,GEO_SW,2021-11-02,2022-03-01,119,0.7242022629,30.564240931512582,33.35352783836434,38.06636181,2.7892869068517605,7.502120878487414,stable,False,,inner_validation,
lpo_2022-10-18_P-D01,lpo_2022-10-18_P-D01__inner_2_2022-05-17,Z01_elastic_net,42117,73f34df716e732898a84e4c3965bc1d12724ab8022c9c851f18ab04bd997a492,P-H01-W001::C014::C016,P-H01-W001,P-H01,GEO_SW,2021-11-02,2022-05-17,196,0.7357396065,23.13233240739796,25.71677240724969,23.41502259,2.5844399998517282,0.28269018260203893,stable,False,,inner_validation,
lpo_2022-10-18_P-D01,lpo_2022-10-18_P-D01__inner_2_2022-05-17,Z01_elastic_net,42117,73f34df716e732898a84e4c3965bc1d12724ab8022c9c851f18ab04bd997a492,P-H01-W002::C014::C016,P-H01-W002,P-H01,GEO_SW,2021-11-02,2022-05-17,196,0.7825542852,100.9477933228316,54.471650916365235,60.40185921,46.476142406466366,40.5459341128316,accelerating,True,,inner_validation,
lpo_2022-10-18_P-D01,lpo_2022-10-18_P-D01__inner_2_2022-05-17,Z01_elastic_net,42117,73f34df716e732898a84e4c3965bc1d12724ab8022c9c851f18ab04bd997a492,P-H01-W003::C014::C016,P-H01-W003,P-H01,GEO_SW,2021-11-02,2022-05-17,196,0.8187771268,94.16792815599496,75.68038974596686,92.57859807,18.487538410028094,1.589330085994959,accelerating,True,,inner_validation,
