split,target,model,prediction_column,n,MAE_mm,RMSE_mm,Bias_mm,R2,WAPE,P95_abs_error_mm,rank_by_MAE
temporal_test_2025,hidden_truth,Zero increment,pred_zero,686,22.929281673449854,40.7467582005214,-22.929281673449854,-0.46340280413462254,1.0,70.5966753082466,12.0
temporal_test_2025,observed,Zero increment,pred_zero,686,22.933239997039895,40.72242343827062,-22.916335678902016,-0.46344706702791405,1.0,69.78571595127698,12.0
temporal_test_2025,hidden_truth,Last observed rate,pred_last_rate,686,0.9383707557464979,1.3754517160813124,0.06457578083391632,0.9983324899592785,0.04092455965740309,2.716150330798362,4.0
temporal_test_2025,observed,Last observed rate,pred_last_rate,686,1.4342006047781715,1.9185083732113575,0.07752177538175123,0.9967518417068051,0.06253807159229532,3.578449215774995,5.0
temporal_test_2025,hidden_truth,Mean of last 3 rates,pred_mean3_rate,686,0.6123697507263772,1.1068206101585107,0.23437182949693292,0.9989202275714729,0.026706887701390535,1.8847598405768,2.0
temporal_test_2025,observed,Mean of last 3 rates,pred_mean3_rate,686,1.145089989227716,1.5720958929423878,0.24731782404476782,0.9978189387900986,0.04993145274612389,2.88470120166358,2.0
temporal_test_2025,hidden_truth,Linear trend (4 cycles),pred_linear4,686,0.8727150103661968,1.3557374104881363,0.13433156548261668,0.9983799481325595,0.03806115790259257,2.5804367630184117,3.0
temporal_test_2025,observed,Linear trend (4 cycles),pred_linear4,686,1.232060264379899,1.666550576213642,0.1472775600304516,0.9975489804017585,0.05372377669003277,3.049992747281749,3.0
temporal_test_2025,hidden_truth,Quadratic trend (6 cycles),pred_quadratic6,686,1.0323620489419965,1.6245485440765046,0.20645534537143054,0.997673820922476,0.045023741416957835,3.181194372875609,5.0
temporal_test_2025,observed,Quadratic trend (6 cycles),pred_quadratic6,686,1.396497502044072,1.952294874849592,0.21940133991926544,0.9966364288714911,0.06089403425875824,3.593410324335224,4.0
temporal_test_2025,hidden_truth,Constant acceleration,pred_const_accel,686,3.0720638583517763,6.63171492917908,-0.6232167130579722,0.9612359221242561,0.13397994329272703,14.345061974226603,10.0
temporal_test_2025,observed,Constant acceleration,pred_const_accel,686,3.449969913782243,6.84147673597458,-0.6102707185101375,0.9586943465831739,0.15043534686889196,14.982714247930062,10.0
temporal_test_2025,hidden_truth,Kalman local trend (q=100),kalman_pred,686,0.5476937443516289,0.976526561309236,0.1089948150076949,0.9991594842039906,0.02388621467308378,2.002668321250823,1.0
temporal_test_2025,observed,Kalman local trend (q=100),kalman_pred,686,1.1046450483317958,1.4664518465958627,0.12194080955552976,0.9981022220287079,0.048167858029409615,2.895848081715883,1.0
temporal_test_2025,hidden_truth,"Ridge, annualized rate",pred_ridge_rate,686,2.814320175645375,3.338447920428483,1.6389633108609405,0.9901764837031497,0.12273913399145499,6.4541857883052485,9.0
temporal_test_2025,observed,"Ridge, annualized rate",pred_ridge_rate,686,2.898940939514664,3.5405962872957333,1.6519093054087757,0.9889372625136581,0.1264078228758276,6.977668993154983,9.0
temporal_test_2025,hidden_truth,"HGB, annualized rate",pred_hgb_rate,686,2.331927976169597,3.801839917505005,2.2066420124488424,0.9872601178330421,0.10170087355461162,9.419546911337987,8.0
temporal_test_2025,observed,"HGB, annualized rate",pred_hgb_rate,686,2.5528452918299966,4.048280214482476,2.219588006996677,0.9855372486548148,0.11131638146897277,9.252183032849548,8.0
temporal_test_2025,hidden_truth,"HGB + spatial state, annualized rate",pred_hgb_spatial_rate,686,2.163057580401822,3.576273623252956,2.0068415481397643,0.988727006987578,0.09433603770093058,7.978785029099534,7.0
temporal_test_2025,observed,"HGB + spatial state, annualized rate",pred_hgb_spatial_rate,686,2.402588525757353,3.8397603647152545,2.019787542687599,0.9869887796941215,0.10476446093388753,8.065978645516786,7.0
temporal_test_2025,hidden_truth,HGB + forbidden terminal map,pred_hgb_leaky_rate,686,1.067782429330866,1.8068518140787218,0.9488454979105648,0.9971224503166837,0.04656850766359884,4.043042707269462,6.0
temporal_test_2025,observed,HGB + forbidden terminal map,pred_hgb_leaky_rate,686,1.4745338479786705,2.1615221024521394,0.9617914924583998,0.995876849862966,0.06429679575014241,4.496199186581662,6.0
temporal_test_2025,hidden_truth,"Ridge, direct increment",pred_ridge_direct,686,22.273725228401037,29.425569075663883,-5.668162599187986,0.236819087524609,0.9714096388022528,51.73406941459315,11.0
temporal_test_2025,observed,"Ridge, direct increment",pred_ridge_direct,686,22.251037113674524,29.373188195400985,-5.655216604640151,0.23860159386502622,0.9702526601800084,51.7332416859413,11.0
temporal_test_2025,hidden_truth,"HGB, direct increment",pred_hgb_direct,686,23.19181355435444,29.547146281642284,23.19181355435444,0.23049961191332402,1.0114496339066992,65.37162866115264,13.0
temporal_test_2025,observed,"HGB, direct increment",pred_hgb_direct,686,23.216712649662078,29.604176134077942,23.204759548902278,0.22657937995213573,1.0123607764388622,65.01383052689809,13.0
