point_id,profile_label,figure_order,distance_label_as_printed_km,distance_value_from_label_km,method,observation_interval_label,source_pixel_x,source_pixel_y,signed_displacement_mm,axis_calibrated_signed_mm,digitization_minus_axis_calibration_mm,digitization_envelope_half_width_mm,reading_status,reading_envelope_interpretation,source_file,source_sha256,pdf_page,provenance,eligible_as_t1_time_series,mapped_synthetic_point_id
SUP01-P5-LEVELING-2011_2016-001,5,1,0,0.0,leveling,2011-2016,116.0,386.5,-308.7,-308.731343,0.031343,3.1,digitized_marker_or_visible_curve,digitization_bound_not_measurement_sigma_or_confidence_interval,geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,D_published_graph,False,
SUP01-P5-LEVELING-2011_2016-002,5,2,0.10,0.1,leveling,2011-2016,148.34782608695653,358.5,-279.5,-279.477612,-0.022388,3.1,digitized_marker_or_visible_curve,digitization_bound_not_measurement_sigma_or_confidence_interval,geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,D_published_graph,False,
SUP01-P5-LEVELING-2011_2016-003,5,3,0.15,0.15,leveling,2011-2016,180.69565217391306,318.5,-237.7,-237.686567,-0.013433,3.1,digitized_marker_or_visible_curve,digitization_bound_not_measurement_sigma_or_confidence_interval,geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,D_published_graph,False,
SUP01-P5-LEVELING-2011_2016-004,5,4,0.20,0.2,leveling,2011-2016,213.04347826086956,321.5,-240.8,-240.820896,0.020896,3.1,digitized_marker_or_visible_curve,digitization_bound_not_measurement_sigma_or_confidence_interval,geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,D_published_graph,False,
SUP01-P5-LEVELING-2011_2016-005,5,5,0.25,0.25,leveling,2011-2016,245.3913043478261,284.0,-201.6,-201.641791,0.041791,3.1,digitized_marker_or_visible_curve,digitization_bound_not_measurement_sigma_or_confidence_interval,geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,D_published_graph,False,
SUP01-P5-LEVELING-2011_2016-006,5,6,0.30,0.3,leveling,2011-2016,277.7391304347826,245.5,-161.4,-161.41791,0.01791,3.1,digitized_marker_or_visible_curve,digitization_bound_not_measurement_sigma_or_confidence_interval,geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,D_published_graph,False,
SUP01-P5-LEVELING-2011_2016-007,5,7,0.35,0.35,leveling,2011-2016,310.0869565217391,214.5,-129.0,-129.029851,0.029851,3.1,digitized_marker_or_visible_curve,digitization_bound_not_measurement_sigma_or_confidence_interval,geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,D_published_graph,False,
SUP01-P5-LEVELING-2011_2016-008,5,8,0.40,0.4,leveling,2011-2016,342.4347826086956,218.0,-132.7,-132.686567,-0.013433,8.4,partially_occluded_approximation,digitization_bound_not_measurement_sigma_or_confidence_interval,geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,D_published_graph,False,
SUP01-P5-LEVELING-2011_2016-009,5,9,0.45,0.45,leveling,2011-2016,374.7826086956522,213.5,-128.0,-127.985075,-0.014925,3.1,digitized_marker_or_visible_curve,digitization_bound_not_measurement_sigma_or_confidence_interval,geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,D_published_graph,False,
SUP01-P5-LEVELING-2011_2016-010,5,10,0.50,0.5,leveling,2011-2016,407.1304347826087,205.5,-119.6,-119.626866,0.026866,8.4,partially_occluded_approximation,digitization_bound_not_measurement_sigma_or_confidence_interval,geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,D_published_graph,False,
SUP01-P5-LEVELING-2011_2016-011,5,11,0.55,0.55,leveling,2011-2016,439.47826086956525,209.0,-123.3,-123.283582,-0.016418,3.1,digitized_marker_or_visible_curve,digitization_bound_not_measurement_sigma_or_confidence_interval,geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,D_published_graph,False,
SUP01-P5-LEVELING-2011_2016-012,5,12,0.60,0.6,leveling,2011-2016,471.82608695652175,217.5,-132.2,-132.164179,-0.035821,3.1,digitized_marker_or_visible_curve,digitization_bound_not_measurement_sigma_or_confidence_interval,geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,D_published_graph,False,
SUP01-P5-LEVELING-2011_2016-013,5,13,0.65,0.65,leveling,2011-2016,504.17391304347825,225.0,-140.0,-140.0,0.0,3.1,digitized_marker_or_visible_curve,digitization_bound_not_measurement_sigma_or_confidence_interval,geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,D_published_graph,False,
SUP01-P5-LEVELING-2011_2016-014,5,14,0.70,0.7,leveling,2011-2016,536.5217391304348,237.0,-152.5,-152.537313,0.037313,3.1,digitized_marker_or_visible_curve,digitization_bound_not_measurement_sigma_or_confidence_interval,geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,D_published_graph,False,
SUP01-P5-LEVELING-2011_2016-015,5,15,0.75,0.75,leveling,2011-2016,568.8695652173913,265.5,-182.3,-182.313433,0.013433,8.4,partially_occluded_approximation,digitization_bound_not_measurement_sigma_or_confidence_interval,geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,D_published_graph,False,
