conflict_id,topic,value_a,value_b,vn_ids_a,vn_ids_b,source_ids,locators,resolution_status,assessment,affects_skru1
CC-01,Хронология затоплений рудников ВКМ во введении ВКР искажена,SRC-023 p10: БКПРУ-3 и БКПРУ-1 затоплены в 1986 г.; работы на СКРУ-2 приостановлены из-за водопритока в 2006 и 2014 гг.,"SRC-011 p147/табл.: БКПРУ-3 — 1986, БКПРУ-1 — 2006; SRC-021, SRC-040: СКРУ-2 — водоприток с 2014; SRC-023 p35 (та же ВКР): БКПРУ-3 1986, БКПРУ-1 2006",EV-VN-S023-0024;EV-VN-S023-0025;EV-VN-S023-0026,EV-VN-S011-2709;EV-VN-S023-0168;EV-VN-S021-0010;EV-VN-S021-0011;EV-VN-S021-0012;EV-VN-S040-0100,VKM-SRC-023;VKM-SRC-011;VKM-SRC-021;VKM-SRC-040,VKM-SRC-023 pdf p.10 (printed 10); rendered p.10; Введение || VKM-SRC-011 pdf p.147 (printed 292-293); Прилож. 2 «История открытия и освоения месторождения»; табл. с.294 сноски || VKM-SRC-023 pdf p.35 (printed 35); rendered p.35; §2.3 || VKM-SRC-021 pdf p.2 (printed 59); введение || VKM-SRC-040 pdf p.36 (printed 36); §1.3,UNRESOLVED_IN_SOURCE,"Скорее всего опечатка/сжатие текста во введении вторичного источника (ВКР); значения не усредняются. Для хронологии использовать строки из первичных/монографических источников, строку SRC-023 p10 держать как конфликтную.",NO
CC-02,Начало и место аварии на БКПРУ-3 (1986),"SRC-040: 11.01.1986 приток рассолов из кровли камеры в 4-й западной панели; 23.07 взрыв газа, провал ~130 м","SRC-025: начало января 1986 — 10 м³/ч в камере №50 западного полублока 8-го блока; 01.03 150 м³/ч; 09.03 ~5000; 12.03 — до околоствольного двора; провал в конце июля. SRC-011: положения притоков на 15.01.1986, «8-й блок?»",EV-VN-S040-0098,EV-VN-S025-0140;EV-VN-S011-0596;EV-VN-S011-0728,VKM-SRC-040;VKM-SRC-025;VKM-SRC-011,"VKM-SRC-040 pdf p.35 (printed 35-36); §1.3, p.35-36 || VKM-SRC-025 pdf p.19 (printed 19); §1.3 || VKM-SRC-011 pdf p.33 (printed 64-65); Рис. 1.58 легенда; Рис. 1.60 || VKM-SRC-011 pdf p.39 (printed 76-77); текст с.77",UNRESOLVED,"Точность даты различается (день vs «начало января» vs состояние на 15.01); место — «4-я западная панель» vs «8-й блок, камера №50». Возможно, разные системы обозначения одного места; не разрешено корпусом.",NO
CC-03,Дата начала аварийного водопритока БКПРУ-1 (2006),"SRC-025, SRC-038: 17.10.2006 (у рассолосборника, 4–5 ЗП у скв. 17; 28.10 — 1200 м³/ч)","SRC-040: «в конце октября 2006» увеличение притока в 4 ЗП; SRC-014: октябрь 2006, западная часть поля севернее скв. 17",EV-VN-S025-0142;EV-VN-S038-0002,EV-VN-S040-0099;EV-VN-S014-0031,VKM-SRC-025;VKM-SRC-038;VKM-SRC-040;VKM-SRC-014,VKM-SRC-025 pdf p.19 (printed 19); §1.3 (pp.19-20) || VKM-SRC-038 pdf p.1 (printed 240); вводный абзац || VKM-SRC-040 pdf p.36 (printed 36); §1.3 || VKM-SRC-014 pdf p.10 (printed 10); §1.1 (cont. p.11),COMPATIBLE_DIFFERENT_PRECISION,"Не противоречие по существу: 17.10 — начало притока, «конец октября» — резкое увеличение (28.10). Держать обе записи.",NO
CC-04,Причинно-временная последовательность «провал → затопление» vs «водоприток → затопление → провал»,SRC-018: катастрофический провал на БКРУ-3 (1986) и БКРУ-1 (2006) привёл к полному затоплению,"SRC-025, SRC-040: сначала водоприток (январь 1986; октябрь 2006), затопление, провал — спустя месяцы (июль 1986; 28.07.2007)",EV-VN-S018-0025;EV-VN-S018-0026,EV-VN-S025-0140;EV-VN-S025-0147;EV-VN-S040-0098;EV-VN-S040-0103,VKM-SRC-018;VKM-SRC-025;VKM-SRC-040,"VKM-SRC-018 pdf p.4; p.4 || VKM-SRC-025 pdf p.19 (printed 19); §1.3 || VKM-SRC-025 pdf p.20 (printed 20); §1.3 || VKM-SRC-040 pdf p.35 (printed 35-36); §1.3, p.35-36 || VKM-SRC-040 pdf p.36 (printed 36); §1.3",SECONDARY_SIMPLIFICATION,"SRC-018 (геодинамика, вторичное упоминание) упрощает последовательность; для хронологии приоритет у подробных описаний SRC-025/SRC-040. Значения не смешиваются.",NO
CC-05,Привязка провала 1995 г. у междушахтного целика СКРУ-1–СКРУ-2,SRC-012 p113: участок целика СКРУ-1–СКРУ-2 рядом с провалом 1995 г. (рудник провала не назван; в первой версии каталога отнесено к СКРУ-1),"SRC-012 pp.31–33, 58: событие 1995 г. — массовое обрушение на СКРУ-2 (1–2 СВП), Соликамское землетрясение Ms 4,2; мульда >2,3 м в 450 м от границы целика со стороны СКРУ-2 (p.58); коррекция EV-VN-S012-0616",EV-VN-S012-0600,EV-VN-S012-0142;EV-VN-S012-0687;EV-VN-S012-0286;EV-VN-S012-0616,VKM-SRC-012,"VKM-SRC-012 pdf p.113 (printed 113); §4.3 p.113 || VKM-SRC-012 pdf p.31 (printed 31); §1.4.2 «События 1995 года», [42] || VKM-SRC-012 pdf p.122 (printed 122); Список литературы [42] || VKM-SRC-012 pdf p.58 (printed 58); §2.5 Выводы п.5 || VKM-SRC-012 pdf p.113 (printed 113); p.113 vs pp.33, 58",RESOLVED_SKRU2_SIDE,"Разрешено по тексту того же источника (ATTRIBUTION-005): p.113 называет только участок целика рядом с провалом; pp.31–33 и p.58 связывают провал 1995 г. с массовым обрушением на СКРУ-2 и мульдой со стороны СКРУ-2. CHR-0178 перекодирован: scope SKRU2, объект — целик и поле СКРУ-2. Для СКРУ-1 это граничное условие у целика, не событие рудника.",YES
CC-06,Дата утверждения «Специальных мероприятий … в условиях газового режима»,SRC-037 p160: утверждены 29.04.1983; SRC-037 p230: утверждены Минудобрений 29.12.1983,SRC-028: документ 1993 г.; SRC-020: утверждены Госгортехнадзором 05.06.1993,EV-VN-S037-0863;EV-VN-S037-1235,EV-VN-S028-0118;EV-VN-S028-0241;EV-VN-S020-0430,VKM-SRC-037;VKM-SRC-028;VKM-SRC-020,"VKM-SRC-037 pdf p.160 (printed 319); сноска * || VKM-SRC-037 pdf p.230 (printed 459); Список литературы, № 17 || VKM-SRC-028 pdf p.195; §3.5 Средства обеспечения взрывозащиты || VKM-SRC-028 pdf p.424 (printed 424); Литература №28 || VKM-SRC-020 pdf p.249 (printed 251); §7.2.1",POSSIBLY_TWO_EDITIONS,Внутри SRC-037 две даты 1983 г. (апрель vs декабрь); 1993 — вероятно новая редакция. Не разрешено.,NO
CC-07,Редакции «Указаний по защите рудников от затопления и охране подрабатываемых объектов»,"SRC-034, SRC-021 (список лит.): редакция 2022 г. (117 с.)","SRC-021 (текст): «в 2023 году принята новая редакция»; ранее: 2004 (ВНИИГ), 2008, 2014 (введ. 30.03.2017)",EV-VN-S034-0054,EV-VN-S021-0017;EV-VN-S021-0018;EV-VN-S019-0017;EV-VN-S031-0029;EV-VN-S033-0029;EV-VN-S033-0030;EV-VN-S025-1139;EV-VN-S011-0382;EV-VN-S011-2074,VKM-SRC-034;VKM-SRC-021;VKM-SRC-019;VKM-SRC-031;VKM-SRC-033;VKM-SRC-025;VKM-SRC-011,"VKM-SRC-034 pdf p.5 (printed 43); Библиографический список || VKM-SRC-021 pdf p.2 (printed 59); введение, ссылки [3],[4] || VKM-SRC-021 pdf p.5 (printed 62); текст p.2 «В 2023 году» vs ссылка [3] || VKM-SRC-019 pdf p.5 (printed 49); Библ. [3] || VKM-SRC-031 pdf p.4 (printed 38); Библ. список [1] || VKM-SRC-033 pdf p.5 (printed 11); Список литературы [1] || VKM-SRC-025 pdf p.198 (printed 198); Список литературы [77]; применение в §3.1 (c3) || VKM-SRC-011 pdf p.24 (printed 46-47); §1.3.3 || VKM-SRC-011 pdf p.128 (printed 255); стр. 255; Рис. 4.2 ('Методические рекомендации к [291]')",UNRESOLVED,2022 vs 2023 для последней редакции; последовательность редакций 2004 → 2008 → 2014/2017 → 2022/2023 согласуется между источниками.,NO
CC-08,Плановый год ввода Талицкого ГОКа,SRC-014 p254 (текст): 2018,SRC-014 ссылка [29]: 2016,EV-VN-S014-1225,EV-VN-S014-1226,VKM-SRC-014,VKM-SRC-014 pdf p.254 (printed 254); §8.9.2 || VKM-SRC-014 pdf p.254 (printed 254); §8.9.2 vs Список литературы [29],UNRESOLVED,Плановые даты; не относится к СКРУ-1.,NO
CC-09,Окончание календарного плана Гремячинского рудника (аналог),SRC-024 текст: до 2068,SRC-024 рисунок (из маркшейдерского проекта 2019): до 2085,EV-VN-S024-0043;EV-VN-S024-0376,EV-VN-S024-0415;EV-VN-S024-0416;EV-VN-S024-0417,VKM-SRC-024,"VKM-SRC-024 pdf p.17 (printed 17); §2 Вывод || VKM-SRC-024 pdf p.119 (printed 119); Прил.1 §2.2.6 Порядок отработки шахтного поля, ref [10] || VKM-SRC-024 pdf p.120 (printed 120); Рисунок Пр.10 (West panels) || VKM-SRC-024 pdf p.120 (printed 120); Рисунок Пр.10 (East panels) || VKM-SRC-024 pdf p.120 (printed 120); p.119 text vs Рис. Пр.10",UNRESOLVED,"ANALOGUE, плановые даты.",NO
CC-10,Даты начала наблюдений по профильным линиям,SRC-012: линия 8 — 01.08.1991 (текст); линия 3 ПНИПУ — 2011; SRC-011: профиль 25 БКПРУ-1 — 2000 (текст),SRC-012: линия 8 — первая эпоха на рисунке 01.08.97; линия 3 — 2010/2012 в разных местах; SRC-011: график профиля 25 начинается с 1999,EV-VN-S012-0353;EV-VN-S012-0207;EV-VN-S011-0657,EV-VN-S012-0249;EV-VN-S012-0283;EV-VN-S011-0656,VKM-SRC-012;VKM-SRC-011,"VKM-SRC-012 pdf p.53 (printed 53); §2.3 || VKM-SRC-012 pdf p.42 (printed 42); §2.2 || VKM-SRC-011 pdf p.35 (printed 68-69); текст с.69 || VKM-SRC-012 pdf p.53 (printed 53); p.53 vs Рис. 2.10 || VKM-SRC-012 pdf p.57 (printed 57); pp.42, 48, 57, 58 || VKM-SRC-011 pdf p.35 (printed 68-69); текст с.69 vs Рис. 1.68",UNRESOLVED,Для линии 8 рисунок может показывать выборку эпох; для остальных — не разрешено.,NO
