event_id,event,event_type_source,event_type_vkm,event_subtype_note,event_class,event_class_note,date_start_as_printed,date_end_as_printed,date_start_iso,date_start_precision,date_end_iso,date_end_precision,date_qualifier,planned_or_actual,object,spatial_entity_ids,mine_attribution_scope,mines_named_in_text,seams_named,relevance,skru1_relevance,visual_recheck,conflict_ids,part,source_ids,locators,vn_ids,existing_evidence_ids,status,evidence_type,scope,scale,confidence,extraction_method,quote_check,notes
CHR-0001,"First brine-lifting wells ('трубы') and salt works on Borovaya river (early XV c.); c.1430 moved to Usolka river (Usolye Kamskoye, later Solikamsk); later brine wells near Berezniki, Lenva, Dedyukhino",other,OTHER,история солеварения,PHYSICAL,,1400,1430,1400,year,1430,year,,ACTUAL,brine wells of Prikamye,VKM,ВКМ (регионально),,,MINING_VKM_CONTEXT,VKM_REGIONAL_CONTEXT,,,,VKM-SRC-011,pdf p.145 (printed 288-289); Прилож. 2 «История открытия и освоения месторождения»,EV-VN-S011-2660,,FACT,LITERATURE_CITED,VKM_REGIONAL,NOT_APPLICABLE,MEDIUM,TEXT_LAYER,EXACT,"Cited: Иванов А.А., Морачевский Ю.В., 1955. Early century-scale brine withdrawal from salt-stratum top in Solikamsk area: possible long-term anthropogenic hydro disturbance (not quantified)."
CHR-0002,"Pre-discovery history: 1816 note on bitter salt; 1910 Vlasov finds K in samples; 1911 Glushkov proposes potash search; 1915 Bogdanovich poses problem; 1916 Dering expedition, Kurnakov analysis; 1917 US investment talks interrupted",other,OTHER,история поисков калия,PHYSICAL,,1816,1917,1816,year,1917,year,,ACTUAL,potash search in Prikamye,VKM,ВКМ (регионально),,,MINING_VKM_CONTEXT,VKM_REGIONAL_CONTEXT,,,,VKM-SRC-011,pdf p.145 (printed 288-289); Прилож. 2 «История открытия и освоения месторождения»,EV-VN-S011-2666,,FACT,LITERATURE_CITED,VKM_REGIONAL,NOT_APPLICABLE,MEDIUM,TEXT_LAYER,NOT_FOUND,
CHR-0003,first potassium chloride plant began operation in Stassfurt (start of potash industry),other,OTHER,начало калийной промышленности (не ВКМ),PHYSICAL,,1861,,1861,year,,,,ACTUAL,"Stassfurt, Germany",NONVKM,не ВКМ,,,NON_VKM,NON_VKM,,,,VKM-SRC-014,pdf p.226 (printed 226); §8.4.1,EV-VN-S014-1166,,FACT,LITERATURE_CITED,NON_VKM,NOT_APPLICABLE,MEDIUM,TEXT_LAYER,EXACT,Ref [12] Benzen 2009.
CHR-0004,German potash basins: North Harz (Stassfurt) mining 1861–1972; potash mining in Stassfurt area and Saale basin ended 1972–1982 (only rock salt now); Kalvörde basin potash mining started 1973,mining_end,EXTRACTION_PERIOD,не ВКМ,PHYSICAL,,1861,1982,1861,year,1982,year,,ACTUAL,"North Harz / Stassfurt, Saale, Kalvörde (Zielitz) basins, Germany",NONVKM,не ВКМ,,каменная соль,NON_VKM,NON_VKM,,,,VKM-SRC-014,pdf p.228 (printed 228); §8.4.2,EV-VN-S014-1168,,FACT,LITERATURE_CITED,NON_VKM,NOT_APPLICABLE,MEDIUM,TEXT_LAYER,FUZZY_86,Zielitz ~12 Mt/yr ore; 7600 employees.
CHR-0005,"Alsace potash: discovered 1904, mining from 1910; mines Amélie and Marie-Louise now closed",mining_end,EXTRACTION_PERIOD,не ВКМ,PHYSICAL,,1910,before 2013 (not dated in source),1910,year,2013,year,end:NOT_LATER_THAN;AS_PRINTED_WITH_QUALIFIER,ACTUAL,"Alsace potash deposit (MDPA), France",NONVKM,не ВКМ,,,NON_VKM,NON_VKM,,,,VKM-SRC-014,pdf p.249 (printed 249); §8.8,EV-VN-S014-1211,,FACT,LITERATURE_CITED,NON_VKM,NOT_APPLICABLE,MEDIUM,TEXT_LAYER,EXACT,Ref [23] (1990 BF VNIIG trip report).
CHR-0006,"Kurnakov (1917) brine concentration experiments; Ryabinin (1918) compiled brine-well geological sections and proposed 3 drilling sites: Solikamsk, Verkhne-Borovoe, Nechaikha river",survey,EXPLORATION_DRILLING,,PHYSICAL,,1917,1920,1917,year,1920,year,,ACTUAL,Solikamsk potash prospecting,VKM,ВКМ (регионально),,,MINING_VKM_CONTEXT,VKM_REGIONAL_CONTEXT,,,,VKM-SRC-011,pdf p.145 (printed 288-289); Прилож. 2 «История открытия и освоения месторождения»,EV-VN-S011-2667,,FACT,LITERATURE_CITED,VKM_REGIONAL,NOT_APPLICABLE,MEDIUM,TEXT_LAYER,FUZZY_80,"Brine-well geological sections (Ryabinin 1920) = earliest compiled lithological data of the Solikamsk area (historical, not located)."
CHR-0007,"First water inrush in USSR salt deposits: roof (потолочина 25-30 m) collapse of chamber 70 m high, 25 m wide, 240 m long; surface sinkhole 20 m diameter, 15 m deep",accident,COLLAPSE,обрушение потолочины + водопрорыв,PHYSICAL,,1919,,1919,year,,,,ACTUAL,Соль-Илецкое месторождение каменной соли,NONVKM,не ВКМ,,каменная соль,NON_VKM,NON_VKM,,,,VKM-SRC-025,pdf p.19 (printed 19); §1.3,EV-VN-S025-0137,EV-MIN-0342,FACT,DESCRIPTIVE,NON_VKM,NOT_APPLICABLE,HIGH,OCR_VISUALLY_CONFIRMED,FUZZY_86,
CHR-0008,"Delaware potash basin (New Mexico/Texas): potash discovered 1922, industrial development started 1931 at Carlsbad",mining_start,EXTRACTION_START,не ВКМ,PHYSICAL,,1922,1931,1922,year,1931,year,,ACTUAL,"Carlsbad deposit, Delaware basin, USA",NONVKM,не ВКМ,,,NON_VKM,NON_VKM,,,,VKM-SRC-014,pdf p.246 (printed 246); §8.7,EV-VN-S014-1207,,FACT,LITERATURE_CITED,NON_VKM,NOT_APPLICABLE,MEDIUM,TEXT_LAYER,EXACT,USA ~1.5 % of world reserves; basins Paradox and Delaware; Delaware basin 265 km N-S × 153 km E-W.
CHR-0009,"Drilling funding (1924); P.I. Preobrazhensky appointed; summer 1924 study of salt-works archives and core collections (Stroganov, Lazarev, Ryazantsev), Berezniki soda plant pink salt samples",survey,EXPLORATION_DRILLING,,PHYSICAL,,1924,,1924,year,,,,ACTUAL,Solikamsk exploration party,VKM,ВКМ (регионально),,,MINING_VKM_CONTEXT,VKM_REGIONAL_CONTEXT,,,,VKM-SRC-011,pdf p.145 (printed 288-289); Прилож. 2 «История открытия и освоения месторождения»,EV-VN-S011-2669,,FACT,DESCRIPTIVE,VKM_REGIONAL,NOT_APPLICABLE,HIGH,TEXT_LAYER,EXACT,
CHR-0010,Discovery of the Verkhnekamsk deposit,other,EXPLORATION_DRILLING,открытие месторождения,PHYSICAL,,1925,,1925,year,,,,ACTUAL,ВКМС,VKM,ВКМ (регионально),,,MINING_VKM_CONTEXT,VKM_REGIONAL_CONTEXT,,,,VKM-SRC-011,pdf p.4 (printed 7); Введение,EV-VN-S011-0016,,FACT,DESCRIPTIVE,VKM_REGIONAL,NOT_APPLICABLE,HIGH,TEXT_LAYER,EXACT,Discoverer named in dedication: P.I. Preobrazhensky. App.2 of the book has the full history (outside this chunk).
