point_id,profile_label,figure_order,distance_label_as_printed_km,distance_value_from_label_km,method,observation_interval_label,source_pixel_x,source_pixel_y,signed_displacement_mm,axis_calibrated_signed_mm,digitization_minus_axis_calibration_mm,digitization_envelope_half_width_mm,reading_status,reading_envelope_interpretation,source_file,source_sha256,pdf_page,provenance,eligible_as_t1_time_series,mapped_synthetic_point_id
SUP01-P1-LEVELING-2011_2016-001,1,1,0,0.0,leveling,2011-2016,127.5,,,,,,unresolved_occlusion,digitization_bound_not_measurement_sigma_or_confidence_interval,geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,D_published_graph,False,
SUP01-P1-LEVELING-2011_2016-002,1,2,0.2,0.2,leveling,2011-2016,182.8846153846154,,,,,,unresolved_occlusion,digitization_bound_not_measurement_sigma_or_confidence_interval,geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,D_published_graph,False,
SUP01-P1-LEVELING-2011_2016-003,1,3,0.3,0.3,leveling,2011-2016,238.26923076923077,,,,,,unresolved_occlusion,digitization_bound_not_measurement_sigma_or_confidence_interval,geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,D_published_graph,False,
SUP01-P1-LEVELING-2011_2016-004,1,4,0.4,0.4,leveling,2011-2016,293.6538461538462,171.5,-96.1,-96.119403,0.019403,3.6,digitized_marker_or_visible_curve,digitization_bound_not_measurement_sigma_or_confidence_interval,geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,D_published_graph,False,
SUP01-P1-LEVELING-2011_2016-005,1,5,0.5,0.5,leveling,2011-2016,349.03846153846155,175.5,-100.9,-100.895522,-0.004478,3.6,digitized_marker_or_visible_curve,digitization_bound_not_measurement_sigma_or_confidence_interval,geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,D_published_graph,False,
SUP01-P1-LEVELING-2011_2016-006,1,6,0.6,0.6,leveling,2011-2016,404.4230769230769,209.5,-141.5,-141.492537,-0.007463,3.6,digitized_marker_or_visible_curve,digitization_bound_not_measurement_sigma_or_confidence_interval,geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,D_published_graph,False,
SUP01-P1-LEVELING-2011_2016-007,1,7,0.7,0.7,leveling,2011-2016,459.8076923076923,230.5,-166.6,-166.567164,-0.032836,9.6,partially_occluded_approximation,digitization_bound_not_measurement_sigma_or_confidence_interval,geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,D_published_graph,False,
SUP01-P1-LEVELING-2011_2016-008,1,8,0.8,0.8,leveling,2011-2016,515.1923076923077,258.0,-199.4,-199.402985,0.002985,9.6,partially_occluded_approximation,digitization_bound_not_measurement_sigma_or_confidence_interval,geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,D_published_graph,False,
SUP01-P1-LEVELING-2011_2016-009,1,9,0.9,0.9,leveling,2011-2016,570.5769230769231,271.5,-215.5,-215.522388,0.022388,3.6,digitized_marker_or_visible_curve,digitization_bound_not_measurement_sigma_or_confidence_interval,geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,D_published_graph,False,
SUP01-P1-LEVELING-2011_2016-010,1,10,1.0,1.0,leveling,2011-2016,625.9615384615385,292.5,-240.6,-240.597015,-0.002985,3.6,digitized_marker_or_visible_curve,digitization_bound_not_measurement_sigma_or_confidence_interval,geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,D_published_graph,False,
