cat_id,obs_class,schema_modality,item_kind,observable,equipment_method,spatial_support,time_support,cadence_revisit,precision_error,datum_reference,crs_note,site_attribution_strict,scope,latent_state_link,values_in_corpus,values_summary,usable_for_skru1,information_availability,source_id,locator,vn_ids,existing_evidence_ids,status,evidence_type,scale,confidence,extraction_method,quote_check,visual_recheck,origin,record_kind,notes
MON-0001,LEVELLING,levelling,METHOD_PROPERTY,monitoring methods comparison,,unstated,publ=2012,,,,не указано,общий метод (без площадки),GENERAL_METHOD,"u_z(репер,t) − u_z(репер,t0) относительно исходных реперов; точечная опора; эпохи кампаний",SPEC_OR_DESCRIPTION_ONLY,"Нивелирование и высокоточные спутниковые (GNSS) наблюдения — эталонные методы, но дорогие и малооперативные: для динамики нужна постоянная серия наблюдений и постобработка; InSAR даёт гораздо большую площадь охвата.",METHOD/OPERATOR_PRIOR (не данные состояния),публично не ранее 2012 (год публикации источника); внутренняя доступность у держателя — UNKNOWN (дата обработки/передачи не указана); держатель: ПНИПУ каф. МДГиГИС (InSAR); нивелирование — маркшейдерская служба (не названа),VKM-SRC-001,p3 [Актуальность проблемы],EV-VN-S001-0003,,FACT,INTERPRETATION,NOT_APPLICABLE,HIGH,TEXT_LAYER,FUZZY_76,,merged,claim,
MON-0002,LEVELLING,levelling,DATASET,"оседания, мм, по реперам (нивелирование II кл. vs InSAR с барами ошибок)",method: levelling,"survey_line | профильная линия №5 (ВКМКС, г. Соликамск; рудник не указан) | ids: Рп2; Рп4; Рп9; Рп11; Рп12; Рп13; Рп14; Рп15; Рп16; Рп17; Рп18; Рп19; Рп21; Рп23; Рп24; Рп25; Рп26; Рп27; Рп28; Рп29; Рп30",measurement_date=2011; dates: 2011 (implied); publ=2012; note: period of the line comparison not printed; context 2011,,"СКО 10,7 мм, корреляция 0,95; InSAR error bars about ±5 мм (visual)","x-axis categorical (benchmark names), distances not given",см. datum_reference,"Соликамск: СКРУ-1 или СКРУ-2 — источник не разделяет (UNATTRIBUTED) (профильная линия №5, 2011)",SKRU1_OR_SKRU2_UNATTRIBUTED,"u_z(репер,t) − u_z(репер,t0) относительно исходных реперов; точечная опора; эпохи кампаний",FIGURE_VALUES_DIGITIZED_APPROX,"approx. visual readings, levelling/InSAR (мм): Рп2 -41/-38; Рп4 -30/-31; Рп9 -15/-23; Рп11..Рп14 ~-8/-10..-12; Рп15 -9/-12; Рп16 -10.5/-11; Рп17 -11.5/-12; Рп18 -13.5/-13.5; Рп19 -15.5/-12.5; Рп21 -21.5/-17.5; Рп23 -30.5/-21.5; Рп24 -36.5/-29.5; Рп25 -39.5/-36.5; Рп26 -41.5/-37.5; Рп27 -42.5/-37.5; Рп28 -38.5/-31.5; Рп29 -30/-30.5; Рп30 -18.5/-12.5",PARTIAL (атрибуция к СКРУ-1 не доказана),публично не ранее 2012 (год публикации источника); внутренняя доступность у держателя — UNKNOWN (дата обработки/передачи не указана); держатель: ПНИПУ каф. МДГиГИС (InSAR); нивелирование — маркшейдерская служба (не названа),VKM-SRC-001,p13 [Рис.4 'Сводный график вертикальных смещений по профильной линии №5'],EV-VN-S001-0041,EV-MON-0069,FACT,MEASURED,FIELD,MEDIUM,GRAPH_DIGITIZED_APPROX,NOT_FOUND,VCHK-ML-03,merged,monitoring_observation,"Double-trough profile (two troughs at Рп2 and Рп26-27 ends). Benchmarks Рп1,3,5-8,10,20,22 absent from plot. Values digitised visually at 300 dpi, ±1 мм reading uncertainty; the text layer value 'Корреляция - 0,913' is an OCR error (visual 0,95). | ИСПРАВЛЕНИЯ 26.09.2026: область: SKRU1_SKRU2 → SKRU1_OR_SKRU2_UNATTRIBUTED (D-17; профильная линия №5 Соликамска, 2011: рудник не указан (ATTRIBUTION-006))"
MON-0003,LEVELLING,levelling,DATASET,"оседания вдоль линии, мм; нивелирование vs InSAR",method: levelling,survey_line | профильная линия 1 (Соликамск; СКРУ-1 или СКРУ-2 — не указано) | ids: Линия 1,measurement_date=2011/2016; dates: 2011-2016; 2015-2016; note: intervals 2011-2016 and 2015-2016,,not stated,"x = 'Расстояние от первого репера, км' (category axis 0, 0.2, 0.3 ... 1.4; 14 points)",см. datum_reference,Соликамск: СКРУ-1 или СКРУ-2 — источник не разделяет (UNATTRIBUTED) (линия 1),SKRU1_OR_SKRU2_UNATTRIBUTED,"u_z(репер,t) − u_z(репер,t0) относительно исходных реперов; точечная опора; эпохи кампаний",FIGURE_VALUES_DIGITIZED_APPROX,"visual approx. (x km: lev11-16 / InSAR11-16 / lev15-16 / InSAR15-16): 0: [-5]*/-13/0/0; 0.2: [-5]*/-18/0/-2; 0.3: [-10]*/-43/-13/-5; 0.4: -97/-85/-13/-10; 0.5: -100/-70/-13/-5; 0.6: -142/-97/-22/-10; 0.7: -172/-173/-28/-30; 0.8: -202/-215/-35/-35; 0.9: -215/-255/-48/-45; 1.0: -240/-278/-52/-47; 1.1: -282/-307/-62/-50; 1.2: -313/-313/-67/-55; 1.3: -348/-320/-67/-57; 1.4: -347/-368/-70/-72 | * ромб нивелирования 2011–2016 закрыт маркерами других серий; значение прочитано по линии серии (≈−5…−10 мм, визуальная интерполяция); в musikhin_vkm_src002_p15_profiles.csv эти точки — unresolved_occlusion (UNKNOWN); см. MCF-27",DISCOVERY_ONLY (слайды ПНИПУ; первичная публикация не найдена) | PARTIAL (атрибуция к СКРУ-1 не доказана),год публикации не извлечён; внутренняя доступность у держателя — UNKNOWN (дата обработки/передачи не указана); держатель: ПНИПУ каф. МДГиГИС; заказчик Уралкалий/СКРУ (по контексту),VKM-SRC-002,"p15 [слайд 15, 'Линия 1']",EV-VN-S002-0032,EV-MON-0059,FACT,MEASURED,FIELD,LOW,GRAPH_DIGITIZED_APPROX,NOT_FOUND,,merged,monitoring_observation,"Profile runs from stable end (0) into a deepening trough (flank, not a full trough). Values read at 300 dpi, ±5 мм. | ИСПРАВЛЕНИЯ 26.09.2026: область: SKRU1_SKRU2 → SKRU1_OR_SKRU2_UNATTRIBUTED (D-17; Соликамск (застроенная территория СКРУ-1 и СКРУ-2): рудник по линии источник не указывает); уверенность MEDIUM → LOW (discovery-only); VKM-SRC-002 — слайды доклада ПНИПУ: перепечатка/компиляция рисунков без библиографической привязки; SOURCE_REGISTER: discovery-only до нахождения первичной публикации; первоисточник — DATA_REQUEST (отчёт ПНИПУ для Уралкалия / диссертация Мусихина). FACT — только факт изображения на слайде; как наблюдение СКРУ-1 для бенчмарка не использовать до получения первоисточника (PRIMARY_SECONDARY-010); review_fixes: сводка графика, дублирующая поточечную оцифровку PUBLIC evidence/monitoring/musikhin_vkm_src002_p15_profiles.csv (OBS-MUS-P15-1-*); не загружать как отдельное наблюдение (summary_of, not_independent_observation; COVERAGE_DUPLICATES-009); possible_same_line с профильной линией №1 SRC-012 (MON-0027, MON-0033) — тождество не установлено (MCF-28, COVERAGE_DUPLICATES-015)"
MON-0004,LEVELLING,levelling,DATASET,"оседания вдоль линии, мм; нивелирование vs InSAR",method: levelling,survey_line | профильная линия 5 (Соликамск) | ids: Линия 5,measurement_date=2011/2016; dates: 2011-2016; 2015-2016,,,"x category axis 0, 0.1, 0.15 ... 1.2 км (24 points)",см. datum_reference,Соликамск: СКРУ-1 или СКРУ-2 — источник не разделяет (UNATTRIBUTED) (линия 5),SKRU1_OR_SKRU2_UNATTRIBUTED,"u_z(репер,t) − u_z(репер,t0) относительно исходных реперов; точечная опора; эпохи кампаний",FIGURE_VALUES_DIGITIZED_APPROX,"visual approx. 2011-2016 lev/InSAR: x0 -310/-238; 0.1 -280/-182; 0.15 -240/-155; 0.2 -242/-147; 0.25 -202/-135; 0.3 -162/-127; 0.35 -127/-126; 0.4..0.55 -125..-128/-125..-138; 0.6 -135/-145; 0.65 -142/-155; 0.7 -155/-165; 0.75 -180/-175; 0.8 -190/-192; 0.85 -230/-215; 0.9 -267/-245; 0.95 -298/-270; 1.0 -308/-285; 1.05 -298/-270; 1.1 -280/-240; 1.15 -232/-215; 1.2 -162/-170. 2015-2016 lev: -55 (x0) rising to ~-18..-20 (0.35-0.7) then ~-40..-45 (1.0-1.2); InSAR 2015-16: ~-45 at x0, -20..-30 middle, ~-37..-42 end",DISCOVERY_ONLY (слайды ПНИПУ; первичная публикация не найдена) | PARTIAL (атрибуция к СКРУ-1 не доказана),год публикации не извлечён; внутренняя доступность у держателя — UNKNOWN (дата обработки/передачи не указана); держатель: ПНИПУ каф. МДГиГИС; заказчик Уралкалий/СКРУ (по контексту),VKM-SRC-002,"p15 [слайд 15, 'Линия 5']",EV-VN-S002-0033,EV-MON-0060,FACT,MEASURED,FIELD,LOW,GRAPH_DIGITIZED_APPROX,NOT_FOUND,,merged,monitoring_observation,"Double-trough (W-shaped) profile. Largest InSAR-levelling discrepancy at first benchmarks (x 0-0.25 km): ~70-90 мм. Shape resembles SRC-001 Рис.4 'профильная линия №5' (2011 season, Рп2-Рп30: troughs at both ends, rise at last point) — possible same line, NOT confirmed. | ИСПРАВЛЕНИЯ 26.09.2026: область: SKRU1_SKRU2 → SKRU1_OR_SKRU2_UNATTRIBUTED (D-17; Соликамск (застроенная территория СКРУ-1 и СКРУ-2): рудник по линии источник не указывает); уверенность MEDIUM → LOW (discovery-only); VKM-SRC-002 — слайды доклада ПНИПУ: перепечатка/компиляция рисунков без библиографической привязки; SOURCE_REGISTER: discovery-only до нахождения первичной публикации; первоисточник — DATA_REQUEST (отчёт ПНИПУ для Уралкалия / диссертация Мусихина). FACT — только факт изображения на слайде; как наблюдение СКРУ-1 для бенчмарка не использовать до получения первоисточника (PRIMARY_SECONDARY-010); review_fixes: сводка графика, дублирующая поточечную оцифровку PUBLIC evidence/monitoring/musikhin_vkm_src002_p15_profiles.csv (OBS-MUS-P15-5-*); не загружать как отдельное наблюдение (summary_of, not_independent_observation; COVERAGE_DUPLICATES-009)"
MON-0005,LEVELLING,levelling,DATASET,"оседания вдоль линии, мм",method: levelling,survey_line | профильная линия 17 (Соликамск) | ids: Линия 17,measurement_date=2011/2016; dates: 2011-2016; 2015-2016,,,"x category axis labels 0.0, 0.1, 0.2, 0.2, 0.3, 0.3, 0.4, 0.4, 0.5, 0.5, 0.6 км (rounded, duplicated)",см. datum_reference,Соликамск: СКРУ-1 или СКРУ-2 — источник не разделяет (UNATTRIBUTED) (линия 17),SKRU1_OR_SKRU2_UNATTRIBUTED,"u_z(репер,t) − u_z(репер,t0) относительно исходных реперов; точечная опора; эпохи кампаний",FIGURE_VALUES_DIGITIZED_APPROX,"visual approx. 2011-2016 lev/InSAR: -132/-153; -147/-161; -170/-148; -176/-145; -169/-143; -159/-131; -105/-100; -83/-77; -80/-55; -72/-53; -71/-51. 2015-2016 lev: -18,-22,-26,-26,-25,-24,-15,-13,-13,-13,-13; InSAR: -18,-20,-19,-19,-19,-16,-12,-11,-4,-6,-7",DISCOVERY_ONLY (слайды ПНИПУ; первичная публикация не найдена) | PARTIAL (атрибуция к СКРУ-1 не доказана),год публикации не извлечён; внутренняя доступность у держателя — UNKNOWN (дата обработки/передачи не указана); держатель: ПНИПУ каф. МДГиГИС; заказчик Уралкалий/СКРУ (по контексту),VKM-SRC-002,"p15 [слайд 15, 'Линия 17']",EV-VN-S002-0034,EV-MON-0062,FACT,MEASURED,FIELD,LOW,GRAPH_DIGITIZED_APPROX,NOT_FOUND,,merged,monitoring_observation,"Short (≈0.6 km) line on trough flank; InSAR underestimates levelling by up to ~30 мм in the deep part. | ИСПРАВЛЕНИЯ 26.09.2026: область: SKRU1_SKRU2 → SKRU1_OR_SKRU2_UNATTRIBUTED (D-17; Соликамск (застроенная территория СКРУ-1 и СКРУ-2): рудник по линии источник не указывает); уверенность MEDIUM → LOW (discovery-only); VKM-SRC-002 — слайды доклада ПНИПУ: перепечатка/компиляция рисунков без библиографической привязки; SOURCE_REGISTER: discovery-only до нахождения первичной публикации; первоисточник — DATA_REQUEST (отчёт ПНИПУ для Уралкалия / диссертация Мусихина). FACT — только факт изображения на слайде; как наблюдение СКРУ-1 для бенчмарка не использовать до получения первоисточника (PRIMARY_SECONDARY-010); review_fixes: сводка графика, дублирующая поточечную оцифровку PUBLIC evidence/monitoring/musikhin_vkm_src002_p15_profiles.csv (OBS-MUS-P15-17-*); не загружать как отдельное наблюдение (summary_of, not_independent_observation; COVERAGE_DUPLICATES-009)"
MON-0006,LEVELLING,levelling,DATASET,"оседания вдоль линии за 2015-2016, мм",method: levelling,survey_line | профильная линия 6 (Соликамск) | ids: Линия 6,measurement_date=2015/2016; dates: 2015-2016; note: only 2015-2016 interval,,,"x category axis 0 ... 3.1 км (≈29 points, every second labelled)",см. datum_reference,Соликамск: СКРУ-1 или СКРУ-2 — источник не разделяет (UNATTRIBUTED) (линия 6),SKRU1_OR_SKRU2_UNATTRIBUTED,"u_z(репер,t) − u_z(репер,t0) относительно исходных реперов; точечная опора; эпохи кампаний",FIGURE_VALUES_DIGITIZED_APPROX,"visual approx.: lev +4 at x0 declining to about -8 (0.7-1.1), -21 (1.4-1.5), -34 (1.7), -45 (1.8), -48 (1.9), -50 (2.0), -36 (2.1), -26 (2.2), -18 (2.3), -7 (2.4), ~-4...-8 (2.5-2.9), +1 (3.1); InSAR: -1 at x0, -10 (0.4), -18 (0.7-0.8), -24 (0.9-1.0), -16 (1.1-1.2), -10 (1.5), -21 (1.7), -38 (1.8), -47 (1.9), -52 (2.0), -42 (2.1), -25 (2.2), -20 (2.3), -5 (2.4-2.5), -12 (2.6), -1 (3.1)",DISCOVERY_ONLY (слайды ПНИПУ; первичная публикация не найдена) | PARTIAL (атрибуция к СКРУ-1 не доказана),год публикации не извлечён; внутренняя доступность у держателя — UNKNOWN (дата обработки/передачи не указана); держатель: ПНИПУ каф. МДГиГИС; заказчик Уралкалий/СКРУ (по контексту),VKM-SRC-002,"p15 [слайд 15, 'Линия 6']",EV-VN-S002-0035,EV-MON-0061,FACT,MEASURED,FIELD,LOW,GRAPH_DIGITIZED_APPROX,NOT_FOUND,,merged,monitoring_observation,"Single V-shaped trough over ~1.5 km with minimum ≈-50 мм/yr-interval at x≈2.0 km; y-axis range +10...-60 differs from other charts. | ИСПРАВЛЕНИЯ 26.09.2026: область: SKRU1_SKRU2 → SKRU1_OR_SKRU2_UNATTRIBUTED (D-17; Соликамск (застроенная территория СКРУ-1 и СКРУ-2): рудник по линии источник не указывает); уверенность MEDIUM → LOW (discovery-only); VKM-SRC-002 — слайды доклада ПНИПУ: перепечатка/компиляция рисунков без библиографической привязки; SOURCE_REGISTER: discovery-only до нахождения первичной публикации; первоисточник — DATA_REQUEST (отчёт ПНИПУ для Уралкалия / диссертация Мусихина). FACT — только факт изображения на слайде; как наблюдение СКРУ-1 для бенчмарка не использовать до получения первоисточника (PRIMARY_SECONDARY-010); review_fixes: сводка графика, дублирующая поточечную оцифровку PUBLIC evidence/monitoring/musikhin_vkm_src002_p15_profiles.csv (OBS-MUS-P15-6-*); не загружать как отдельное наблюдение (summary_of, not_independent_observation; COVERAGE_DUPLICATES-009)"
MON-0007,LEVELLING,levelling,SYSTEM_DESCRIPTION,benchmark heights along networks/profiles,method: levelling,district | Berezniki,dates: typically 2-3 campaigns per year; publ=2023,обычно не чаще 2–3 раз в год,'высокая точность' (value not given),,не указано,ВКМКС (рудник не указан),VKM_REGIONAL,"u_z(репер,t) − u_z(репер,t0) относительно исходных реперов; точечная опора; эпохи кампаний",SPEC_OR_DESCRIPTION_ONLY,,METHOD/OPERATOR_PRIOR (не данные состояния),публично не ранее 2023 (год публикации источника); внутренняя доступность у держателя — UNKNOWN (дата обработки/передачи не указана); держатель: ИФЗ РАН (обработка) + ГИ УрО РАН (наземные данные); сцены DLR/ESA,VKM-SRC-003,p46 [§3.2 p.46],EV-VN-S003-0170,,FACT,DESCRIPTIVE,FIELD,MEDIUM,TEXT_LAYER,EXACT,,merged,monitoring_observation,Levelling class/accuracy not stated.
MON-0008,LEVELLING,levelling,DATASET,"vertical displacement rate at ground benchmarks (subsidence positive, mm/yr)",method: levelling,survey_line | Berezniki area A benchmark profiles | ids: dense benchmark lines along streets/railway in area A (visual),measurement_date=2020; dates: 2020 (exact campaigns not stated); publ=2023,,not stated,sign convention: subsidence positive (geodesy) vs negative (InSAR),см. datum_reference,"Березники, область «А» (контекст БКПРУ-1: солеотвал, провалы над затопленным полем); явно не указано на странице",OTHER_VKM_SITE,"u_z(репер,t) − u_z(репер,t0) относительно исходных реперов; точечная опора; эпохи кампаний",FIGURE_READ (подписи/легенды/классы),"Benchmarks shown as '+' arranged along linear profiles (streets, railway) and scattered; colour classes -27...398.1 mm/yr",VKM_ANALOGUE_ONLY,публично не ранее 2023 (год публикации источника); внутренняя доступность у держателя — UNKNOWN (дата обработки/передачи не указана); держатель: ИФЗ РАН (обработка) + ГИ УрО РАН (наземные данные); сцены DLR/ESA,VKM-SRC-003,p47 [Рис. 3.5],EV-VN-S003-0176,,FACT,MEASURED,FIELD,MEDIUM,VISUAL_READ,EXACT,,merged,monitoring_observation,"Sign convention mismatch between geodesy (+ = subsidence) and InSAR (- = subsidence) is explicit. Benchmark IDs, line names, accuracy class not given. Mine attribution not stated on this page; p39 locates area A next to the BKPRU-1 salt dump and proval No.2; Berezniki provals are over the flooded BKPRU-1 field (p31 context). Not SKRU-1."
MON-0009,LEVELLING,levelling,DATASET,"mean vertical velocity from repeat levelling (subsidence positive, mm/yr)",method: levelling,survey_line | SKRU-2 levelling profile network | ids: network of levelling profile lines over SKRU-2 allotment (IDs not given),measurement_date=2020-07/2021-07 (partly); dates: profiles near provał: 07.2020-07.2021 (p.67); other lines not dated; publ=2023,,not stated,subsidence positive; plotted on geographic grid,"географические координаты, датум не указан",СКРУ-2,SKRU2,"u_z(репер,t) − u_z(репер,t0) относительно исходных реперов; точечная опора; эпохи кампаний",FIGURE_READ (подписи/легенды/классы),"Geodesy classes from -20..0 (apparent uplift, red triangles; along several E-W/N-S lines SE of the dump and along the E56.825 line) up to 200-280 mm/yr; most benchmarks 0-20 mm/yr; 20-100 mm/yr on lines around provał 5 and north of the dump",NEIGHBOUR_ONLY (соседний рудник; не переносить на СКРУ-1 без статуса ANALOGUE),публично не ранее 2023 (год публикации источника); внутренняя доступность у держателя — UNKNOWN (дата обработки/передачи не указана); держатель: ИФЗ РАН (обработка) + ГИ УрО РАН (наземные данные); сцены DLR/ESA,VKM-SRC-003,p66 [Рис. 3.17 Б],EV-VN-S003-0237,,FACT,MEASURED,FIELD,MEDIUM,VISUAL_READ,NOT_FOUND,,merged,monitoring_observation,Existence and layout of a dense repeat-levelling profile network over SKRU-2 is new evidence for the observation operator; SKRU-1 likely has analogous networks (not shown here). SKRU-2 = neighbouring Solikamsk mine south of the city (not SKRU-1). Values are OTHER_VKM_SITE/SKRU2 and must not be transferred to SKRU-1 without explicit status.
MON-0010,LEVELLING,levelling,CITED_DESCRIPTION,vertical displacements of ground surface along repeated levelling profiles crossing a regional fault,method: levelling,unstated | ids: профили 4-4; 5-5; 6-6,dates: not stated; publ=2022,,not stated,not stated,не указано,вне ВКМ,NON_VKM,"u_z(репер,t) − u_z(репер,t0) относительно исходных реперов; точечная опора; эпохи кампаний",SPEC_OR_DESCRIPTION_ONLY,"profiles show narrow negative anomalies over fault zones; vertical axis mm (+8 to -8), see visual_check Рис. 5.7",METHOD/OPERATOR_PRIOR (не данные состояния),публично не ранее 2022 (год публикации источника); внутренняя доступность у держателя — UNKNOWN (дата обработки/передачи не указана); держатель: не указан,VKM-SRC-006,"p61 [§5.3, рис. 5.7]",EV-VN-S006-0147,,FACT,LITERATURE_CITED,FIELD,MEDIUM,TEXT_LAYER,EXACT,,merged,monitoring_observation,"Levelling-profile evidence of fault-zone anomalies (Кузьмин, 2019). Analogue for how tectonic anomalies appear on repeated levelling lines."
