campaign_id,modality,site_strict,start_as_printed,end_as_printed,cadence_epochs,producer,source_ids,vn_ids,locators,worldspec_event_type,scope,scale,confidence,status,notes,quote_vn_id
CMP-001,levelling/profile_line,"СКРУ-1, блок 201, профильная линия 12 (реперы 45–78)",1989,≥2010,"эпохи на рисунке: 1992, 1995, 2004, 2007, 2010",маркшейдерская служба («Сильвинит»/«Уралкалий»),VKM-SRC-011,EV-VN-S011-2653; EV-VN-S011-2087; EV-VN-S011-2097,VKM-SRC-011 p130; VKM-SRC-011 p131,MONITORING_CAMPAIGN,SKRU1,NOT_APPLICABLE; FIELD,HIGH; MEDIUM,FACT,единственный опубликованный многоэпохный ряд с явной атрибуцией СКРУ-1,EV-VN-S011-2653
CMP-002,levelling/profile_line,блок 129 (рудник не назван; возможно СКРУ-1 — не подтверждено),1968,2022,эпохи не приведены; «текущее» 2022,ГИ УрО РАН + Уралкалий (данные),VKM-SRC-021,EV-VN-S021-0034,VKM-SRC-021 p3,MONITORING_CAMPAIGN,UNSTATED,FIELD,HIGH,FACT,линия заложена через 3 года после начала отработки (1965),EV-VN-S021-0034
CMP-003,levelling/profile_line,линия №1 через м/ш целик СКРУ-1–СКРУ-2 (данные: целик + сторона СКРУ-2),1977,2020-10-09,30 эпох 2000–2020 на рис. 2.8; ежеквартально с 2017; данные по 30 реперам с 2003,маркшейдерская служба ПАО «Уралкалий»,VKM-SRC-012,EV-VN-S012-0170; EV-VN-S012-0351; EV-VN-S012-0240; EV-VN-S012-0279; EV-VN-S012-0561,VKM-SRC-012 p34; VKM-SRC-012 p51; VKM-SRC-012 p57; VKM-SRC-012 p103,MONITORING_CAMPAIGN,SKRU1_SKRU2,NOT_APPLICABLE; FIELD,HIGH; MEDIUM,FACT,калибровочная линия МКЭ-модели диссертации,EV-VN-S012-0170
CMP-004,levelling/profile_line,линия №7 (мульда на стороне СКРУ-2 у целика СКРУ-1–СКРУ-2),1990-06-01,2020-12-14,25 эпох; разрыв 2015–2018,маркшейдерская служба ПАО «Уралкалий»,VKM-SRC-012,EV-VN-S012-0241; EV-VN-S012-0352,VKM-SRC-012 p51,MONITORING_CAMPAIGN,SKRU1_SKRU2,NOT_APPLICABLE,MEDIUM; HIGH,FACT,,EV-VN-S012-0241
CMP-005,levelling/profile_line,"линия №10 (через целик СКРУ-1–СКРУ-2, СКРУ-2)",1991-12-27,2020-11-20,"28 эпох, зимние кампании; разрыв 2001–2009",маркшейдерская служба ПАО «Уралкалий»,VKM-SRC-012,EV-VN-S012-0239; EV-VN-S012-0354,VKM-SRC-012 p50,MONITORING_CAMPAIGN,SKRU2; SKRU1_SKRU2,NOT_APPLICABLE,MEDIUM; HIGH,FACT,,EV-VN-S012-0239
CMP-006,levelling/profile_line,линия №8 (целик СКРУ-2–СКРУ-3),1991-08-01,2021-10-14,"~106 циклов; нерегулярно до 2015, ~ежемесячно с 2015",маркшейдерская служба ПАО «Уралкалий»,VKM-SRC-012,EV-VN-S012-0247; EV-VN-S012-0242,VKM-SRC-012 p53; VKM-SRC-012 p52,MONITORING_CAMPAIGN,SKRU2,NOT_APPLICABLE,HIGH; MEDIUM,FACT,смена режима после провала 2014,EV-VN-S012-0247
CMP-007,levelling/profile_line,"линия №23 (целик СКРУ-2–СКРУ-3), IV класс",2009-09-09,2021-06-17,13 летних эпох,маркшейдерская служба ПАО «Уралкалий»,VKM-SRC-012,EV-VN-S012-0233,VKM-SRC-012 p49,MONITORING_CAMPAIGN,SKRU2,NOT_APPLICABLE,MEDIUM,FACT,,EV-VN-S012-0233
CMP-008,levelling+horizontal,"линия №3 ПНИПУ вдоль нефтепровода (целик СКРУ-2–СКРУ-3), II класс + длины 1:20 000",2011,2020,ежегодные кумулятивные эпохи 2012–2020,ПНИПУ,VKM-SRC-012,EV-VN-S012-0206; EV-VN-S012-0207; EV-VN-S012-0222; EV-VN-S012-0226,VKM-SRC-012 p42; VKM-SRC-012 p46; VKM-SRC-012 p47,MONITORING_CAMPAIGN,SKRU2,NOT_APPLICABLE,HIGH,FACT,влияние горных работ с 2003 — 8 лет без базы,EV-VN-S012-0206
CMP-009,gnss,пункт 507 (барьерный целик СКРУ-2–СКРУ-3),2015,2020,эпохи не указаны,ПНИПУ,VKM-SRC-012,EV-VN-S012-0209; EV-VN-S012-0214; EV-VN-S012-0356,VKM-SRC-012 p43; VKM-SRC-012 p44,MONITORING_CAMPAIGN,SKRU2,NOT_APPLICABLE,HIGH,FACT,,EV-VN-S012-0209
CMP-010,levelling/profile_line,СКРУ-2: много новых профильных линий,2017,,—,ПАО «Уралкалий»,VKM-SRC-012,EV-VN-S012-0228; EV-VN-S012-0227,VKM-SRC-012 p48,MONITORING_CAMPAIGN,SKRU2,NOT_APPLICABLE,HIGH,FACT,,EV-VN-S012-0228
