point_id,profile_id,zone_id
P-D01-W001,P-D01,GEO_SW
P-D01-W002,P-D01,GEO_SW
P-D01-W003,P-D01,GEO_SW
P-D01-W004,P-D01,GEO_SW
P-D01-W005,P-D01,GEO_SW
P-D01-W006,P-D01,GEO_SW
P-D01-W007,P-D01,GEO_SW
P-H01-W001,P-H01,GEO_SW
P-H01-W002,P-H01,GEO_SW
P-H01-W003,P-H01,GEO_SW
P-H01-W004,P-H01,GEO_SW
P-H01-W005,P-H01,GEO_SW
P-H01-W006,P-H01,GEO_SW
P-H01-W007,P-H01,GEO_SW
P-H02-W001,P-H02,GEO_SW
P-H02-W002,P-H02,GEO_SW
P-H02-W003,P-H02,GEO_SW
P-H02-W004,P-H02,GEO_SW
P-H02-W005,P-H02,GEO_SW
P-H02-W006,P-H02,GEO_SW
P-H02-W007,P-H02,GEO_SW
P-H03-W001,P-H03,GEO_SE
P-H03-W002,P-H03,GEO_SE
P-H03-W003,P-H03,GEO_SE
P-H03-W004,P-H03,GEO_SE
P-H03-W005,P-H03,GEO_SE
P-H03-W006,P-H03,GEO_SE
P-H03-W007,P-H03,GEO_SE
P-H04-W001,P-H04,GEO_SW
P-H04-W002,P-H04,GEO_SW
P-H04-W003,P-H04,GEO_SW
P-H04-W004,P-H04,GEO_SW
P-H04-W005,P-H04,GEO_SW
P-H04-W006,P-H04,GEO_SW
P-H04-W007,P-H04,GEO_SW
P-H05-W001,P-H05,GEO_NE
P-H05-W002,P-H05,GEO_NE
P-H05-W003,P-H05,GEO_NE
P-H05-W004,P-H05,GEO_NE
P-H05-W005,P-H05,GEO_NE
P-H05-W006,P-H05,GEO_NE
P-H05-W007,P-H05,GEO_NE
P-H06-W001,P-H06,GEO_NE
P-H06-W002,P-H06,GEO_NE
P-H06-W003,P-H06,GEO_NE
P-H06-W004,P-H06,GEO_NE
P-H06-W005,P-H06,GEO_NE
P-H06-W006,P-H06,GEO_NE
P-H06-W007,P-H06,GEO_NE
P-H07-W001,P-H07,GEO_NE
P-H07-W002,P-H07,GEO_NE
P-H07-W003,P-H07,GEO_NE
P-H07-W004,P-H07,GEO_NE
P-H07-W005,P-H07,GEO_NE
P-H07-W006,P-H07,GEO_NE
P-H07-W007,P-H07,GEO_NE
P-V01-W001,P-V01,GEO_SW
P-V01-W002,P-V01,GEO_SW
P-V01-W003,P-V01,GEO_SW
P-V01-W004,P-V01,GEO_SW
P-V01-W005,P-V01,GEO_SW
P-V01-W006,P-V01,GEO_SW
P-V01-W007,P-V01,GEO_SW
P-V02-W001,P-V02,GEO_SW
P-V02-W002,P-V02,GEO_SW
P-V02-W003,P-V02,GEO_NW
P-V02-W004,P-V02,GEO_NW
P-V02-W005,P-V02,GEO_NW
P-V02-W006,P-V02,GEO_NW
P-V02-W007,P-V02,GEO_NW
P-V03-W001,P-V03,GEO_SW
P-V03-W002,P-V03,GEO_SW
P-V03-W003,P-V03,GEO_SW
P-V03-W004,P-V03,GEO_SW
P-V03-W005,P-V03,GEO_NW
P-V03-W006,P-V03,GEO_NW
P-V03-W007,P-V03,GEO_NW
P-V04-W001,P-V04,GEO_NE
P-V04-W002,P-V04,GEO_NE
P-V04-W003,P-V04,GEO_NE
P-V04-W004,P-V04,GEO_NE
P-V04-W005,P-V04,GEO_NE
P-V04-W006,P-V04,GEO_NE
P-V04-W007,P-V04,GEO_NE
P-V05-W001,P-V05,GEO_SE
P-V05-W002,P-V05,GEO_NE
P-V05-W003,P-V05,GEO_NE
P-V05-W004,P-V05,GEO_NE
P-V05-W005,P-V05,GEO_NE
P-V05-W006,P-V05,GEO_NE
P-V05-W007,P-V05,GEO_NE
P-V06-W001,P-V06,GEO_NE
P-V06-W002,P-V06,GEO_NE
P-V06-W003,P-V06,GEO_NE
P-V06-W004,P-V06,GEO_NE
P-V06-W005,P-V06,GEO_NE
P-V06-W006,P-V06,GEO_NE
P-V06-W007,P-V06,GEO_NE
