level,design,fold_id,parent_fold_id,held_out_key,held_out_group,validation_target_date,train_origins,validation_origins,train_sequence_pairs_sha256,validation_sequence_pairs_sha256,train_input_date_max,validation_input_date_max,train_target_date_max,validation_target_date_min,forward_only,future_observations_in_inputs,target_observations_in_inputs,held_group_absent_from_train,held_group_validation_contract,preprocessing_fit_role,early_stopping_scope,assignment_source,assignment_sha256,benchmark_plan_sha256,benchmark_plan_id
inner,rolling_origin,rolling_origin_2021-05-18__inner_1_2020-06-02,rolling_origin_2021-05-18,,,2020-06-02,205,15,8cb6fa60d5e7a6dc7d2a23341a7441bd9d17999e16b2ab8e50e9031fd879b029,71819417df8fd8851907509efd2d5c383977ce4e72aab85952014ed92eb91d0c,2019-11-05,2020-04-21,2020-04-21,2020-06-02,True,0,0,True,True,train,inner_rolling_validation_within_t1_v1_train,artifacts/splits/t1_train_benchmark_v1/inner_assignments.csv,544bfd62a0bcd27d77692345e4617ecd7a3f4c9e6ef1b2078c47f603ea1937ed,bc4fdad1ab2d003804eec134ebacc493f33db3f37d55f10e3f8c31ea93b4f20a,t1_train_benchmark_v1
inner,rolling_origin,rolling_origin_2021-05-18__inner_2_2020-10-20,rolling_origin_2021-05-18,,,2020-10-20,220,82,517e524f43307585727820dad4ed7af55fdf93bdbf9b2e80cfb97584c40d7b9d,a8ebf723d73fd30ad76a782d3348bbd1af55d8803128b3352abb021330cff879,2020-04-21,2020-06-02,2020-06-02,2020-10-20,True,0,0,True,True,train,inner_rolling_validation_within_t1_v1_train,artifacts/splits/t1_train_benchmark_v1/inner_assignments.csv,544bfd62a0bcd27d77692345e4617ecd7a3f4c9e6ef1b2078c47f603ea1937ed,bc4fdad1ab2d003804eec134ebacc493f33db3f37d55f10e3f8c31ea93b4f20a,t1_train_benchmark_v1
inner,rolling_origin,rolling_origin_2021-05-18__inner_3_2021-01-26,rolling_origin_2021-05-18,,,2021-01-26,302,14,0b16c9c62b07f75c2baf4408eaafbbd23b19df91e7299f4b561947d74d7c2467,7af2a8693f48b1a101bee2a26b0259b7a45d93078360b947735e3e73040cd4f0,2020-06-02,2020-10-20,2020-10-20,2021-01-26,True,0,0,True,True,train,inner_rolling_validation_within_t1_v1_train,artifacts/splits/t1_train_benchmark_v1/inner_assignments.csv,544bfd62a0bcd27d77692345e4617ecd7a3f4c9e6ef1b2078c47f603ea1937ed,bc4fdad1ab2d003804eec134ebacc493f33db3f37d55f10e3f8c31ea93b4f20a,t1_train_benchmark_v1
inner,rolling_origin,rolling_origin_2021-07-13__inner_1_2020-10-20,rolling_origin_2021-07-13,,,2020-10-20,220,82,517e524f43307585727820dad4ed7af55fdf93bdbf9b2e80cfb97584c40d7b9d,a8ebf723d73fd30ad76a782d3348bbd1af55d8803128b3352abb021330cff879,2020-04-21,2020-06-02,2020-06-02,2020-10-20,True,0,0,True,True,train,inner_rolling_validation_within_t1_v1_train,artifacts/splits/t1_train_benchmark_v1/inner_assignments.csv,544bfd62a0bcd27d77692345e4617ecd7a3f4c9e6ef1b2078c47f603ea1937ed,bc4fdad1ab2d003804eec134ebacc493f33db3f37d55f10e3f8c31ea93b4f20a,t1_train_benchmark_v1
inner,rolling_origin,rolling_origin_2021-07-13__inner_2_2021-01-26,rolling_origin_2021-07-13,,,2021-01-26,302,14,0b16c9c62b07f75c2baf4408eaafbbd23b19df91e7299f4b561947d74d7c2467,7af2a8693f48b1a101bee2a26b0259b7a45d93078360b947735e3e73040cd4f0,2020-06-02,2020-10-20,2020-10-20,2021-01-26,True,0,0,True,True,train,inner_rolling_validation_within_t1_v1_train,artifacts/splits/t1_train_benchmark_v1/inner_assignments.csv,544bfd62a0bcd27d77692345e4617ecd7a3f4c9e6ef1b2078c47f603ea1937ed,bc4fdad1ab2d003804eec134ebacc493f33db3f37d55f10e3f8c31ea93b4f20a,t1_train_benchmark_v1
inner,rolling_origin,rolling_origin_2021-07-13__inner_3_2021-05-18,rolling_origin_2021-07-13,,,2021-05-18,316,84,892f10ca818c7c06f7df74a6655484d09b13b1a146f05522de31a100027e5e7a,5f9c2a9213cd17d40d7298221580a6dc96060f568c04c266e5fa091e69ab134c,2020-10-20,2021-01-26,2021-01-26,2021-05-18,True,0,0,True,True,train,inner_rolling_validation_within_t1_v1_train,artifacts/splits/t1_train_benchmark_v1/inner_assignments.csv,544bfd62a0bcd27d77692345e4617ecd7a3f4c9e6ef1b2078c47f603ea1937ed,bc4fdad1ab2d003804eec134ebacc493f33db3f37d55f10e3f8c31ea93b4f20a,t1_train_benchmark_v1
inner,rolling_origin,rolling_origin_2021-11-02__inner_1_2021-01-26,rolling_origin_2021-11-02,,,2021-01-26,302,14,0b16c9c62b07f75c2baf4408eaafbbd23b19df91e7299f4b561947d74d7c2467,7af2a8693f48b1a101bee2a26b0259b7a45d93078360b947735e3e73040cd4f0,2020-06-02,2020-10-20,2020-10-20,2021-01-26,True,0,0,True,True,train,inner_rolling_validation_within_t1_v1_train,artifacts/splits/t1_train_benchmark_v1/inner_assignments.csv,544bfd62a0bcd27d77692345e4617ecd7a3f4c9e6ef1b2078c47f603ea1937ed,bc4fdad1ab2d003804eec134ebacc493f33db3f37d55f10e3f8c31ea93b4f20a,t1_train_benchmark_v1
inner,rolling_origin,rolling_origin_2021-11-02__inner_2_2021-05-18,rolling_origin_2021-11-02,,,2021-05-18,316,84,892f10ca818c7c06f7df74a6655484d09b13b1a146f05522de31a100027e5e7a,5f9c2a9213cd17d40d7298221580a6dc96060f568c04c266e5fa091e69ab134c,2020-10-20,2021-01-26,2021-01-26,2021-05-18,True,0,0,True,True,train,inner_rolling_validation_within_t1_v1_train,artifacts/splits/t1_train_benchmark_v1/inner_assignments.csv,544bfd62a0bcd27d77692345e4617ecd7a3f4c9e6ef1b2078c47f603ea1937ed,bc4fdad1ab2d003804eec134ebacc493f33db3f37d55f10e3f8c31ea93b4f20a,t1_train_benchmark_v1
inner,rolling_origin,rolling_origin_2021-11-02__inner_3_2021-07-13,rolling_origin_2021-11-02,,,2021-07-13,400,12,9fa21e96643969d4eaee67813ebd6a585a3b32f898e4a48214608c4a2f3eb59b,f66f0702cd2af3d14cb93eea9ff18f36d2df935083344eb93d1e20db7a1a6a68,2021-01-26,2021-05-18,2021-05-18,2021-07-13,True,0,0,True,True,train,inner_rolling_validation_within_t1_v1_train,artifacts/splits/t1_train_benchmark_v1/inner_assignments.csv,544bfd62a0bcd27d77692345e4617ecd7a3f4c9e6ef1b2078c47f603ea1937ed,bc4fdad1ab2d003804eec134ebacc493f33db3f37d55f10e3f8c31ea93b4f20a,t1_train_benchmark_v1
inner,rolling_origin,rolling_origin_2022-03-01__inner_1_2021-05-18,rolling_origin_2022-03-01,,,2021-05-18,316,84,892f10ca818c7c06f7df74a6655484d09b13b1a146f05522de31a100027e5e7a,5f9c2a9213cd17d40d7298221580a6dc96060f568c04c266e5fa091e69ab134c,2020-10-20,2021-01-26,2021-01-26,2021-05-18,True,0,0,True,True,train,inner_rolling_validation_within_t1_v1_train,artifacts/splits/t1_train_benchmark_v1/inner_assignments.csv,544bfd62a0bcd27d77692345e4617ecd7a3f4c9e6ef1b2078c47f603ea1937ed,bc4fdad1ab2d003804eec134ebacc493f33db3f37d55f10e3f8c31ea93b4f20a,t1_train_benchmark_v1
