point_id,profile_label,figure_order,distance_label_as_printed_km,distance_value_from_label_km,method,observation_interval_label,source_pixel_x,source_pixel_y,signed_displacement_mm,axis_calibrated_signed_mm,digitization_minus_axis_calibration_mm,digitization_envelope_half_width_mm,reading_status,reading_envelope_interpretation,source_file,source_sha256,pdf_page,provenance,eligible_as_t1_time_series,mapped_synthetic_point_id
SUP01-P17-LEVELING-2011_2016-001,17,1,0.0,0.0,leveling,2011-2016,135.5,312.5,-132.2,-132.238806,0.038806,1.8,digitized_marker_or_visible_curve,digitization_bound_not_measurement_sigma_or_confidence_interval,geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,D_published_graph,False,
SUP01-P17-LEVELING-2011_2016-002,17,2,0.1,0.1,leveling,2011-2016,205.9,337.5,-147.2,-147.164179,-0.035821,1.8,digitized_marker_or_visible_curve,digitization_bound_not_measurement_sigma_or_confidence_interval,geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,D_published_graph,False,
SUP01-P17-LEVELING-2011_2016-003,17,3,0.2,0.2,leveling,2011-2016,276.3,375.5,-169.9,-169.850746,-0.049254,1.8,digitized_marker_or_visible_curve,digitization_bound_not_measurement_sigma_or_confidence_interval,geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,D_published_graph,False,
SUP01-P17-LEVELING-2011_2016-004,17,4,0.2,0.2,leveling,2011-2016,346.70000000000005,385.5,-175.8,-175.820896,0.020896,1.8,digitized_marker_or_visible_curve,digitization_bound_not_measurement_sigma_or_confidence_interval,geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,D_published_graph,False,
SUP01-P17-LEVELING-2011_2016-005,17,5,0.3,0.3,leveling,2011-2016,417.1,373.5,-168.7,-168.656716,-0.043284,1.8,digitized_marker_or_visible_curve,digitization_bound_not_measurement_sigma_or_confidence_interval,geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,D_published_graph,False,
SUP01-P17-LEVELING-2011_2016-006,17,6,0.3,0.3,leveling,2011-2016,487.5,357.0,-158.8,-158.80597,0.00597,1.8,digitized_marker_or_visible_curve,digitization_bound_not_measurement_sigma_or_confidence_interval,geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,D_published_graph,False,
SUP01-P17-LEVELING-2011_2016-007,17,7,0.4,0.4,leveling,2011-2016,557.9000000000001,,,,,,unresolved_occlusion,digitization_bound_not_measurement_sigma_or_confidence_interval,geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,D_published_graph,False,
SUP01-P17-LEVELING-2011_2016-008,17,8,0.4,0.4,leveling,2011-2016,628.3000000000001,,,,,,unresolved_occlusion,digitization_bound_not_measurement_sigma_or_confidence_interval,geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,D_published_graph,False,
SUP01-P17-LEVELING-2011_2016-009,17,9,0.5,0.5,leveling,2011-2016,698.7,224.5,-79.7,-79.701493,0.001493,1.8,digitized_marker_or_visible_curve,digitization_bound_not_measurement_sigma_or_confidence_interval,geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,D_published_graph,False,
SUP01-P17-LEVELING-2011_2016-010,17,10,0.5,0.5,leveling,2011-2016,769.1,211.5,-71.9,-71.940299,0.040299,1.8,digitized_marker_or_visible_curve,digitization_bound_not_measurement_sigma_or_confidence_interval,geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,D_published_graph,False,
SUP01-P17-LEVELING-2011_2016-011,17,11,0.6,0.6,leveling,2011-2016,839.5,209.5,-70.7,-70.746269,0.046269,1.8,digitized_marker_or_visible_curve,digitization_bound_not_measurement_sigma_or_confidence_interval,geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,D_published_graph,False,
SUP01-P17-LEVELING-2015_2016-001,17,1,0.0,0.0,leveling,2015-2016,135.5,121.5,-18.2,-18.208955,0.008955,1.8,digitized_marker_or_visible_curve,digitization_bound_not_measurement_sigma_or_confidence_interval,geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,D_published_graph,False,
SUP01-P17-LEVELING-2015_2016-002,17,2,0.1,0.1,leveling,2015-2016,205.9,127.5,-21.8,-21.791045,-0.008955,1.8,digitized_marker_or_visible_curve,digitization_bound_not_measurement_sigma_or_confidence_interval,geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,D_published_graph,False,
SUP01-P17-LEVELING-2015_2016-003,17,3,0.2,0.2,leveling,2015-2016,276.3,134.5,-26.0,-25.970149,-0.029851,1.8,digitized_marker_or_visible_curve,digitization_bound_not_measurement_sigma_or_confidence_interval,geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,D_published_graph,False,
SUP01-P17-LEVELING-2015_2016-004,17,4,0.2,0.2,leveling,2015-2016,346.70000000000005,135.0,-26.3,-26.268657,-0.031343,1.8,digitized_marker_or_visible_curve,digitization_bound_not_measurement_sigma_or_confidence_interval,geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,D_published_graph,False,
