fold_id,base_point_id,held,replicas
leave_profile_P-D01,P-H03-W001,False,all_worlds_all_observation_conditions
leave_profile_P-D01,P-H03-W004,False,all_worlds_all_observation_conditions
leave_profile_P-D01,P-H03-W007,False,all_worlds_all_observation_conditions
leave_profile_P-D01,P-V01-W001,False,all_worlds_all_observation_conditions
leave_profile_P-D01,P-V01-W004,False,all_worlds_all_observation_conditions
leave_profile_P-D01,P-V01-W007,False,all_worlds_all_observation_conditions
leave_profile_P-D01,P-H02-W001,False,all_worlds_all_observation_conditions
leave_profile_P-D01,P-H02-W004,False,all_worlds_all_observation_conditions
leave_profile_P-D01,P-H02-W007,False,all_worlds_all_observation_conditions
leave_profile_P-D01,P-D01-W001,True,all_worlds_all_observation_conditions
leave_profile_P-D01,P-D01-W004,True,all_worlds_all_observation_conditions
leave_profile_P-D01,P-D01-W007,True,all_worlds_all_observation_conditions
leave_profile_P-D01,P-H01-W001,False,all_worlds_all_observation_conditions
leave_profile_P-D01,P-H01-W004,False,all_worlds_all_observation_conditions
leave_profile_P-D01,P-H01-W007,False,all_worlds_all_observation_conditions
leave_profile_P-D01,P-H04-W001,False,all_worlds_all_observation_conditions
leave_profile_P-D01,P-H04-W004,False,all_worlds_all_observation_conditions
leave_profile_P-D01,P-H04-W007,False,all_worlds_all_observation_conditions
leave_profile_P-D01,P-H05-W001,False,all_worlds_all_observation_conditions
leave_profile_P-D01,P-H05-W004,False,all_worlds_all_observation_conditions
leave_profile_P-D01,P-H05-W007,False,all_worlds_all_observation_conditions
leave_profile_P-D01,P-H06-W001,False,all_worlds_all_observation_conditions
leave_profile_P-D01,P-H06-W004,False,all_worlds_all_observation_conditions
leave_profile_P-D01,P-H06-W007,False,all_worlds_all_observation_conditions
leave_profile_P-D01,P-H07-W001,False,all_worlds_all_observation_conditions
leave_profile_P-D01,P-H07-W004,False,all_worlds_all_observation_conditions
leave_profile_P-D01,P-H07-W007,False,all_worlds_all_observation_conditions
leave_profile_P-D01,P-V02-W001,False,all_worlds_all_observation_conditions
leave_profile_P-D01,P-V02-W004,False,all_worlds_all_observation_conditions
leave_profile_P-D01,P-V02-W007,False,all_worlds_all_observation_conditions
leave_profile_P-D01,P-V03-W001,False,all_worlds_all_observation_conditions
leave_profile_P-D01,P-V03-W004,False,all_worlds_all_observation_conditions
leave_profile_P-D01,P-V03-W007,False,all_worlds_all_observation_conditions
leave_profile_P-D01,P-V04-W001,False,all_worlds_all_observation_conditions
leave_profile_P-D01,P-V04-W004,False,all_worlds_all_observation_conditions
leave_profile_P-D01,P-V04-W007,False,all_worlds_all_observation_conditions
leave_profile_P-D01,P-V05-W001,False,all_worlds_all_observation_conditions
leave_profile_P-D01,P-V05-W004,False,all_worlds_all_observation_conditions
leave_profile_P-D01,P-V05-W007,False,all_worlds_all_observation_conditions
leave_profile_P-D01,P-V06-W001,False,all_worlds_all_observation_conditions
leave_profile_P-D01,P-V06-W004,False,all_worlds_all_observation_conditions
leave_profile_P-D01,P-V06-W007,False,all_worlds_all_observation_conditions
leave_profile_P-H01,P-H03-W001,False,all_worlds_all_observation_conditions
leave_profile_P-H01,P-H03-W004,False,all_worlds_all_observation_conditions
leave_profile_P-H01,P-H03-W007,False,all_worlds_all_observation_conditions
leave_profile_P-H01,P-V01-W001,False,all_worlds_all_observation_conditions
leave_profile_P-H01,P-V01-W004,False,all_worlds_all_observation_conditions
leave_profile_P-H01,P-V01-W007,False,all_worlds_all_observation_conditions
leave_profile_P-H01,P-H02-W001,False,all_worlds_all_observation_conditions
leave_profile_P-H01,P-H02-W004,False,all_worlds_all_observation_conditions
leave_profile_P-H01,P-H02-W007,False,all_worlds_all_observation_conditions
leave_profile_P-H01,P-D01-W001,False,all_worlds_all_observation_conditions
leave_profile_P-H01,P-D01-W004,False,all_worlds_all_observation_conditions
leave_profile_P-H01,P-D01-W007,False,all_worlds_all_observation_conditions
leave_profile_P-H01,P-H01-W001,True,all_worlds_all_observation_conditions
leave_profile_P-H01,P-H01-W004,True,all_worlds_all_observation_conditions
leave_profile_P-H01,P-H01-W007,True,all_worlds_all_observation_conditions
leave_profile_P-H01,P-H04-W001,False,all_worlds_all_observation_conditions
leave_profile_P-H01,P-H04-W004,False,all_worlds_all_observation_conditions
