relative_path,size_bytes,sha256
CHANGELOG_V3_2.md,445,8885547571b103d21655476acb7535163dd10f1739d73b2b5983759be94f7503
DATASET_CARD.md,562,86a9200599de3d34b0cbf991421a8c81ad1a2c931739a4aca4de355e583b148c
METHODOLOGY_V3.md,1377,43e4d853964d9053d833927710f4028682da41f55161d6899cbdd838fbb22612
METHODOLOGY_V3_2.md,939,dcd44aee19ac06a54608054ee3fcf4d98b8982b4862ff45b19899d8ff9e13465
README.md,577,b8f4b3d9d34eebf0e0b6b2b46ca8eb393324f0826b79021fd14b8dd193c7fef4
audit/baseline_regression_metrics.csv,764,06b46470b660dea7183d56e63e0b8b7f40328207fabf2db7a7bd1e73ecc03713
audit/early_warning_baseline_metrics.csv,219,ac93638a41d3b3b34c9eb3ca59383b6ece335aa5892f8fd2abcab2e4df404050
audit/frozen_baseline_selection.json,144,b0fa7d949c90804cbfe38f96674de3ac2730c7142b563fc194390c60bdaf53d8
evaluation_only/early_acceleration_labels.csv,113718,60f90951a16909d38fd3e74bcf587f7a827146a3fb297b658f42668c3d29f28a
evaluation_only/gnss_truth_residuals.csv,75511,6c7b31c7329b7dba8fce16c4127012884ffd834ef86689e34309d3627f8eb40e
evaluation_only/insar_truth_relative.csv,1742203,9f0e4157ea8514a53d4787a0e9368b9018074ff05d0ccb389eef466ade8fef79
evaluation_only/leveling_adjustment_truth_residuals.csv,195058,266fe4caa0bcc30128832c8eb238e705282739d5770a0b782fd8515e1b13d995
evaluation_only/leveling_station_injected_error_labels.csv,231080,bcfb868b8e7ee6fe115821feae60d1972a00f58e71de01fa80d485250026db44
evaluation_only/next_cycle_targets.csv,111461,9e9d2d2f0b8e186d88ca2519b15d7ae841b759ea4c301d7c3359ca3ed6370c4c
evaluation_only/planar_observation_truth_residuals.csv,232049,e0cc35bb5c82dacff8ecf6f68c7e108671e3c269e02143d32b5a5a16f911e077
evaluation_only/regime_stage_transitions.csv,14174,955237a2b31caf0f63cb6a0f8bc778fae38faf5f5e11596b13f163928bf743c6
evaluation_only/stress_early_acceleration_labels.csv,64202,aca12eb87c0dfc5ca23c3082028c7d3a7691edcba257b8727a27d4f99aa82fe7
evaluation_only/stress_test_measurement_labels.csv,171686,3513daf06af2407838bb3314f26b69da3c5608a1aeb75ce611fdbc79a851de14
evaluation_only/stress_test_truth_monthly.csv,383951,7a658b5d3a7809e382cfe17b0dc8cfcbc6986cf1dbe765ab0d72e1535973ed5d
evaluation_only/synthetic_truth_ensemble_quarterly.csv,2445517,3e4a7437521726724581dbf9c2cb287f85c4c88b53885c4df53d027ddbb6b381
evaluation_only/synthetic_truth_quantiles_quarterly.csv,292945,ef7da2d2723396569ebfbde1878a8acbead14d47f1c96e8cce7796def5add342
evaluation_only/truth_survey_points_monthly.csv,1916780,a0bfb4117dc9158a9e6e00f0869facacbde4eb82a5ced3216b6e13d47fd5b651
external_validation/EXTERNAL_VALIDATION_PROTOCOL.md,495,217408ae3de96d1285eb692238941911a0688642e52cfd00ea24e843d7c4c013
external_validation/external_cycle_schema.csv,451,8172166836fca791e9c0f8a811ce63e039a376dd68b970b50d1a9a3068b4406e
external_validation/frozen_baseline_config.json,144,b0fa7d949c90804cbfe38f96674de3ac2730c7142b563fc194390c60bdaf53d8
external_validation/run_external_validation.py,2491,4372ada848af0eb1610bbcc06289f02049d43cb3274e2a668077f594940469e1
external_validation/synthetic_smoke_fixture.csv,3348,b904895888a25e66817a21795c6f2a809629e599e49a9644d19ee2ef2c940fc2
external_validation/synthetic_smoke_output/external_metrics.json,304,695ec1039cdd43fd6c74659e95822c702d6b7b5993ae3c6fcb0febd6ce409489
external_validation/synthetic_smoke_output/external_predictions.csv,3787,5d9f4bba180e810cf14ea185630e03fe761b86e3f2d882ead5279c32d126e7de
external_validation/synthetic_smoke_test_status.json,107,14253e5625306b1f1322602ae72bbd4d888beaa94501672b15800f217a0e3402
figures/01_spatial_field_v3.png,395378,6cdcfb5d2a71caad6beaf6d10cb90e51fa7e4a43cf46dbbd673344160945e9b2
figures/02_survey_network_v3.png,262206,24e19a321b63fbd5ccbdea8777fa7e9f7dba6521f9a8f651be35145e919d8c1e
figures/03_nominal_histories_v3.png,160202,7965af750142b3d7b3232526f9b4c341350cf38557df903c5926aa4b65bf31e1
figures/04_anchor_residuals_v3.png,45184,64282efac4a9803bec6711487f2e22157b1a32399230ab118e7dce9364db1cab
figures_v3_2/01_regime_balance.png,39685,bce70cf7b1cbbb9627a53a20aeabb30f7ab9248b139f8564ca34c65ab99c920f
figures_v3_2/02_velocity_distribution.png,29355,6011c08257d7d564dee6b3b05908af15d41b861652fdfc6ce9c1e56146d0a595
figures_v3_2/03_campaign_coverage.png,41219,889f955c8907d39a7289003ec612b3874344a4595444d85dedaac5f21be6557c
figures_v3_2/04_gnss_network.png,49226,867c1ba4e1a46d38f1f1e51961558f38d135de44e747b1b29e76ed004a7ffe41
figures_v3_2/05_insar_field.png,161515,0d7b8773f8c2183ff7e14356308d1f81b0665c9415c12bde082345b6e7f0cf11
figures_v3_2/06_early_warning_balance.png,24499,8da081b7898fd5f6d86f591fb3bafc2cfb3c2866945a4fc81a54544445116738
geodata/skru1_data_reconstruction_v3_2.gpkg,11517952,d2fe44ffeaccaba20141e530dee320427b2bf5d0c2cd525c99350a991448673b
metadata/dataset_manifest.csv,15003,25324aead4702d61609361d4ac9770f1728b11a0bf0588c6541bd0f2f1f5910c
metadata/dataset_manifest.json,236,20055c4ffd104d47a9d653a66121c56a60a6c1a2e2d14142e2f45e03c157ad25
metadata/model_ready_manifest.json,1024,600d11ce80339d1948ba710649d863716e765d65fed4d8a4efd06385ef6ea52b
metadata/reconstruction_config.json,648,6c9629dd564a20db28139f2b0da194a681ce44d7551749d012a36322dde686ec
metadata/validation_checks.csv,3943,047b103a8620bc2a176845ac1e57f27e00fc02bcb2c0def580bbbb31fff425c4
metadata/validation_report.json,859,4f9246307e62e0d69ea10841561a145710da9ac65c554a21f4fb7ca0fc1cdeec
model_ready/early_acceleration_balanced_index.csv,10174,c32814d9667cdef03a010574d697ee16aaabcfbe458b09476c699959e1521be2
model_ready/early_acceleration_features.csv,529607,f34494ce9df89561e77ffa3fbc4e590c26d40011f19584e72c6374d02adefd37
model_ready/feature_contract.csv,7329,643dce3c0030ff359bb0a469add725831d3d4e838cdb5878bddf52fb94b00d22
model_ready/next_cycle_features.csv,550022,bd1eed0554b56a0daa2df725a06cbc9d77d07c1abfd3cc156bbee99bf60f2a58
model_ready/point_feature_lineage_safe.csv,87227,58b40c88f3480b034a6de3c2e3873d719710a38b000af47f9320db8c4683e8ca
model_ready/static_point_features.csv,31948,42f8e0dc538acb6d107bf32a3781d080a2cc5a2e0ac69fe10f4113ce5d3a24a2
model_ready/stress_early_acceleration_features.csv,182004,b0f6f5c0ec281bd7ca2dadabd6df8446f57339a401d46095bc122208d1dc00a9
model_ready/stress_static_features.csv,17636,3e572a25936fe5e06c060c6019738ede89a398ade499f9a1a16e75883f5892af
private_generation/hidden_event_catalog.csv,2753,d1704529a21b776d15b64825d1ef15e943dbec6bf02f0da1b712d4c52a49fc08
private_generation/insar_spatial_source_catalog.csv,452,fa24d34688176741d87671753d3a1d2bb34f3d4bd11fba799941ab985d82ccd3
private_generation/process_family_assignment.csv,4258,4c14009ead220c04790c3451bb29575685ad8a91fa152de6bca3d0ba5b6c4c05
private_generation/process_parameters_survey_points.csv,16695,a77d1c65dcf154b667be50ad3e1d29aabc1fe6ce8054b0f876d256543ff94c71
reproduce_v3.py,104959,0d238f938183494ac9dbd8c523c4c01dedd018061edb0a550f5de229179d9f49
reproduce_v3_2.py,127593,1141d84bfb7b1e5f8af5309421c37343ae136b571606ab4eac4936818a231691
requirements.txt,96,43ca08b2750489607a9ef667b7d07e4c5b7681b32c38ea227a47ed0f3e43bea0
seed/normative_requirements.csv,3922,570e8e63805f7e52b3d7e77500ae6b2eb937ef40e2089758f67bbdff0245f239
seed/provenance_codes.csv,1138,aa7291cda6728d7c34a2a0a6c49cbf97f4ba24ba459b2211edca605ab8e4f204
seed/published_anchors_transcribed.csv,9473,e70e15c73d70f18e7c59f8ca1ac36275082f8a5007319cd1d44f2921dd151efe
seed/source_layer_manifest.csv,2044,c2a3642279d7dfa7c88b71a14a8cd3166b77950e1dff25e7e748b81fbb9efda6
seed/threshold_registry.csv,4824,79c53d4cb4e03b850fa4505d9b62f6a5b858cf9ced15994a13ba58005a2c6949
