station_id,run_id,gross_error_injected,gross_error_mm,use_class
LS-0000001,LR-00001,False,0,evaluation_only
LS-0000002,LR-00001,False,0,evaluation_only
LS-0000003,LR-00001,False,0,evaluation_only
LS-0000004,LR-00001,False,0,evaluation_only
LS-0000005,LR-00001,False,0,evaluation_only
LS-0000006,LR-00001,False,0,evaluation_only
LS-0000007,LR-00001,False,0,evaluation_only
LS-0000008,LR-00001,False,0,evaluation_only
LS-0000009,LR-00001,False,0,evaluation_only
LS-0000010,LR-00001,False,0,evaluation_only
LS-0000011,LR-00001,False,0,evaluation_only
LS-0000012,LR-00001,False,0,evaluation_only
LS-0000013,LR-00001,False,0,evaluation_only
LS-0000014,LR-00001,True,-8.952576956,evaluation_only
LS-0000015,LR-00001,False,0,evaluation_only
LS-0000016,LR-00001,False,0,evaluation_only
LS-0000017,LR-00001,False,0,evaluation_only
LS-0000018,LR-00001,False,0,evaluation_only
LS-0000019,LR-00001,False,0,evaluation_only
LS-0000020,LR-00002,False,0,evaluation_only
LS-0000021,LR-00002,False,0,evaluation_only
LS-0000022,LR-00002,False,0,evaluation_only
LS-0000023,LR-00002,False,0,evaluation_only
LS-0000024,LR-00002,False,0,evaluation_only
LS-0000025,LR-00002,False,0,evaluation_only
LS-0000026,LR-00002,False,0,evaluation_only
LS-0000027,LR-00002,False,0,evaluation_only
LS-0000028,LR-00002,False,0,evaluation_only
LS-0000029,LR-00002,False,0,evaluation_only
LS-0000030,LR-00002,False,0,evaluation_only
LS-0000031,LR-00002,False,0,evaluation_only
LS-0000032,LR-00002,False,0,evaluation_only
LS-0000033,LR-00002,False,0,evaluation_only
LS-0000034,LR-00002,False,0,evaluation_only
LS-0000035,LR-00002,False,0,evaluation_only
LS-0000036,LR-00002,False,0,evaluation_only
LS-0000037,LR-00002,False,0,evaluation_only
LS-0000038,LR-00002,False,0,evaluation_only
LS-0000039,LR-00003,False,0,evaluation_only
LS-0000040,LR-00003,False,0,evaluation_only
LS-0000041,LR-00003,False,0,evaluation_only
LS-0000042,LR-00003,False,0,evaluation_only
LS-0000043,LR-00003,False,0,evaluation_only
LS-0000044,LR-00003,False,0,evaluation_only
LS-0000045,LR-00003,False,0,evaluation_only
LS-0000046,LR-00003,False,0,evaluation_only
LS-0000047,LR-00003,False,0,evaluation_only
LS-0000048,LR-00003,False,0,evaluation_only
LS-0000049,LR-00003,False,0,evaluation_only
LS-0000050,LR-00003,False,0,evaluation_only
LS-0000051,LR-00003,False,0,evaluation_only
LS-0000052,LR-00003,False,0,evaluation_only
LS-0000053,LR-00003,False,0,evaluation_only
LS-0000054,LR-00003,False,0,evaluation_only
LS-0000055,LR-00003,False,0,evaluation_only
LS-0000056,LR-00003,False,0,evaluation_only
LS-0000057,LR-00003,False,0,evaluation_only
LS-0000058,LR-00003,False,0,evaluation_only
LS-0000059,LR-00003,False,0,evaluation_only
LS-0000060,LR-00003,False,0,evaluation_only
LS-0000061,LR-00003,False,0,evaluation_only
LS-0000062,LR-00003,False,0,evaluation_only
LS-0000063,LR-00003,False,0,evaluation_only
LS-0000064,LR-00004,False,0,evaluation_only
LS-0000065,LR-00004,False,0,evaluation_only
LS-0000066,LR-00004,False,0,evaluation_only
LS-0000067,LR-00004,False,0,evaluation_only
LS-0000068,LR-00004,False,0,evaluation_only
LS-0000069,LR-00004,False,0,evaluation_only
LS-0000070,LR-00004,False,0,evaluation_only
LS-0000071,LR-00004,False,0,evaluation_only
LS-0000072,LR-00004,False,0,evaluation_only
LS-0000073,LR-00004,False,0,evaluation_only
LS-0000074,LR-00004,False,0,evaluation_only
LS-0000075,LR-00004,False,0,evaluation_only
LS-0000076,LR-00004,False,0,evaluation_only
LS-0000077,LR-00004,False,0,evaluation_only
LS-0000078,LR-00004,False,0,evaluation_only
LS-0000079,LR-00004,False,0,evaluation_only
LS-0000080,LR-00004,False,0,evaluation_only
LS-0000081,LR-00004,False,0,evaluation_only
LS-0000082,LR-00004,False,0,evaluation_only
LS-0000083,LR-00004,False,0,evaluation_only
LS-0000084,LR-00005,False,0,evaluation_only
LS-0000085,LR-00005,False,0,evaluation_only
LS-0000086,LR-00005,False,0,evaluation_only
LS-0000087,LR-00005,False,0,evaluation_only
LS-0000088,LR-00005,False,0,evaluation_only
LS-0000089,LR-00005,False,0,evaluation_only
LS-0000090,LR-00005,False,0,evaluation_only
LS-0000091,LR-00005,False,0,evaluation_only
LS-0000092,LR-00005,False,0,evaluation_only
LS-0000093,LR-00005,False,0,evaluation_only
LS-0000094,LR-00005,False,0,evaluation_only
LS-0000095,LR-00005,False,0,evaluation_only
LS-0000096,LR-00005,False,0,evaluation_only
LS-0000097,LR-00005,False,0,evaluation_only
LS-0000098,LR-00005,False,0,evaluation_only
LS-0000099,LR-00005,False,0,evaluation_only
LS-0000100,LR-00005,False,0,evaluation_only
LS-0000101,LR-00005,False,0,evaluation_only
LS-0000102,LR-00005,False,0,evaluation_only
LS-0000103,LR-00006,False,0,evaluation_only
LS-0000104,LR-00006,False,0,evaluation_only
LS-0000105,LR-00006,False,0,evaluation_only
LS-0000106,LR-00006,False,0,evaluation_only
LS-0000107,LR-00006,False,0,evaluation_only
LS-0000108,LR-00006,False,0,evaluation_only
LS-0000109,LR-00006,False,0,evaluation_only
LS-0000110,LR-00006,False,0,evaluation_only
LS-0000111,LR-00006,False,0,evaluation_only
LS-0000112,LR-00006,False,0,evaluation_only
LS-0000113,LR-00006,False,0,evaluation_only
LS-0000114,LR-00006,False,0,evaluation_only
LS-0000115,LR-00006,False,0,evaluation_only
LS-0000116,LR-00006,False,0,evaluation_only
LS-0000117,LR-00006,False,0,evaluation_only
LS-0000118,LR-00006,False,0,evaluation_only
LS-0000119,LR-00006,False,0,evaluation_only
LS-0000120,LR-00006,False,0,evaluation_only
LS-0000121,LR-00006,False,0,evaluation_only
LS-0000122,LR-00006,False,0,evaluation_only
LS-0000123,LR-00007,False,0,evaluation_only
LS-0000124,LR-00007,False,0,evaluation_only
LS-0000125,LR-00007,False,0,evaluation_only
LS-0000126,LR-00007,False,0,evaluation_only
LS-0000127,LR-00007,False,0,evaluation_only
LS-0000128,LR-00007,False,0,evaluation_only
LS-0000129,LR-00007,False,0,evaluation_only
LS-0000130,LR-00007,False,0,evaluation_only
LS-0000131,LR-00007,False,0,evaluation_only
LS-0000132,LR-00007,False,0,evaluation_only
LS-0000133,LR-00007,False,0,evaluation_only
LS-0000134,LR-00007,False,0,evaluation_only
LS-0000135,LR-00007,False,0,evaluation_only
LS-0000136,LR-00007,False,0,evaluation_only
LS-0000137,LR-00007,False,0,evaluation_only
LS-0000138,LR-00007,False,0,evaluation_only
LS-0000139,LR-00007,False,0,evaluation_only
LS-0000140,LR-00007,False,0,evaluation_only
LS-0000141,LR-00007,False,0,evaluation_only
LS-0000142,LR-00007,False,0,evaluation_only
LS-0000143,LR-00007,False,0,evaluation_only
LS-0000144,LR-00007,False,0,evaluation_only
LS-0000145,LR-00007,False,0,evaluation_only
LS-0000146,LR-00008,False,0,evaluation_only
LS-0000147,LR-00008,False,0,evaluation_only
LS-0000148,LR-00008,False,0,evaluation_only
LS-0000149,LR-00008,False,0,evaluation_only
LS-0000150,LR-00008,False,0,evaluation_only
LS-0000151,LR-00008,False,0,evaluation_only
LS-0000152,LR-00008,False,0,evaluation_only
LS-0000153,LR-00008,False,0,evaluation_only
LS-0000154,LR-00008,False,0,evaluation_only
LS-0000155,LR-00008,False,0,evaluation_only
LS-0000156,LR-00008,False,0,evaluation_only
LS-0000157,LR-00008,False,0,evaluation_only
LS-0000158,LR-00008,False,0,evaluation_only
LS-0000159,LR-00008,False,0,evaluation_only
LS-0000160,LR-00008,False,0,evaluation_only
LS-0000161,LR-00008,False,0,evaluation_only
LS-0000162,LR-00008,False,0,evaluation_only
LS-0000163,LR-00008,False,0,evaluation_only
LS-0000164,LR-00008,False,0,evaluation_only
LS-0000165,LR-00008,False,0,evaluation_only
LS-0000166,LR-00008,False,0,evaluation_only
LS-0000167,LR-00008,False,0,evaluation_only
LS-0000168,LR-00009,False,0,evaluation_only
LS-0000169,LR-00009,False,0,evaluation_only
LS-0000170,LR-00009,False,0,evaluation_only
LS-0000171,LR-00009,False,0,evaluation_only
LS-0000172,LR-00009,False,0,evaluation_only
LS-0000173,LR-00009,False,0,evaluation_only
LS-0000174,LR-00009,False,0,evaluation_only
LS-0000175,LR-00009,False,0,evaluation_only
LS-0000176,LR-00009,False,0,evaluation_only
LS-0000177,LR-00009,False,0,evaluation_only
LS-0000178,LR-00009,False,0,evaluation_only
LS-0000179,LR-00009,False,0,evaluation_only
LS-0000180,LR-00009,False,0,evaluation_only
LS-0000181,LR-00009,False,0,evaluation_only
LS-0000182,LR-00009,False,0,evaluation_only
LS-0000183,LR-00009,False,0,evaluation_only
LS-0000184,LR-00009,False,0,evaluation_only
LS-0000185,LR-00009,False,0,evaluation_only
LS-0000186,LR-00010,False,0,evaluation_only
LS-0000187,LR-00010,False,0,evaluation_only
LS-0000188,LR-00010,False,0,evaluation_only
