canonical_local_path,filename,extension,size_bytes,sha256,git_tracked,apparent_source_role,duplicate_of,alias_count,readable_status,analysis_status,analysis_note
.gitattributes,.gitattributes,(none),3978,ba3567477ada1223f4436f5250856d81157f72f43512de078dd44e7b37c7d058,True,REPO_METADATA,,1,READABLE,NOT_RELEVANT,производный/синтетический/процессный артефакт; не первичное свидетельство (выборочно проверен через цепочку manifests)
.gitignore,.gitignore,(none),1130,5383a6dca8c62e4c6762e918c6497849eac69ec1cde4e6016833f5bb17391cd1,True,REPO_METADATA,,1,READABLE,NOT_RELEVANT,производный/синтетический/процессный артефакт; не первичное свидетельство (выборочно проверен через цепочку manifests)
.python-version,.python-version,(none),8,56c16a411e41fec3219e828087f312d9891641e3b29093c69d08a05ec1e5d693,True,REPO_METADATA,,1,READABLE,NOT_RELEVANT,производный/синтетический/процессный артефакт; не первичное свидетельство (выборочно проверен через цепочку manifests)
AGENTS.md,AGENTS.md,.md,1212,24aae48feb970c0b42490f75de1a881755fa3d178baec5188853650196a5ca7e,True,REPO_METADATA,,1,READABLE,FULLY_REVIEWED,
BUNDLE_MANIFEST.csv,BUNDLE_MANIFEST.csv,.csv,7853,356ff2f65599e3a575ead492356bd3c586f7775b17236e9f5cd3bbcdb2831903,True,REPO_METADATA,,1,READABLE,NOT_RELEVANT,производный/синтетический/процессный артефакт; не первичное свидетельство (выборочно проверен через цепочку manifests)
CHANGELOG_v2.md,CHANGELOG_v2.md,.md,828,83116ec25cc11abe73b7be70d1c6925cdfd8400397d8b9cdb515729853b9867e,True,REPO_METADATA,,1,READABLE,NOT_RELEVANT,производный/синтетический/процессный артефакт; не первичное свидетельство (выборочно проверен через цепочку manifests)
CHECKSUMS.sha256,CHECKSUMS.sha256,.sha256,7541,e2f7f78dfb5a5b485c4a54f5679063b285b3ab0652da6801f4f1c582177b7acf,True,REPO_METADATA,,1,READABLE,NOT_RELEVANT,производный/синтетический/процессный артефакт; не первичное свидетельство (выборочно проверен через цепочку manifests)
INPUT_VERIFICATION.json,INPUT_VERIFICATION.json,.json,6441,73e97e5ec75c32ca9ae9ddab379d81650340662726b98d267802dc0ad1767d52,True,REPO_METADATA,,1,READABLE,NOT_RELEVANT,производный/синтетический/процессный артефакт; не первичное свидетельство (выборочно проверен через цепочку manifests)
pyproject.toml,pyproject.toml,.toml,496,360437341b0db327500285da5ab43e81186ad97d933920e72fe8cf29eb7f7579,True,REPO_METADATA,,1,READABLE,NOT_RELEVANT,производный/синтетический/процессный артефакт; не первичное свидетельство (выборочно проверен через цепочку manifests)
README.md,README.md,.md,19490,3387e62e35fa446201627d506f44b5392eb39f2a8f71b37afbc876da9ee24641,True,REPO_METADATA,work/handoff/changed_files/README.md,2,READABLE,DUPLICATE,= work/handoff/changed_files/README.md
