path,sha256,size_bytes,review_status,what_was_reviewed
AGENTS.md,24aae48feb970c0b42490f75de1a881755fa3d178baec5188853650196a5ca7e,1212,FULLY_REVIEWED,
README_FIRST.md,6b9967994a6d56ffd2b324536401b5822eaa8532a559a815c9ec5a30f182c4cf,7156,FULLY_REVIEWED,
SKRU1_ACTUAL_DATA_TABLES_v1/01_reconstruction_v3_2/DATASET_CARD.md,86a9200599de3d34b0cbf991421a8c81ad1a2c931739a4aca4de355e583b148c,562,FULLY_REVIEWED,
SKRU1_ACTUAL_DATA_TABLES_v1/01_reconstruction_v3_2/METHODOLOGY_V3.md,43e4d853964d9053d833927710f4028682da41f55161d6899cbdd838fbb22612,1377,FULLY_REVIEWED,
SKRU1_ACTUAL_DATA_TABLES_v1/01_reconstruction_v3_2/METHODOLOGY_V3_2.md,dcd44aee19ac06a54608054ee3fcf4d98b8982b4862ff45b19899d8ff9e13465,939,FULLY_REVIEWED,
SKRU1_ACTUAL_DATA_TABLES_v1/01_reconstruction_v3_2/README.md,b8f4b3d9d34eebf0e0b6b2b46ca8eb393324f0826b79021fd14b8dd193c7fef4,577,FULLY_REVIEWED,
SKRU1_ACTUAL_DATA_TABLES_v1/01_reconstruction_v3_2/geodata/skru1_data_reconstruction_v3_2.gpkg,d2fe44ffeaccaba20141e530dee320427b2bf5d0c2cd525c99350a991448673b,11517952,PARTIALLY_REVIEWED,слои/CRS/счётчики/поля
SKRU1_ACTUAL_DATA_TABLES_v1/01_reconstruction_v3_2/seed/normative_requirements.csv,570e8e63805f7e52b3d7e77500ae6b2eb937ef40e2089758f67bbdff0245f239,3922,FULLY_REVIEWED,
SKRU1_ACTUAL_DATA_TABLES_v1/01_reconstruction_v3_2/seed/provenance_codes.csv,aa7291cda6728d7c34a2a0a6c49cbf97f4ba24ba459b2211edca605ab8e4f204,1138,FULLY_REVIEWED,
SKRU1_ACTUAL_DATA_TABLES_v1/01_reconstruction_v3_2/seed/published_anchors_transcribed.csv,e70e15c73d70f18e7c59f8ca1ac36275082f8a5007319cd1d44f2921dd151efe,9473,FULLY_REVIEWED,сверено с рис.14–18
SKRU1_ACTUAL_DATA_TABLES_v1/01_reconstruction_v3_2/seed/source_layer_manifest.csv,c2a3642279d7dfa7c88b71a14a8cd3166b77950e1dff25e7e748b81fbb9efda6,2044,FULLY_REVIEWED,сверено с рис.12
