sample_id,scenario_id,point_id,current_date,n_history,last_settlement_mm,last_rate_mm_y,mean_recent_rate_mm_y,recent_acceleration_mm_y2,current_uncertainty_mm,forecast_horizon_days,stress_zone_class,unseen_spatial,split
ST-001::2022-06-01,ST-001,P-H02-W004,2022-06-01,3,32.96906241,57.86683969,93.30083725,-424.3366428,3.885604416,180,background,False,train
ST-001::2022-08-01,ST-001,P-H02-W004,2022-08-01,4,33.98513169,11.97159052,34.91921511,-540.7496697,2.532945835,180,background,False,train
ST-001::2022-10-01,ST-001,P-H02-W004,2022-10-01,5,46.23239702,73.33301083,42.65230068,367.4140782,3.071481205,180,background,False,train
ST-001::2022-11-01,ST-001,P-H02-W004,2022-11-01,6,68.95234173,136.0403247,104.6866678,375.4728916,3.90568738,180,background,False,train
ST-001::2023-01-01,ST-001,P-H02-W004,2023-01-01,7,76.77880002,92.21335131,114.126838,-516.3807106,3.100603462,180,background,False,train
ST-001::2023-02-01,ST-001,P-H02-W004,2023-02-01,8,88.45925544,69.93912035,81.07623583,-133.3715223,2.743206774,180,background,False,train
ST-001::2023-05-01,ST-001,P-H02-W004,2023-05-01,9,98.0887359,113.4570238,91.69807208,512.7391689,3.876561167,180,background,False,train
ST-001::2023-08-01,ST-001,P-H02-W004,2023-08-01,10,120.242726,90.91848185,102.1877528,-92.49665675,3.689536068,180,background,False,train
ST-001::2023-11-01,ST-001,P-H02-W004,2023-11-01,11,145.2786298,99.39525928,95.15687056,33.6537278,2.832429248,180,background,False,train
ST-001::2024-02-01,ST-001,P-H02-W004,2024-02-01,12,171.5855756,104.4414344,101.9183469,20.03386382,3.014285041,180,background,False,validation
ST-001::2024-05-01,ST-001,P-H02-W004,2024-05-01,13,196.9683153,100.7722355,102.606835,-14.56711862,3.106936595,180,background,False,validation
ST-001::2024-08-01,ST-001,P-H02-W004,2024-08-01,14,221.2602705,98.58485158,99.67854353,-8.877133002,3.374666425,180,background,False,validation
ST-001::2024-11-01,ST-001,P-H02-W004,2024-11-01,15,249.2219222,111.0107967,104.7978241,49.3323526,2.844641224,180,background,False,validation
ST-001::2025-02-01,ST-001,P-H02-W004,2025-02-01,16,274.8146492,101.6059079,106.3083523,-37.33843052,3.250867719,180,background,False,test
ST-001::2025-05-01,ST-001,P-H02-W004,2025-05-01,17,294.9726589,80.02948938,90.81769866,-85.6607269,3.197373729,180,background,False,test
ST-001::2025-08-01,ST-001,P-H02-W004,2025-08-01,18,321.33834,108.2029778,94.1162336,115.6220972,2.936819802,180,background,False,test
ST-001::2025-11-01,ST-001,P-H02-W004,2025-11-01,19,348.4977035,107.8256254,108.0143016,-1.498129878,2.605630819,180,background,False,test
ST-002::2022-05-01,ST-002,P-V06-W001,2022-05-01,3,9.874269434,-83.2012365,93.59213105,-2188.94161,3.123357245,180,background,False,train
ST-002::2022-06-01,ST-002,P-V06-W001,2022-06-01,4,6.832319655,-37.03573857,-60.11848753,562.0649374,2.585975051,180,background,False,train
ST-002::2022-08-01,ST-002,P-V06-W001,2022-08-01,5,4.098333625,-32.21252895,-34.62413376,56.82830043,3.648570101,180,background,False,train
ST-002::2022-09-01,ST-002,P-V06-W001,2022-09-01,6,10.0514265,35.64536347,1.716417262,406.3130361,3.516093278,180,background,False,train
ST-002::2022-11-01,ST-002,P-V06-W001,2022-11-01,7,12.55096694,29.45023051,32.54779699,-72.99265528,3.946461584,180,background,False,train
ST-002::2022-12-01,ST-002,P-V06-W001,2022-12-01,8,20.55887855,47.94901177,38.69962114,110.7652436,2.714780829,180,background,False,train
