quantity,old,new
base_points,42.000000000,42.000000000
profiles,14.000000000,14.000000000
proxy_zones,4.000000000,4.000000000
campaigns,29.000000000,29.000000000
observation_scenarios,60.000000000,640.000000000
latent_worlds,5.000000000,128.000000000
trajectory_instances,2520.000000000,26880.000000000
latent_trajectory_keys,210.000000000,5376.000000000
distinct_latent_fields,5.000000000,127.000000000
campaign_rows,73080.000000000,779520.000000000
model_origins,31134.000000000,321766.000000000
targeted_rows,42780.000000000,456320.000000000
observed_rows,38464.000000000,395334.000000000
missing_targeted_fraction,0.100888266,0.133647440
numerically_constrained_scale_fraction,0.000000000,0.984375000
identified_real_temporal_law_fraction,0.000000000,0.000000000
transition_diagnostic_fraction,0.341975309,0.227113646
