fv_id,stream,formula,local_forms_and_locators,original_primary_form_found,variable_definitions,sign_convention,units,differences,verdict,url
FV-NORMATIVE-001,NORMATIVE,"Граничный угол δ0 (нормативный, ВКМКС) и длина полумульды L = H(ctg δ0 + ctg ψ)","MM-SUBS-010: δ0 = 50°, ψ = 55° (VKM-SRC-037 §8.5.1, печ. 337–338, методика 1990/92); MM-SUBS-013: δ0 = 55°, ψ = 55° (VKM-SRC-012 p.14, p.54 со ссылкой на Указания 2022)","Первичный текст «Указаний» недоступен. Щегольков 2024 (ПАО «Уралкалий»): 1972 — 45°; 1985 — 50°; 1994 — 50° (C ≤ 0,4) / 50–75° по kt (C > 0,4); 2004 — 50° (C ≤ 0,4), arcctg(0,839·kt^0,686) (0,4 < C ≤ 0,7); 2008 — 50° (C ≤ 0,55), 50(1+1,334(C−0,55)) (0,55 < C ≤ 0,70), δ0н = arcctg((χ−0,15)χ·ctgδ0/1,75); 2014/2022 — 55°; ψ = 55° (2022)",δ0 — граничный угол (полная подработка); δ0н — для неполной подработки; kt = η(ti)/ηm — отношение достигнутого оседания к максимальному расчётному; C — степень нагружения МКЦ; χ = D/H — отношение размера выработанного пространства к глубине; ψ — угол полных сдвижений,углы от горизонтали со стороны выработанного пространства; одинаковы по падению/восстанию/простиранию,"градусы; kt, C, χ безразмерны","50° и 55° — значения разных редакций (1985–2008 vs 2014–2022), а не конфликт; для периода отработки СКРУ-1 до 2004 г. действовали 50°/C-зависимые значения",VARIANT,https://n-gn.ru/images/pdf/2024/06/25-32.pdf
FV-NORMATIVE-002,NORMATIVE,Условие полной/неполной подработки (ВКМКС),"MM-SUBS-019: L < 1,54·H — полная подработка не достигается (VKM-SRC-039 p.3, печ. 59; источник нормы не указан)","Щегольков 2025 со ссылкой на действующие «Указания» [8] (2022): χ = D/H; неполная подработка при χ < 2ctgψ = 1,4 (ψ = 55°), полная при χ ≥ 1,4",D — размер выработанного пространства в главном сечении; H — глубина до почвы нижнего отрабатываемого пласта; ψ — угол полных сдвижений,—,безразмерно,"Локальная форма оперирует длиной «полумульды» L и порогом 1,54H; нормативная — размером выработанного пространства D и порогом 1,4H. Это разные величины (L включает H·ctgδ0), поэтому прямое сравнение порогов некорректно",VARIANT,https://n-gn.ru/images/pdf/2025/01/61-70.pdf
FV-NORMATIVE-003,NORMATIVE,Угол полных сдвижений ψ и угол максимальных оседаний θ (нормативные значения),"MM-SUBS-010: ψ = 55° (VKM-SRC-037 §8.5.1, 1990/92; VKM-SRC-012 p.54, Указания 2022); MM-SUBS-002: ψ = 55°, δ0 = 60° (Старобин, аналог)","ψ = 55° во всех редакциях с 1960 г., кроме «Указаний» 1976 г. (ψ = 50°); θ = 90° в «Указаниях» 1976–1994; ψ0 (неполная подработка) с 2008 г.",ψ — угол полных сдвижений; θ — угол максимальных оседаний; ψ0 — угол сдвижения при неполной подработке (функция χ),от горизонтали,градусы,Совпадает с локальными значениями для 1990/92 и 2022,CONFIRMED,https://n-gn.ru/images/pdf/2025/01/61-70.pdf
FV-NORMATIVE-004,NORMATIVE,Назначение углов 50°/55° в «Указаниях» 2008 г. (граничный δ0 vs угол полных сдвижений ψ) и положение границы мульды,"MM-SUBS-010: VKM-SRC-037 §8.5.1 (печ. 337–338, методика 1990/92): δ0 = 50° граничный, ψ = 55°; FC-004","Первичный текст «Указаний» 2008 недоступен. Щегольков 2024 (EXTWEB-NORMATIVE-004): ред. 2008 — δ0 = 50° при C ≤ 0,55 (граничный), ψ = 55°. Барях–Тенисон 2021 (EXTWEB-SKRU1_SPECIFIC-002, с. 58, по Указаниям 2008): ψ = 55° «граничный угол сдвижений», δ = 50° «угол полных сдвижений»",δ0 — граничный угол (внешняя граница мульды от контура выработки); ψ — угол полных сдвижений (внутрь от контура); H — глубина,углы от горизонтали со стороны выработанного пространства,градусы,"Сумма ctgδ0 + ctgψ одинакова в обоих прочтениях (L ≈ 1,54H, как напечатано у Баряха–Тенисон). Различается внешнее плечо полумульды H·ctg(граничного угла): при граничном 50° оно длиннее, чем при 55°, т.е. граница зоны влияния лежит дальше от контура выработки (качественно; численно не пересчитывалось)",NOT_VERIFIABLE,https://n-gn.ru/images/pdf/2024/06/25-32.pdf ; https://rudmet.net/media/articles/Article_MJ_04_21_pp.57-63.pdf
FV-NORMATIVE-005,NORMATIVE,Кривизна по разности наклонов соседних интервалов K = (i_m − i_{m−1})/l_ср (MM-DEF-003),"MM-DEF-003: VKM-SRC-024 (ВКР, Гремячинское, аналог; цитирует [5] «Инструкция … рудных месторождений (ВНИМИ, 1988)»); FC-017 (опечатка «/2»)","Первоисточник идентифицирован (EXTWEB-NORMATIVE-013: Инструкция … рудных месторождений, ГГТН СССР 03.07.1986; изд. 1988), но текст не прочитан. Определение кривизны в ТСН 22-301-98 (EXTWEB-NORMATIVE-002): отношение разности наклонов двух соседних интервалов к полусумме их длин","i_m, i_{m−1} — наклоны соседних интервалов; l_ср — полусумма длин интервалов",выпуклость/вогнутость (знаки в ТСН не заданы численно),1/км (ТСН) или 1/м,ТСН 22-301-98 (ВКМ-региональный норматив) подтверждает смысл формы (4) из VKM-SRC-024: разность наклонов делится на полусумму длин смежных интервалов. Форма (5) со знаменателем «2» — опечатка (косвенное подтверждение FC-017). Буквальная форма первоисточника ВНИМИ не сверена,NOT_VERIFIABLE,http://docs.cntd.ru/document/1200029888 ; https://files.stroyinf.ru/Data2/1/4294850/4294850011.htm
FV-SKRU1-001,SKRU1_SPECIFIC,"P(t) = P0 · Σ_{i=0..n} U_i(t, t_i)/n ; ln(Es_max) = 1.84 · ln(P(t))",нет в корпусе (новая формула; корпус не содержит модели сейсмичности СКРУ-1),"Злобина, Шулаков 2023, формулы (1) и (2), PDF p.78–80","P(t) — прогнозная плотность выделения сейсмической энергии за год, Дж/100 м²; P0 — максимальный уровень Es для фактора возраста выработок; U_i(t,t_i) — функция относительного изменения влияния фактора; t_i — момент начала действия фактора; Es_max — максимально возможная Es",не применимо,Дж/100 м²,"Вид U_i не раскрыт в статье (отсылка к Злобина 2022, Горное эхо, doi 10.7242/echo.2022.1.16); сумма от i=0 до n деленная на n (как напечатано) — возможна опечатка индексации",NOT_VERIFIABLE,https://mining-media.ru/images/2023/01S_2023/76-82.pdf
FV-SKRU1-002,SKRU1_SPECIFIC,Длина полумульды L = H(ctgψ + ctgδ),"MM-SUBS-010 (SRC-037 p.170/печ.338: L = H(ctg δ₀ + ctg ψ), δ₀ = 50°, ψ = 55°); MM-SUBS-013 (SRC-012 p.54: граничный 55°, полных сдвижений 55° у междушахтных целиков); FC-004","Барях–Тенисон 2021 (ГЖ №4, с.58) со ссылкой на «Указания…» ВНИИГ 2008: L = H(ctgψ + ctgδ) ≈ 1,54H; ψ = 55° граничный угол; δ = 50° угол полных сдвижений (первичный норматив 2008 не прочитан)","H — глубина горных работ, м; ψ — граничный угол; δ — угол полных сдвижений",—,м,"Форма совпадает; различается интерпретация, какой из углов 50° — граничный или полных сдвижений (FC-004 считает 50° граничным δ₀)",VARIANT,https://rudmet.net/media/articles/Article_MJ_04_21_pp.57-63.pdf
FV-SKRU1-003,SKRU1_SPECIFIC,Наклон в краевой части мульды i(z) = η0·S'(z)/L,MM-SUBS-010: SRC-037 (8.138) i_x = η₀/L²·S′(Z) (как напечатано; в реестре отмечена размерная несогласованность),"Барях–Тенисон 2021, формула (1): i(z) = η0k·S'(z)·q_i/L (по Указаниям 2008); q_i — приведение к 15-м интервалу",η0k — макс. оседание на конец процесса сдвижения; S'(z) — безразмерная функция наклона; z = x/L; L — длина полумульды; q_i — коэффициент приведения к 15 м,наклон по модулю (знак не оговорён),"i — мм/м при η в мм, L в м",SRC-037 печатает L² — размерно неверно для наклона; внешний источник даёт 1/L и дополнительный множитель q_i,LOCAL_DISTORTED,https://rudmet.net/media/articles/Article_MJ_04_21_pp.57-63.pdf
FV-SKRU1-004,SKRU1_SPECIFIC,"Максимальное оседание от отработки одного пласта η0k = 0,9·ω·m0·p; p = 1 − A(1 − B)","MM-SUBS-011 (SRC-012 p.54, ф.(2.1)–(2.2) по Указаниям 2022: η_ok = 0,9·m_o·ω·p·(C/0,32)² при C < 0,32; = 0,9·m_o·ω·p при C ≥ 0,32)","Барях–Тенисон 2021, с.60 (по Указаниям 2008): η0k = 0,9·ω·m0·p; p = 1 − A(1 − B)",ω — расчётный коэффициент извлечения; m0 — вынимаемая мощность; A — коэффициент заполнения камер закладкой; B — коэффициент усадки закладочного массива (сухая/гидравлическая),оседание положительно вниз,м (или мм),"Внешняя форма не содержит множителя (C/0,32)² — либо упрощение авторов, либо отличие редакции 2008 от 2022; форма p = 1 − A(1 − B) подтверждена",VARIANT,https://rudmet.net/media/articles/Article_MJ_04_21_pp.57-63.pdf
FV-SKRU1-005,SKRU1_SPECIFIC,Горизонтальное сдвижение через максимальное оседание: ξmax = a·ηmax,"MM-SUBS-012: SRC-012 p.55 (2.3) ξ_m(t) = m_ξ·η_m(t), m_ξ = 0,4 при C ≤ 0,45 (по Указаниям 2022); SRC-037 p.170 (8.137) ξ₀ = a·η₀, a = 0,2–0,26 (1990/92); FC-003","Барях–Тенисон–Самоделкина 2021, ГИАБ №11, ф. (2)–(3) (по наблюдениям; ссылка [17] Борзаковский и др. 2009; Указания 2014): a = 0,4 при C ≤ 0,45; a = 0,3 при C > 0,45",ξmax — максимальное горизонтальное смещение; ηmax — максимальное оседание; C — степень нагружения МКЦ,не оговорена,одинаковые (мм или м),"SRC-012 не приводит ветвь C > 0,45 (a = 0,3); SRC-037 даёт более низкий диапазон (другая редакция)",CONFIRMED,https://www.giab-online.ru/files/Data/2021/11/5-18.pdf
