correction_id,severity,status,confidence,field,target_id,catalogue,row_id,column
QA-C-M003,MAJOR,PROPOSED,HIGH,pdf_page,EV-RMR-1109,MECH_RHEO/mechanics_evidence_catalog.csv,MR-MECH-1687,prev_evidence_ids
QA-C-M003,MAJOR,PROPOSED,HIGH,pdf_page,EV-RMR-1109,MECH_RHEO/rheology_evidence_catalog.csv,MR-RHEO-N06,prev_evidence_ids
QA-C-M003,MAJOR,PROPOSED,HIGH,pdf_page,EV-RMR-1109,MECH_RHEO/rheology_evidence_catalog.csv,MR-RHEO-N06,relation_to_v1_registry
QA-C-M004,MAJOR,PROPOSED,HIGH,verbatim_quote,EV-RMR-1109,MECH_RHEO/mechanics_evidence_catalog.csv,MR-MECH-1687,prev_evidence_ids
QA-C-M004,MAJOR,PROPOSED,HIGH,verbatim_quote,EV-RMR-1109,MECH_RHEO/rheology_evidence_catalog.csv,MR-RHEO-N06,prev_evidence_ids
QA-C-M004,MAJOR,PROPOSED,HIGH,verbatim_quote,EV-RMR-1109,MECH_RHEO/rheology_evidence_catalog.csv,MR-RHEO-N06,relation_to_v1_registry
QA-C-M005,MINOR,PROPOSED,MEDIUM,pdf_page,EV-RMR-1177,MECH_RHEO/mechanics_evidence_catalog.csv,MR-MECH-0598,prev_evidence_ids
QA-C-M005,MINOR,PROPOSED,MEDIUM,pdf_page,EV-RMR-1177,MECH_RHEO/mechanics_evidence_catalog.csv,MR-MECH-1669,notes
QA-C-M006,MINOR,PROPOSED,MEDIUM,pdf_page,EV-RMR-1162,MECH_RHEO/rheology_evidence_catalog.csv,MR-RHEO-N24,prev_evidence_ids
QA-C-M007,MINOR,PROPOSED,MEDIUM,extraction_method,EV-GEO-0329,GEOLOGY_COORDS/geology_evidence.csv,GEO-0849,existing_evidence_ids
QA-C-M007,MINOR,PROPOSED,MEDIUM,extraction_method,EV-GEO-0329,GEOLOGY_COORDS/geology_evidence.csv,GEO-0850,existing_evidence_ids
QA-C-M007,MINOR,PROPOSED,MEDIUM,extraction_method,EV-GEO-0329,MINING/spatial_hierarchy.csv,VKM,existing_evidence_ids
QA-C-M007,MINOR,PROPOSED,MEDIUM,extraction_method,EV-GEO-0330,GEOLOGY_COORDS/geology_evidence.csv,GEO-0853,existing_evidence_ids
QA-C-M007,MINOR,PROPOSED,MEDIUM,extraction_method,EV-GEO-0330,GEOLOGY_COORDS/stratigraphic_thickness_observations.csv,STO-0388,existing_evidence_ids
QA-C-M007,MINOR,PROPOSED,MEDIUM,extraction_method,EV-GEO-0331,GEOLOGY_COORDS/geology_evidence.csv,GEO-0851,existing_evidence_ids
QA-C-M007,MINOR,PROPOSED,MEDIUM,extraction_method,EV-GEO-0331,MECH_RHEO/interfaces_damage_catalog.csv,MR-IDC-0456,prev_evidence_ids
QA-C-M007,MINOR,PROPOSED,MEDIUM,extraction_method,EV-GEO-0331,MECH_RHEO/mechanics_evidence_catalog.csv,MR-MECH-1393,notes
QA-C-M007,MINOR,PROPOSED,MEDIUM,extraction_method,EV-GEO-0331,MECH_RHEO/mechanics_evidence_catalog.csv,MR-MECH-1393,prev_evidence_ids
QA-C-M007,MINOR,PROPOSED,MEDIUM,extraction_method,EV-GEO-0332,GEOLOGY_COORDS/geology_evidence.csv,GEO-0854,notes
QA-C-M007,MINOR,PROPOSED,MEDIUM,extraction_method,EV-RMR-1103,MECH_RHEO/mechanics_evidence_catalog.csv,MR-MECH-0793,prev_evidence_ids
QA-C-M007,MINOR,PROPOSED,MEDIUM,extraction_method,EV-RMR-1104,MECH_RHEO/mechanics_evidence_catalog.csv,MR-MECH-0794,prev_evidence_ids
QA-C-M007,MINOR,PROPOSED,MEDIUM,extraction_method,EV-RMR-1105,MECH_RHEO/mechanics_evidence_catalog.csv,MR-MECH-0795,prev_evidence_ids
QA-C-M007,MINOR,PROPOSED,MEDIUM,extraction_method,EV-RMR-1159,MECH_RHEO/rheology_evidence_catalog.csv,MR-RHEO-N04,prev_evidence_ids
QA-C-M007,MINOR,PROPOSED,MEDIUM,extraction_method,EV-RMR-1159,MECH_RHEO/rheology_evidence_catalog.csv,MR-RHEO-N04,relation_to_v1_registry
QA-C-M008,MAJOR,PROPOSED,HIGH,locator_verification,EV-GEO-0180,BOREHOLES/borehole_catalog.csv,BH-SOL-128,notes
QA-C-M008,MAJOR,PROPOSED,HIGH,locator_verification,EV-GEO-0180,BOREHOLES/borehole_catalog.csv,BHI-S011-2094,notes
QA-C-M008,MAJOR,PROPOSED,HIGH,locator_verification,EV-GEO-0180,BOREHOLES/borehole_identity_issues.csv,ISS-129-220-INTERP,description
QA-C-M008,MAJOR,PROPOSED,HIGH,locator_verification,EV-GEO-0180,BOREHOLES/borehole_identity_issues.csv,ISS-129-220-INTERP,what_would_resolve
QA-C-M008,MAJOR,PROPOSED,HIGH,locator_verification,EV-GEO-0180,GEOLOGY_COORDS/geology_evidence.csv,GEO-0606,description
QA-C-M008,MAJOR,PROPOSED,HIGH,locator_verification,EV-GEO-0180,GEOLOGY_COORDS/stratigraphic_thickness_observations.csv,STO-0602,existing_evidence_ids
QA-C-M008,MAJOR,PROPOSED,HIGH,locator_verification,EV-GEO-0180,GEOLOGY_COORDS/stratigraphic_thickness_observations.csv,STO-0602,notes
QA-C-M008,MAJOR,PROPOSED,HIGH,locator_verification,EV-GEO-0180,GEOLOGY_COORDS/stratigraphic_thickness_observations.csv,STO-0603,existing_evidence_ids
QA-C-M008,MAJOR,PROPOSED,HIGH,locator_verification,EV-GEO-0180,GEOLOGY_COORDS/stratigraphic_thickness_observations.csv,STO-0603,notes
QA-C-M008,MAJOR,PROPOSED,HIGH,locator_verification,EV-GEO-0180,GEOLOGY_COORDS/stratigraphic_thickness_observations.csv,STO-0604,existing_evidence_ids
QA-C-M008,MAJOR,PROPOSED,HIGH,locator_verification,EV-GEO-0180,GEOLOGY_COORDS/stratigraphic_thickness_observations.csv,STO-0604,notes
QA-C-M008,MAJOR,PROPOSED,HIGH,locator_verification,EV-GEO-0180,GEOLOGY_COORDS/stratigraphic_thickness_observations.csv,STO-0605,existing_evidence_ids
QA-C-M008,MAJOR,PROPOSED,HIGH,locator_verification,EV-GEO-0180,GEOLOGY_COORDS/stratigraphic_thickness_observations.csv,STO-0605,notes
QA-C-M008,MAJOR,PROPOSED,HIGH,locator_verification,EV-GEO-0180,GEOLOGY_COORDS/stratigraphic_thickness_observations.csv,STO-0606,existing_evidence_ids
QA-C-M008,MAJOR,PROPOSED,HIGH,locator_verification,EV-GEO-0180,GEOLOGY_COORDS/stratigraphic_thickness_observations.csv,STO-0606,notes
QA-C-M008,MAJOR,PROPOSED,HIGH,locator_verification,EV-GEO-0180,GEOLOGY_COORDS/stratigraphic_thickness_observations.csv,STO-0607,existing_evidence_ids
QA-C-M008,MAJOR,PROPOSED,HIGH,locator_verification,EV-GEO-0180,GEOLOGY_COORDS/stratigraphic_thickness_observations.csv,STO-0607,notes
QA-C-M008,MAJOR,PROPOSED,HIGH,locator_verification,EV-GEO-0180,GEOLOGY_COORDS/stratigraphic_thickness_observations.csv,STO-0608,existing_evidence_ids
QA-C-M008,MAJOR,PROPOSED,HIGH,locator_verification,EV-GEO-0180,GEOLOGY_COORDS/stratigraphic_thickness_observations.csv,STO-0608,notes
QA-C-M008,MAJOR,PROPOSED,HIGH,locator_verification,EV-GEO-0180,GEOLOGY_COORDS/stratigraphic_thickness_observations.csv,STO-0609,existing_evidence_ids
QA-C-M008,MAJOR,PROPOSED,HIGH,locator_verification,EV-GEO-0180,GEOLOGY_COORDS/stratigraphic_thickness_observations.csv,STO-0609,notes
QA-C-M008,MAJOR,PROPOSED,HIGH,locator_verification,EV-GEO-0180,GEOLOGY_COORDS/stratigraphic_thickness_observations.csv,STO-0610,existing_evidence_ids
QA-C-M008,MAJOR,PROPOSED,HIGH,locator_verification,EV-GEO-0180,GEOLOGY_COORDS/stratigraphic_thickness_observations.csv,STO-0610,notes
QA-C-M008,MAJOR,PROPOSED,HIGH,locator_verification,EV-GEO-0180,GEOLOGY_COORDS/stratigraphic_thickness_observations.csv,STO-0611,existing_evidence_ids
QA-C-M008,MAJOR,PROPOSED,HIGH,locator_verification,EV-GEO-0180,GEOLOGY_COORDS/stratigraphic_thickness_observations.csv,STO-0611,notes
QA-C-M008,MAJOR,PROPOSED,HIGH,locator_verification,EV-GEO-0180,GEOLOGY_COORDS/stratigraphic_thickness_observations.csv,STO-0612,existing_evidence_ids
QA-C-M008,MAJOR,PROPOSED,HIGH,locator_verification,EV-GEO-0180,GEOLOGY_COORDS/stratigraphic_thickness_observations.csv,STO-0612,notes
QA-C-M008,MAJOR,PROPOSED,HIGH,locator_verification,EV-GEO-0180,GEOLOGY_COORDS/stratigraphic_thickness_observations.csv,STO-0613,existing_evidence_ids
QA-C-M008,MAJOR,PROPOSED,HIGH,locator_verification,EV-GEO-0180,GEOLOGY_COORDS/stratigraphic_thickness_observations.csv,STO-0613,notes
QA-C-M008,MAJOR,PROPOSED,HIGH,locator_verification,EV-GEO-0180,GEOLOGY_COORDS/stratigraphic_thickness_observations.csv,STO-0614,existing_evidence_ids
QA-C-M008,MAJOR,PROPOSED,HIGH,locator_verification,EV-GEO-0180,GEOLOGY_COORDS/stratigraphic_thickness_observations.csv,STO-0614,notes
QA-C-M008,MAJOR,PROPOSED,HIGH,locator_verification,EV-GEO-0180,GEOLOGY_COORDS/stratigraphic_thickness_observations.csv,STO-0615,existing_evidence_ids
QA-C-M008,MAJOR,PROPOSED,HIGH,locator_verification,EV-GEO-0180,GEOLOGY_COORDS/stratigraphic_thickness_observations.csv,STO-0615,notes
QA-C-M008,MAJOR,PROPOSED,HIGH,locator_verification,EV-GEO-0180,GEOLOGY_COORDS/stratigraphic_thickness_observations.csv,STO-0616,existing_evidence_ids
QA-C-M008,MAJOR,PROPOSED,HIGH,locator_verification,EV-GEO-0180,GEOLOGY_COORDS/stratigraphic_thickness_observations.csv,STO-0616,notes
