point_id,profile_id,point_type,process_family,risk_score_private,base_rate_mm_y,decay_tau_y,event_onset_date,second_event_date,event_amplitude_mm_y,step_duration_months,technical_anchor_date_private,source_reference_year,source_reference_date,source_reference_status,provenance
P-D01-REF-A,P-D01,REF,stable_reference,0,0,,,,0,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-D01-REF-B,P-D01,REF,stable_reference,0,0,,,,0,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-D01-W001,P-D01,WORK,accelerating,0.6712676803,19.01299455,,2021-06-01,,132.1085387,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-D01-W002,P-D01,WORK,decaying,0.6019444489,92.76580224,4.749137827,,,0,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-D01-W003,P-D01,WORK,stable,0.4473136399,3.184486302,,,,0,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-D01-W004,P-D01,WORK,stable,0.4545946063,2.796852651,,,,0,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-D01-W005,P-D01,WORK,uniform_creep,0.5653481383,36.51142572,,,,0,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-D01-W006,P-D01,WORK,reactivated,0.7094493041,61.61947231,1.979362948,2018-01-01,2022-08-01,140.2409926,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-D01-W007,P-D01,WORK,decaying,0.5682954238,103.1828394,2.601858229,,,0,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-H01-REF-A,P-H01,REF,stable_reference,0,0,,,,0,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-H01-REF-B,P-H01,REF,stable_reference,0,0,,,,0,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-H01-W001,P-H01,WORK,decaying,0.5963557877,97.01901735,4.224946778,,,0,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-H01-W002,P-H01,WORK,accelerating,0.6435132491,21.70411345,,2021-11-01,,114.266778,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-H01-W003,P-H01,WORK,step_change,0.7568522879,29.36398946,,2021-09-01,,146.5932302,4,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-H01-W004,P-H01,WORK,decaying,0.5843609313,99.24544118,3.038739698,,,0,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-H01-W005,P-H01,WORK,decaying,0.6031175898,99.21723797,3.718481752,,,0,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-H01-W006,P-H01,WORK,decaying,0.6187839318,102.390887,2.039639568,,,0,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-H01-W007,P-H01,WORK,uniform_creep,0.5039814441,36.77665919,,,,0,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-H02-REF-A,P-H02,REF,stable_reference,0,0,,,,0,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-H02-REF-B,P-H02,REF,stable_reference,0,0,,,,0,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-H02-W001,P-H02,WORK,decaying,0.6194587317,106.720285,2.765916716,,,0,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-H02-W002,P-H02,WORK,reactivated,0.6819154654,61.22052726,2.729538983,2018-01-01,2023-03-01,138.9069879,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-H02-W003,P-H02,WORK,accelerating,0.6400903891,22.57449318,,2022-05-01,,117.7850095,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-H02-W004,P-H02,WORK,reactivated,0.7064342953,62.01708404,1.947362124,2018-01-01,2023-08-01,140.076088,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-H02-W005,P-H02,WORK,uniform_creep,0.5488619977,31.75198357,,,,0,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-H02-W006,P-H02,WORK,reactivated,0.7191385499,64.20115044,1.695805624,2018-01-01,2024-02-01,140.231317,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-H02-W007,P-H02,WORK,uniform_creep,0.5656027635,37.61350256,,,,0,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-H03-REF-A,P-H03,REF,stable_reference,0,0,,,,0,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-H03-REF-B,P-H03,REF,stable_reference,0,0,,,,0,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-H03-W001,P-H03,WORK,decaying,0.602929841,106.8689872,4.52264259,,,0,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-H03-W002,P-H03,WORK,decaying,0.6063308469,93.53107557,4.102136408,,,0,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-H03-W003,P-H03,WORK,decaying,0.5817113847,100.7959141,3.859595681,,,0,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-H03-W004,P-H03,WORK,decaying,0.6099650403,101.758783,3.901404244,,,0,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-H03-W005,P-H03,WORK,decaying,0.6053830889,102.597955,3.784700991,,,0,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-H03-W006,P-H03,WORK,decaying,0.5904146261,103.5672723,4.456299939,,,0,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-H03-W007,P-H03,WORK,accelerating,0.6765765353,19.60016343,,2022-11-01,,122.1134915,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-H04-REF-A,P-H04,REF,stable_reference,0,0,,,,0,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-H04-REF-B,P-H04,REF,stable_reference,0,0,,,,0,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-H04-W001,P-H04,WORK,reactivated,0.6788830784,61.41021555,2.561249007,2018-01-01,2024-07-01,144.7490263,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-H04-W002,P-H04,WORK,step_change,0.7482786091,29.30336102,,2022-09-01,,159.2136306,2,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-H04-W003,P-H04,WORK,step_change,0.8354399929,30.28141162,,2023-09-01,,155.8804809,4,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-H04-W004,P-H04,WORK,reactivated,0.6926304019,61.43406988,2.010755464,2018-01-01,2025-02-01,146.3788196,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-H04-W005,P-H04,WORK,step_change,0.7265741054,30.30477784,,2024-08-01,,141.9149073,3,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-H04-W006,P-H04,WORK,accelerating,0.6274001514,22.10065322,,2023-04-01,,126.6098103,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-H04-W007,P-H04,WORK,decaying,0.5760539116,95.5518493,3.944540916,,,0,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-H05-REF-A,P-H05,REF,stable_reference,0,0,,,,0,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-H05-REF-B,P-H05,REF,stable_reference,0,0,,,,0,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-H05-W001,P-H05,WORK,uniform_creep,0.564590229,36.03818399,,,,0,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-H05-W002,P-H05,WORK,decaying,0.5717094699,95.69061265,3.47581125,,,0,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-H05-W003,P-H05,WORK,decaying,0.5998341973,93.06285557,2.262351234,,,0,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-H05-W004,P-H05,WORK,accelerating,0.6284354339,21.89841795,,2023-10-01,,121.7933486,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-H05-W005,P-H05,WORK,accelerating,0.655060172,18.1331295,,2024-03-01,,127.3403003,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-H05-W006,P-H05,WORK,accelerating,0.6296573174,21.26619543,,2024-09-01,,123.2874239,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-H05-W007,P-H05,WORK,reactivated,0.7036523661,59.47501848,2.862218026,2018-01-01,2025-05-01,131.0954315,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-H06-REF-A,P-H06,REF,stable_reference,0,0,,,,0,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-H06-REF-B,P-H06,REF,stable_reference,0,0,,,,0,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-H06-W001,P-H06,WORK,stable,0.3888168414,2.48603618,,,,0,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-H06-W002,P-H06,WORK,stable,0.3212446517,2.153373314,,,,0,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-H06-W003,P-H06,WORK,stable,0.2906664547,2.478078828,,,,0,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-H06-W004,P-H06,WORK,stable,0.3065966741,2.377399613,,,,0,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
