point_id,profile_id,campaign_id,date,previous_campaign_id,previous_date,interval_days,settlement_rate_mm_y,standard_uncertainty_rate_mm_y,provenance
P-D01-REF-A,P-D01,C005,2019-05-14,C001,2018-05-15,364,0.4990663438,0.851442039,C/S
P-D01-REF-A,P-D01,C007,2019-11-05,C005,2019-05-14,175,-0.3080464045,1.836869558,C/S
P-D01-REF-A,P-D01,C008,2020-04-21,C007,2019-11-05,168,-1.947659297,2.346925665,C/S
P-D01-REF-A,P-D01,C009,2020-06-02,C008,2020-04-21,42,9.748882618,9.165319423,C/S
P-D01-REF-A,P-D01,C010,2020-10-20,C009,2020-06-02,140,-2.959035254,2.213749301,C/S
P-D01-REF-A,P-D01,C012,2021-05-18,C010,2020-10-20,210,1.073295836,1.475832868,C/S
P-D01-REF-A,P-D01,C014,2021-11-02,C012,2021-05-18,168,1.033526848,1.844791084,C/S
P-D01-REF-A,P-D01,C015,2022-03-01,C014,2021-11-02,119,-0.9206468407,2.604410943,C/S
P-D01-REF-A,P-D01,C016,2022-05-17,C015,2022-03-01,77,-0.939749204,4.02499873,C/S
P-D01-REF-A,P-D01,C017,2022-07-19,C016,2022-05-17,63,2.608624179,4.919442892,C/S
P-D01-REF-A,P-D01,C018,2022-10-18,C017,2022-07-19,91,-2.300411647,3.405768156,C/S
P-D01-REF-A,P-D01,C020,2023-05-16,C018,2022-10-18,210,0.5627842344,1.475832868,C/S
P-D01-REF-A,P-D01,C022,2023-11-07,C020,2023-05-16,175,-2.606076104,1.770999441,C/S
P-D01-REF-A,P-D01,C023,2024-01-30,C022,2023-11-07,84,7.648636221,3.689582169,C/S
P-D01-REF-A,P-D01,C024,2024-05-14,C023,2024-01-30,105,-2.320694733,2.951665735,C/S
P-D01-REF-A,P-D01,C026,2024-09-03,C024,2024-05-14,112,0.3815595648,3.922982334,C/S
P-D01-REF-A,P-D01,C027,2025-07-22,C026,2024-09-03,322,0.187871825,1.364515595,C/S
P-D01-REF-A,P-D01,C029,2025-11-04,C027,2025-07-22,105,-0.6682668073,3.184143004,C/S
P-D01-REF-B,P-D01,C003,2018-10-16,C001,2018-05-15,154,-4.59213057,2.012499365,C/S
P-D01-REF-B,P-D01,C005,2019-05-14,C003,2018-10-16,210,2.138698572,1.475832868,C/S
P-D01-REF-B,P-D01,C007,2019-11-05,C005,2019-05-14,175,1.36638564,1.770999441,C/S
P-D01-REF-B,P-D01,C008,2020-04-21,C007,2019-11-05,168,-3.521966402,2.392166523,C/S
P-D01-REF-B,P-D01,C009,2020-06-02,C008,2020-04-21,42,13.08137515,9.568666092,C/S
P-D01-REF-B,P-D01,C010,2020-10-20,C009,2020-06-02,140,-1.192574718,2.213749301,C/S
P-D01-REF-B,P-D01,C012,2021-05-18,C010,2020-10-20,210,0.6550676402,1.475832868,C/S
P-D01-REF-B,P-D01,C014,2021-11-02,C012,2021-05-18,168,-2.016501542,1.844791084,C/S
P-D01-REF-B,P-D01,C015,2022-03-01,C014,2021-11-02,119,0.0605802969,2.604410943,C/S
P-D01-REF-B,P-D01,C016,2022-05-17,C015,2022-03-01,77,3.978691893,4.02499873,C/S
P-D01-REF-B,P-D01,C017,2022-07-19,C016,2022-05-17,63,1.784344713,4.919442892,C/S
P-D01-REF-B,P-D01,C018,2022-10-18,C017,2022-07-19,91,-0.7860517333,3.405768156,C/S
P-D01-REF-B,P-D01,C020,2023-05-16,C018,2022-10-18,210,-0.003782406452,1.475832868,C/S
P-D01-REF-B,P-D01,C022,2023-11-07,C020,2023-05-16,175,1.181594306,1.770999441,C/S
P-D01-REF-B,P-D01,C023,2024-01-30,C022,2023-11-07,84,-5.540315501,3.689582169,C/S
P-D01-REF-B,P-D01,C024,2024-05-14,C023,2024-01-30,105,5.851064208,2.951665735,C/S
P-D01-REF-B,P-D01,C026,2024-09-03,C024,2024-05-14,112,-5.323661141,3.458493887,C/S
P-D01-REF-B,P-D01,C027,2025-07-22,C026,2024-09-03,322,-0.2264532262,1.202954395,C/S
P-D01-REF-B,P-D01,C029,2025-11-04,C027,2025-07-22,105,2.468029686,3.204965582,C/S
P-D01-W001,P-D01,C003,2018-10-16,C001,2018-05-15,154,21.85941574,3.284936611,C/S
P-D01-W001,P-D01,C005,2019-05-14,C003,2018-10-16,210,18.34723303,2.414105901,C/S
P-D01-W001,P-D01,C007,2019-11-05,C005,2019-05-14,175,20.79607406,2.282780013,C/S
P-D01-W001,P-D01,C008,2020-04-21,C007,2019-11-05,168,16.89546956,3.110118292,C/S
P-D01-W001,P-D01,C009,2020-06-02,C008,2020-04-21,42,47.27803036,11.84645949,C/S
P-D01-W001,P-D01,C010,2020-10-20,C009,2020-06-02,140,30.58071223,2.656729993,C/S
P-D01-W001,P-D01,C012,2021-05-18,C010,2020-10-20,210,57.06447356,1.765039246,C/S
P-D01-W001,P-D01,C014,2021-11-02,C012,2021-05-18,168,106.1600464,2.1830171,C/S
P-D01-W001,P-D01,C015,2022-03-01,C014,2021-11-02,119,126.5124021,3.069938967,C/S
P-D01-W001,P-D01,C017,2022-07-19,C015,2022-03-01,140,140.5992726,2.580915305,C/S
P-D01-W001,P-D01,C018,2022-10-18,C017,2022-07-19,91,151.4969063,4.0100438,C/S
P-D01-W001,P-D01,C020,2023-05-16,C018,2022-10-18,210,148.9165757,1.732737325,C/S
P-D01-W001,P-D01,C022,2023-11-07,C020,2023-05-16,175,145.5029506,2.093500153,C/S
P-D01-W001,P-D01,C023,2024-01-30,C022,2023-11-07,84,152.4804556,4.401419852,C/S
P-D01-W001,P-D01,C024,2024-05-14,C023,2024-01-30,105,152.3609769,3.449517497,C/S
P-D01-W001,P-D01,C026,2024-09-03,C024,2024-05-14,112,152.3903962,4.819666359,C/S
P-D01-W001,P-D01,C027,2025-07-22,C026,2024-09-03,322,150.0918992,1.690517731,C/S
P-D01-W001,P-D01,C029,2025-11-04,C027,2025-07-22,105,144.0989477,3.980725937,C/S
P-D01-W002,P-D01,C003,2018-10-16,C001,2018-05-15,154,88.75689176,3.22921056,C/S
P-D01-W002,P-D01,C005,2019-05-14,C003,2018-10-16,210,82.44087839,2.371524631,C/S
P-D01-W002,P-D01,C007,2019-11-05,C005,2019-05-14,175,72.44227825,2.334183639,C/S
P-D01-W002,P-D01,C008,2020-04-21,C007,2019-11-05,168,66.46323011,3.184142552,C/S
P-D01-W002,P-D01,C009,2020-06-02,C008,2020-04-21,42,89.06627092,12.12481995,C/S
P-D01-W002,P-D01,C010,2020-10-20,C009,2020-06-02,140,56.29806123,2.705556246,C/S
P-D01-W002,P-D01,C012,2021-05-18,C010,2020-10-20,210,50.48503656,1.803845161,C/S
P-D01-W002,P-D01,C014,2021-11-02,C012,2021-05-18,168,46.72850315,2.234261286,C/S
P-D01-W002,P-D01,C015,2022-03-01,C014,2021-11-02,119,45.90072842,3.137510596,C/S
