campaign_id,date,campaign_type,point_id,profile_id,point_type,targeted,observed,membership_status,missing_reason,target_reason,selection_score,provenance
C001,2018-05-15,full,P-D01-REF-A,P-D01,REF,True,True,observed,,full_network_cycle,1,S
C001,2018-05-15,full,P-D01-W001,P-D01,WORK,True,True,observed,,full_network_cycle,1,S
C001,2018-05-15,full,P-D01-W002,P-D01,WORK,True,True,observed,,full_network_cycle,1,S
C001,2018-05-15,full,P-D01-W003,P-D01,WORK,True,True,observed,,full_network_cycle,1,S
C001,2018-05-15,full,P-D01-W004,P-D01,WORK,True,True,observed,,full_network_cycle,1,S
C001,2018-05-15,full,P-D01-W005,P-D01,WORK,True,True,observed,,full_network_cycle,1,S
C001,2018-05-15,full,P-D01-W006,P-D01,WORK,True,True,observed,,full_network_cycle,1,S
C001,2018-05-15,full,P-D01-W007,P-D01,WORK,True,True,observed,,full_network_cycle,1,S
C001,2018-05-15,full,P-D01-REF-B,P-D01,REF,True,True,observed,,full_network_cycle,1,S
C001,2018-05-15,full,P-H01-REF-A,P-H01,REF,True,True,observed,,full_network_cycle,1,S
C001,2018-05-15,full,P-H01-W001,P-H01,WORK,True,True,observed,,full_network_cycle,1,S
C001,2018-05-15,full,P-H01-W002,P-H01,WORK,True,True,observed,,full_network_cycle,1,S
C001,2018-05-15,full,P-H01-W003,P-H01,WORK,True,True,observed,,full_network_cycle,1,S
C001,2018-05-15,full,P-H01-W004,P-H01,WORK,True,True,observed,,full_network_cycle,1,S
C001,2018-05-15,full,P-H01-W005,P-H01,WORK,True,True,observed,,full_network_cycle,1,S
C001,2018-05-15,full,P-H01-W006,P-H01,WORK,True,True,observed,,full_network_cycle,1,S
C001,2018-05-15,full,P-H01-W007,P-H01,WORK,True,True,observed,,full_network_cycle,1,S
C001,2018-05-15,full,P-H01-REF-B,P-H01,REF,True,True,observed,,full_network_cycle,1,S
C001,2018-05-15,full,P-H02-REF-A,P-H02,REF,True,True,observed,,full_network_cycle,1,S
C001,2018-05-15,full,P-H02-W001,P-H02,WORK,True,True,observed,,full_network_cycle,1,S
C001,2018-05-15,full,P-H02-W002,P-H02,WORK,True,True,observed,,full_network_cycle,1,S
C001,2018-05-15,full,P-H02-W003,P-H02,WORK,True,True,observed,,full_network_cycle,1,S
C001,2018-05-15,full,P-H02-W004,P-H02,WORK,True,True,observed,,full_network_cycle,1,S
C001,2018-05-15,full,P-H02-W005,P-H02,WORK,True,True,observed,,full_network_cycle,1,S
C001,2018-05-15,full,P-H02-W006,P-H02,WORK,True,True,observed,,full_network_cycle,1,S
C001,2018-05-15,full,P-H02-W007,P-H02,WORK,True,True,observed,,full_network_cycle,1,S
C001,2018-05-15,full,P-H02-REF-B,P-H02,REF,True,True,observed,,full_network_cycle,1,S
C001,2018-05-15,full,P-H03-REF-A,P-H03,REF,True,True,observed,,full_network_cycle,1,S
C001,2018-05-15,full,P-H03-W001,P-H03,WORK,True,True,observed,,full_network_cycle,1,S
C001,2018-05-15,full,P-H03-W002,P-H03,WORK,True,True,observed,,full_network_cycle,1,S
C001,2018-05-15,full,P-H03-W003,P-H03,WORK,True,True,observed,,full_network_cycle,1,S
C001,2018-05-15,full,P-H03-W004,P-H03,WORK,True,True,observed,,full_network_cycle,1,S
C001,2018-05-15,full,P-H03-W005,P-H03,WORK,True,True,observed,,full_network_cycle,1,S
C001,2018-05-15,full,P-H03-W006,P-H03,WORK,True,True,observed,,full_network_cycle,1,S
C001,2018-05-15,full,P-H03-W007,P-H03,WORK,True,True,observed,,full_network_cycle,1,S
C001,2018-05-15,full,P-H03-REF-B,P-H03,REF,True,True,observed,,full_network_cycle,1,S
C001,2018-05-15,full,P-H04-REF-A,P-H04,REF,True,True,observed,,full_network_cycle,1,S
C001,2018-05-15,full,P-H04-W001,P-H04,WORK,True,True,observed,,full_network_cycle,1,S
C001,2018-05-15,full,P-H04-W002,P-H04,WORK,True,True,observed,,full_network_cycle,1,S
C001,2018-05-15,full,P-H04-W003,P-H04,WORK,True,True,observed,,full_network_cycle,1,S
C001,2018-05-15,full,P-H04-W004,P-H04,WORK,True,True,observed,,full_network_cycle,1,S
C001,2018-05-15,full,P-H04-W005,P-H04,WORK,True,True,observed,,full_network_cycle,1,S
C001,2018-05-15,full,P-H04-W006,P-H04,WORK,True,True,observed,,full_network_cycle,1,S
C001,2018-05-15,full,P-H04-W007,P-H04,WORK,True,True,observed,,full_network_cycle,1,S
C001,2018-05-15,full,P-H04-REF-B,P-H04,REF,True,True,observed,,full_network_cycle,1,S
C001,2018-05-15,full,P-H05-REF-A,P-H05,REF,True,True,observed,,full_network_cycle,1,S
C001,2018-05-15,full,P-H05-W001,P-H05,WORK,True,True,observed,,full_network_cycle,1,S
C001,2018-05-15,full,P-H05-W002,P-H05,WORK,True,True,observed,,full_network_cycle,1,S
C001,2018-05-15,full,P-H05-W003,P-H05,WORK,True,True,observed,,full_network_cycle,1,S
C001,2018-05-15,full,P-H05-W004,P-H05,WORK,True,True,observed,,full_network_cycle,1,S
C001,2018-05-15,full,P-H05-W005,P-H05,WORK,True,True,observed,,full_network_cycle,1,S
