published_row_id,plan_unit_id,link_status,distance_m,link_uncertainty_m
COORD-01,PU-0275,inside,0,30
COORD-02,PU-0288,inside,0,30
COORD-03,PU-0246,inside,0,30
COORD-04,PU-0436,inside,0,30
COORD-05,PU-0436,inside,0,30
COORD-06,PU-0444,inside,0,30
COORD-07,PU-0441,inside,0,30
COORD-08,PU-0436,inside,0,30
GEOM-01,,unplaced_no_coordinate,,30
GEOM-02,,unplaced_no_coordinate,,30
GEOM-03,,unplaced_no_coordinate,,30
TECH-01,,unplaced_no_coordinate,,30
TECH-02,,unplaced_no_coordinate,,30
TECH-03,,unplaced_no_coordinate,,30
TECH-04,,unplaced_no_coordinate,,30
TECH-05,,unplaced_no_coordinate,,30
TECH-06,,unplaced_no_coordinate,,30
TECH-07,,unplaced_no_coordinate,,30
TECH-08,,unplaced_no_coordinate,,30
TECH-09,,unplaced_no_coordinate,,30
TECH-10,,unplaced_no_coordinate,,30
TECH-11,,unplaced_no_coordinate,,30
TECH-12,,unplaced_no_coordinate,,30
TECH-13,,unplaced_no_coordinate,,30
TECH-14,,unplaced_no_coordinate,,30
DISP-01,,unplaced_no_coordinate,,30
DISP-02,,unplaced_no_coordinate,,30
DISP-03,,unplaced_no_coordinate,,30
DISP-04,,unplaced_no_coordinate,,30
DISP-05,,unplaced_no_coordinate,,30
DISP-06,,unplaced_no_coordinate,,30
DISP-07,,unplaced_no_coordinate,,30
DISP-08,,unplaced_no_coordinate,,30
NAT-01,PU-0265,inside,0,30
NAT-02,PU-0290,inside,0,30
NAT-03,PU-0290,inside,0,30
NAT-04,PU-0432,inside,0,30
NAT-05,PU-0432,inside,0,30
NAT-06,PU-0414,inside,0,30
NAT-07,PU-0385,inside,0,30
NAT-08,PU-0362,inside,0,30
NAT-09,PU-0362,inside,0,30
NAT-10,PU-0356,inside,0,30
NAT-11,PU-0362,inside,0,30
NAT-12,PU-0298,nearest_within_uncertainty,9.09853670743185,30
