point_id,profile_id,point_order,point_type,chainage_m,x_local_m,y_local_m,settlement_anchor_map_mm,kzt,ko,seismic_energy_J_m2,fill_density,fault_distance_m,lithology,base_height_m
P-D01-REF-A,P-D01,0,REF,-350,21053.171114844,39693.0891152941,0,0.1,0.3,0,0,9999,stable_external_reference,160.44680753829
P-D01-W001,P-D01,1,WORK,0,21345.2016876248,39886.0091623637,333.789954337899,0.669909651344213,0.635587969297845,27.5,0.958677709102631,248.204968502742,carnallite,161.260264559063
P-D01-W002,P-D01,2,WORK,76.7534500942324,21409.242699036,39928.3156743778,431.963470319634,0.694413407821229,0.409694418712861,27.5,0.950413227081299,282.532701698636,carnallite,161.455018519055
P-D01-W003,P-D01,3,WORK,139.792680385444,21461.8409348348,39963.0629065921,431.963470319634,0.600558659217877,0.329358418971301,27.5,0.851239681243896,340.15069130568,carnallite,161.619963203222
P-D01-W004,P-D01,4,WORK,239.030488737389,21544.6422891621,40017.7627999016,431.963470319634,0.609920388587905,0.315642458100559,27.5,0.768595039844513,299.954691288257,carnallite,161.889220230168
P-D01-W005,P-D01,5,WORK,310.622353533111,21604.376612827,40057.224245405,333.789954337899,0.613966480446927,0.384078212290503,27.5,0.495867758989334,292.10458851111,carnallite,162.091093953134
P-D01-W006,P-D01,6,WORK,402.533699623413,21681.0649643808,40107.8857917306,333.789954337899,0.613966480446927,0.65,27.5,0.421487599611282,231.592602818588,carnallite,162.360075813786
P-D01-W007,P-D01,7,WORK,483.29466501094,21748.4497386106,40152.4012467133,196.34703196347,0.605027932960894,0.493575418994413,27.5,0.801652908325195,155.653481984478,carnallite,162.605883539054
P-D01-REF-B,P-D01,8,REF,833.29466501094,22040.4803113914,40345.3212937829,0,0.1,0.3,0,0,9999,stable_external_reference,163.780466313583
P-H01-REF-A,P-H01,0,REF,-350,20805.1682884384,39576.9664926483,0,0.1,0.3,0,0,9999,stable_external_reference,159.92686035311
P-H01-W001,P-H01,1,WORK,0,21155.1682884384,39576.9664926483,170.238250682266,0.595138274469435,0.65,27.5,0.851239681243896,240.0121058111,carnallite,160.351209082805
P-H01-W002,P-H01,2,WORK,147.858230445309,21303.0265188837,39576.9664926483,176.712328767123,0.591620111731844,0.644134078212291,27.5,0.991735517978668,84.7280069437425,carnallite,160.573127570178
P-H01-W003,P-H01,3,WORK,332.910737809896,21488.0790262483,39576.9664926483,431.963470319634,0.591620111731844,0.644134078212291,27.5,0.917355358600616,23.6171755696076,carnallite,160.89713104882
P-H01-W004,P-H01,4,WORK,457.94827204922,21613.1165604876,39576.9664926483,215.981735159817,0.587150837988827,0.472067039106145,27.5,0.909090936183929,37.0154766390431,carnallite,161.149121570034
P-H01-W005,P-H01,5,WORK,623.784683772693,21778.9529722111,39576.9664926483,431.963470319634,0.587150837988827,0.472067039106145,27.5,0.942148745059967,97.6481288476939,carnallite,161.528978632177
P-H01-W006,P-H01,6,WORK,783.363342913565,21938.531631352,39576.9664926483,333.789954337899,0.587150837988827,0.540502793296089,27.5,0.809917330741882,158.280781056345,carnallite,161.947539291728
