requirement_id,category,requirement,value_or_formula,source,status
N-001,project_content,"Проект маркшейдерских работ должен содержать исходные данные, методы измерений, порядок обработки и уравнивания, оценку точности, допустимые/критические значения, прогнозируемые параметры и схемы пунктов.",mandatory,"Приказ Ростехнадзора №186, раздел II",active
N-002,observation_station,Инструментальные наблюдения за сдвижением горных пород и деформациями земной поверхности выполняются на наблюдательных станциях по утвержденному проекту.,mandatory,"Приказ Ростехнадзора №186, п. 49",active
N-003,initial_epoch,"Исходное положение реперов профильных линий определяется не менее чем по двум независимым сериям; каждая включает нивелирование, измерение расстояний и ординат реперов.",>=2 independent series,"Приказ Ростехнадзора №186, п. 54",active
N-004,reference_control,Высотное положение опорных реперов должно контролироваться относительно устойчивой исходной основы; в наборе проектно предусмотрены три и более исходных репера на профиль.,>=3 source benchmarks used for control,Проектное решение на основе требований к наблюдательной станции,active_in_synthetic_qc
N-005,frequency,Периодичность наблюдений задается проектом и должна адаптироваться к скорости процесса; в расчетном календаре сохранено не менее двух полных циклов в год плюс целевые циклы.,>=2 full cycles/year in scenario calendar,Проектное решение; Приказ №186,active_in_synthetic_qc
N-006,high_precision_level,Для высокоточного нивелирования в синтетическом журнале используется класс точности лучше 1 мм на 1 км двойного хода.,<1 mm/km double run,"Приказ №186, приложение 1",active_in_synthetic_qc
N-007,static_gnss_plan,"Высокоточная статическая GNSS: плановая составляющая 3 мм + 0,5 ppm.",3 mm + 0.5 ppm,"Приказ №186, приложение 1",active_in_synthetic_qc
N-008,static_gnss_height,"Высокоточная статическая GNSS: высотная составляющая 5 мм + 0,5 ppm.",5 mm + 0.5 ppm,"Приказ №186, приложение 1",active_in_synthetic_qc
N-009,rtk_gnss_height,GNSS RTK: высотная составляющая 15 мм + 1 ppm.,15 mm + 1 ppm,"Приказ №186, приложение 1",reference_only
N-010,deformation_level_closure,"Для контроля синтетических высотных ходов принят допуск невязки 3√L мм, где L — длина хода, км.",3*sqrt(L_km) mm,"Приказ №186, приложение 2, таблица 6",active_in_synthetic_qc
N-011,enterprise_limits,Допустимые и предельные деформации конкретного объекта должны поступать из проектной/предприятийской документации.,,Приказ №186 + проект объекта,required_missing
