design,model_id,dependence_measure,groups,rows,residual_correlation,interpretation
internal_temporal,B1_persistence_last_rate,within_profile_icc1,14,88,0.12850234036657657,descriptive_cluster_dependence_not_effective_sample_size_proof
internal_temporal,B1_persistence_last_rate,within_calendar_icc1,1,88,,descriptive_cluster_dependence_not_effective_sample_size_proof
internal_temporal,B1_persistence_last_rate,mean_pairwise_point_residual_correlation_within_profile,14,88,,descriptive_only_requires_repeated_target_dates
internal_temporal,B5_fixed_kalman,within_profile_icc1,14,88,0.1282852023779858,descriptive_cluster_dependence_not_effective_sample_size_proof
internal_temporal,B5_fixed_kalman,within_calendar_icc1,1,88,,descriptive_cluster_dependence_not_effective_sample_size_proof
internal_temporal,B5_fixed_kalman,mean_pairwise_point_residual_correlation_within_profile,14,88,,descriptive_only_requires_repeated_target_dates
internal_temporal,B6_adaptive_kalman,within_profile_icc1,14,88,0.1317746283474946,descriptive_cluster_dependence_not_effective_sample_size_proof
internal_temporal,B6_adaptive_kalman,within_calendar_icc1,1,88,,descriptive_cluster_dependence_not_effective_sample_size_proof
internal_temporal,B6_adaptive_kalman,mean_pairwise_point_residual_correlation_within_profile,14,88,,descriptive_only_requires_repeated_target_dates
internal_temporal,B7_two_regime_imm,within_profile_icc1,14,88,0.03697341146409772,descriptive_cluster_dependence_not_effective_sample_size_proof
internal_temporal,B7_two_regime_imm,within_calendar_icc1,1,88,,descriptive_cluster_dependence_not_effective_sample_size_proof
internal_temporal,B7_two_regime_imm,mean_pairwise_point_residual_correlation_within_profile,14,88,,descriptive_only_requires_repeated_target_dates
internal_temporal,B8_student_t_robust_imm,within_profile_icc1,14,88,0.10524894399106027,descriptive_cluster_dependence_not_effective_sample_size_proof
internal_temporal,B8_student_t_robust_imm,within_calendar_icc1,1,88,,descriptive_cluster_dependence_not_effective_sample_size_proof
internal_temporal,B8_student_t_robust_imm,mean_pairwise_point_residual_correlation_within_profile,14,88,,descriptive_only_requires_repeated_target_dates
train_leave_profile_out,B1_persistence_last_rate,within_profile_icc1,14,88,0.12850234036657657,descriptive_cluster_dependence_not_effective_sample_size_proof
train_leave_profile_out,B1_persistence_last_rate,within_calendar_icc1,1,88,,descriptive_cluster_dependence_not_effective_sample_size_proof
train_leave_profile_out,B1_persistence_last_rate,mean_pairwise_point_residual_correlation_within_profile,14,88,,descriptive_only_requires_repeated_target_dates
train_leave_profile_out,B5_fixed_kalman,within_profile_icc1,14,88,0.1282852023779858,descriptive_cluster_dependence_not_effective_sample_size_proof
train_leave_profile_out,B5_fixed_kalman,within_calendar_icc1,1,88,,descriptive_cluster_dependence_not_effective_sample_size_proof
train_leave_profile_out,B5_fixed_kalman,mean_pairwise_point_residual_correlation_within_profile,14,88,,descriptive_only_requires_repeated_target_dates
train_leave_profile_out,B6_adaptive_kalman,within_profile_icc1,14,88,0.13149708802227594,descriptive_cluster_dependence_not_effective_sample_size_proof
train_leave_profile_out,B6_adaptive_kalman,within_calendar_icc1,1,88,,descriptive_cluster_dependence_not_effective_sample_size_proof
train_leave_profile_out,B6_adaptive_kalman,mean_pairwise_point_residual_correlation_within_profile,14,88,,descriptive_only_requires_repeated_target_dates
train_leave_profile_out,B7_two_regime_imm,within_profile_icc1,14,88,0.03712972323648396,descriptive_cluster_dependence_not_effective_sample_size_proof
train_leave_profile_out,B7_two_regime_imm,within_calendar_icc1,1,88,,descriptive_cluster_dependence_not_effective_sample_size_proof
train_leave_profile_out,B7_two_regime_imm,mean_pairwise_point_residual_correlation_within_profile,14,88,,descriptive_only_requires_repeated_target_dates
train_leave_profile_out,B8_student_t_robust_imm,within_profile_icc1,14,88,0.10592665258099349,descriptive_cluster_dependence_not_effective_sample_size_proof
train_leave_profile_out,B8_student_t_robust_imm,within_calendar_icc1,1,88,,descriptive_cluster_dependence_not_effective_sample_size_proof
train_leave_profile_out,B8_student_t_robust_imm,mean_pairwise_point_residual_correlation_within_profile,14,88,,descriptive_only_requires_repeated_target_dates
train_leave_zone_out,B1_persistence_last_rate,within_profile_icc1,14,88,0.1285023403665765,descriptive_cluster_dependence_not_effective_sample_size_proof
train_leave_zone_out,B1_persistence_last_rate,within_calendar_icc1,1,88,,descriptive_cluster_dependence_not_effective_sample_size_proof
train_leave_zone_out,B1_persistence_last_rate,mean_pairwise_point_residual_correlation_within_profile,14,88,,descriptive_only_requires_repeated_target_dates
train_leave_zone_out,B5_fixed_kalman,within_profile_icc1,14,88,0.1282852023779858,descriptive_cluster_dependence_not_effective_sample_size_proof
train_leave_zone_out,B5_fixed_kalman,within_calendar_icc1,1,88,,descriptive_cluster_dependence_not_effective_sample_size_proof
train_leave_zone_out,B5_fixed_kalman,mean_pairwise_point_residual_correlation_within_profile,14,88,,descriptive_only_requires_repeated_target_dates
train_leave_zone_out,B6_adaptive_kalman,within_profile_icc1,14,88,0.12854315307106043,descriptive_cluster_dependence_not_effective_sample_size_proof
train_leave_zone_out,B6_adaptive_kalman,within_calendar_icc1,1,88,,descriptive_cluster_dependence_not_effective_sample_size_proof
train_leave_zone_out,B6_adaptive_kalman,mean_pairwise_point_residual_correlation_within_profile,14,88,,descriptive_only_requires_repeated_target_dates
train_leave_zone_out,B7_two_regime_imm,within_profile_icc1,14,88,0.04033428467487249,descriptive_cluster_dependence_not_effective_sample_size_proof
train_leave_zone_out,B7_two_regime_imm,within_calendar_icc1,1,88,,descriptive_cluster_dependence_not_effective_sample_size_proof
train_leave_zone_out,B7_two_regime_imm,mean_pairwise_point_residual_correlation_within_profile,14,88,,descriptive_only_requires_repeated_target_dates
train_leave_zone_out,B8_student_t_robust_imm,within_profile_icc1,14,88,0.10731627329524476,descriptive_cluster_dependence_not_effective_sample_size_proof
train_leave_zone_out,B8_student_t_robust_imm,within_calendar_icc1,1,88,,descriptive_cluster_dependence_not_effective_sample_size_proof
train_leave_zone_out,B8_student_t_robust_imm,mean_pairwise_point_residual_correlation_within_profile,14,88,,descriptive_only_requires_repeated_target_dates
train_rolling_origin,B1_persistence_last_rate,within_profile_icc1,14,292,0.07090903670769864,descriptive_cluster_dependence_not_effective_sample_size_proof
train_rolling_origin,B1_persistence_last_rate,within_calendar_icc1,5,292,0.04975749852657427,descriptive_cluster_dependence_not_effective_sample_size_proof
train_rolling_origin,B1_persistence_last_rate,mean_pairwise_point_residual_correlation_within_profile,14,292,0.4937392978764393,descriptive_only_requires_repeated_target_dates
train_rolling_origin,B5_fixed_kalman,within_profile_icc1,14,292,0.12373491295593168,descriptive_cluster_dependence_not_effective_sample_size_proof
train_rolling_origin,B5_fixed_kalman,within_calendar_icc1,5,292,0.04165100371733096,descriptive_cluster_dependence_not_effective_sample_size_proof
train_rolling_origin,B5_fixed_kalman,mean_pairwise_point_residual_correlation_within_profile,14,292,0.5286928266561862,descriptive_only_requires_repeated_target_dates
train_rolling_origin,B6_adaptive_kalman,within_profile_icc1,14,292,0.11705230942511725,descriptive_cluster_dependence_not_effective_sample_size_proof
train_rolling_origin,B6_adaptive_kalman,within_calendar_icc1,5,292,0.03963075822077475,descriptive_cluster_dependence_not_effective_sample_size_proof
train_rolling_origin,B6_adaptive_kalman,mean_pairwise_point_residual_correlation_within_profile,14,292,0.5309633490849468,descriptive_only_requires_repeated_target_dates
train_rolling_origin,B7_two_regime_imm,within_profile_icc1,14,292,0.06372930680965568,descriptive_cluster_dependence_not_effective_sample_size_proof
train_rolling_origin,B7_two_regime_imm,within_calendar_icc1,5,292,0.038606663846568856,descriptive_cluster_dependence_not_effective_sample_size_proof
train_rolling_origin,B7_two_regime_imm,mean_pairwise_point_residual_correlation_within_profile,14,292,0.48474291765100685,descriptive_only_requires_repeated_target_dates
train_rolling_origin,B8_student_t_robust_imm,within_profile_icc1,14,292,0.10175726497710438,descriptive_cluster_dependence_not_effective_sample_size_proof
train_rolling_origin,B8_student_t_robust_imm,within_calendar_icc1,5,292,0.034703937980872825,descriptive_cluster_dependence_not_effective_sample_size_proof
train_rolling_origin,B8_student_t_robust_imm,mean_pairwise_point_residual_correlation_within_profile,14,292,0.46144349809139257,descriptive_only_requires_repeated_target_dates
