task,reference_split,comparison_split,feature,reference_rows,comparison_rows,missing_fraction_reference,missing_fraction_comparison,feature_type,mean_reference,mean_comparison,std_reference,standardized_mean_difference,absolute_smd,total_variation_distance
T1,train,validation,n_history,911,130,0.0,0.0,numeric,7.549945115257958,13.569230769230769,3.0734651863414477,1.9584687930491809,1.9584687930491809,
T1,train,validation,last_settlement_mm,911,130,0.0,0.0,numeric,419.0318381028307,464.68641213053843,410.6172434970422,0.11118523333040832,0.11118523333040832,
T1,train,validation,last_rate_mm_y,911,130,0.0,0.0,numeric,31.97445301234346,41.99823501203615,23.6459282606121,0.42391154575181866,0.42391154575181866,
T1,train,validation,mean_last_3_rates_mm_y,911,130,0.0,0.0,numeric,32.52054638551887,40.33674510395,22.846483002106975,0.34211824715910527,0.34211824715910527,
T1,train,validation,std_last_3_rates_mm_y,911,130,0.0,0.0,numeric,4.071864236108275,5.4207887615430765,4.4012173977029,0.3064889560190409,0.3064889560190409,
T1,train,validation,recent_acceleration_mm_y2,911,130,0.0,0.0,numeric,-0.3449458456357401,1.2679021237184618,34.75962666890543,0.046400037167171046,0.046400037167171046,
T1,train,validation,current_standard_uncertainty_mm,911,130,0.0,0.0,numeric,0.8650803177455544,0.9499096155546154,0.2126434570012302,0.3989273829787777,0.3989273829787777,
T1,train,validation,days_since_previous_observation,911,130,0.0,0.0,numeric,170.17453347969266,161.43076923076924,63.51530969385915,-0.137663884362179,0.137663884362179,
T1,train,validation,forecast_horizon_days,911,130,0.0,0.0,numeric,159.34028540065862,146.6769230769231,43.830359931555925,-0.28891759829283226,0.28891759829283226,
T1,train,validation,current_campaign_type,911,130,0.0,0.0,categorical,,,,,,0.02843029637760705
T1,train,validation,missing_campaigns_since_previous,911,130,0.0,0.0,numeric,0.7244785949506037,0.7769230769230769,0.6125688001706278,0.08561402728618413,0.08561402728618413,
T1,train,validation,profile_mean_settlement_mm,911,130,0.0,0.0,numeric,322.6604800282766,353.9671713407692,278.70511606959394,0.11232908729481371,0.11232908729481371,
T1,train,validation,profile_mean_rate_mm_y,911,130,0.0,0.0,numeric,24.697949605337215,31.831613844684615,11.72677623786655,0.6083227047781741,0.6083227047781741,
T1,train,validation,profile_rate_std_mm_y,911,130,0.0,0.0,numeric,20.90299336931065,34.91921551427692,10.41826568434997,1.3453508069026354,1.3453508069026354,
T1,train,validation,profile_n_observed,911,130,0.0,0.0,numeric,8.646542261251373,8.661538461538461,0.5872657139623979,0.025535630517071955,0.025535630517071955,
T1,train,validation,chainage_m,911,130,0.0,0.0,numeric,270.15677130425905,284.82711148853843,205.64128053728257,0.07133947107287957,0.07133947107287957,
T1,train,validation,chainage_normalized_profile,911,130,0.0,0.0,numeric,0.5005184234286498,0.5012353555846154,0.14397724573300133,0.0049794823641444875,0.0049794823641444875,
T1,train,validation,kzt,911,130,0.0,0.0,numeric,0.44103174109045,0.47679764548615383,0.14981015652392937,0.23874151943757488,0.23874151943757488,
T1,train,validation,kzt__standard_uncertainty,911,130,0.0,0.0,numeric,0.048684760470439084,0.04844577937753846,0.023315461578682473,-0.010249897566648493,0.010249897566648493,
T1,train,validation,kzt__donor_distance_m,911,130,0.0,0.0,numeric,34.246822096816686,33.55535188046154,56.84102313840332,-0.012164985395696963,0.012164985395696963,
T1,train,validation,kzt__provenance,911,130,0.0,0.0,categorical,,,,,,0.004010808072278965
T1,train,validation,ko,911,130,0.0,0.0,numeric,0.48985639832173444,0.49719021267153846,0.1110683621813199,0.06602973345219144,0.06602973345219144,
T1,train,validation,ko__standard_uncertainty,911,130,0.0,0.0,numeric,0.017051393320318336,0.017709126820692308,0.006876801085727701,0.09564527055160138,0.09564527055160138,
T1,train,validation,ko__donor_distance_m,911,130,0.0,0.0,numeric,10.440948952568606,12.987526007384615,25.215771602809625,0.10099143880777618,0.10099143880777618,
T1,train,validation,ko__provenance,911,130,0.0,0.0,categorical,,,,,,0.03424807903402852
T1,train,validation,seismic_energy_J_m2,911,130,0.0,0.0,numeric,15.980650765565313,18.38251240523077,9.693502884752538,0.24778056686231367,0.24778056686231367,
T1,train,validation,seismic_energy_J_m2__standard_uncertainty,911,130,0.0,0.0,numeric,1.6087846045257954,1.6233699639615384,0.7087563004462875,0.020578807449837064,0.020578807449837064,
T1,train,validation,seismic_energy_J_m2__donor_distance_m,911,130,0.0,0.0,numeric,17.636804742535674,18.25396835253846,33.630252173889815,0.01835144163688273,0.01835144163688273,
T1,train,validation,seismic_energy_J_m2__provenance,911,130,0.0,0.0,categorical,,,,,,0.00906864814658448
T1,train,validation,fill_density,911,130,0.0,0.0,numeric,0.6273189941695697,0.6664335672861846,0.3529009218098888,0.11083726536052045,0.11083726536052045,
T1,train,validation,fill_density__standard_uncertainty,911,130,0.0,0.0,numeric,0.08,0.08,0.0,,,
T1,train,validation,fill_density__donor_distance_m,911,130,0.0,0.0,numeric,19.22401544085071,18.452320952607693,7.217911467855029,-0.10691382010984192,0.10691382010984192,
T1,train,validation,fill_density__provenance,911,130,0.0,0.0,categorical,,,,,,0.0
T1,train,validation,fault_distance_m,911,130,0.0,0.0,numeric,249.04783349469815,229.8952096738923,223.4221474379594,-0.08572392683730787,0.08572392683730787,
T1,train,validation,fault_distance_m__standard_uncertainty,911,130,0.0,0.0,numeric,25.0,25.0,0.0,,,
T1,train,validation,fault_distance_m__donor_distance_m,911,130,0.0,0.0,numeric,19.22401544085071,18.452320952607693,7.217911467855029,-0.10691382010984192,0.10691382010984192,
T1,train,validation,fault_distance_m__provenance,911,130,0.0,0.0,categorical,,,,,,0.0
T1,train,validation,lithology,911,130,0.0,0.0,categorical,,,,,,0.037135860846069416
T1,train,validation,lithology__standard_uncertainty,911,130,1.0,1.0,numeric,,,,,,
T1,train,validation,lithology__donor_distance_m,911,130,0.0,0.0,numeric,5.027784107189901,5.805334020692308,15.315800523354596,0.05076782714143766,0.05076782714143766,
T1,train,validation,lithology__provenance,911,130,0.0,0.0,categorical,,,,,,0.01769821835683527
T1,train,validation,terrain_TRI_relative,911,130,0.30954994511525796,0.35384615384615387,numeric,0.2594152976543243,0.2269841269885476,0.19582200505481356,-0.1656155581529191,0.1656155581529191,
T1,train,validation,terrain_TRI_relative__standard_uncertainty,911,130,0.0,0.0,numeric,0.09999999999999999,0.09999999999999999,1.3877787807814457e-17,0.0,0.0,
T1,train,validation,terrain_TRI_relative__donor_distance_m,911,130,0.0,0.0,numeric,19.22401544085071,18.452320952607693,7.217911467855029,-0.10691382010984192,0.10691382010984192,
T1,train,validation,terrain_TRI_relative__provenance,911,130,0.0,0.0,categorical,,,,,,0.0
