outer_fold_id,inner_fold_id,model_id,seed,parameter_sha256,sample_id,y_pred,absolute_error,crps,nll,y_true,provenance_role
rolling_origin_2023-05-16,rolling_origin_2023-05-16__inner_1_2022-07-19,C01_compact_gru,42117,51c5278fc47558298dc8cd4a6780705a3e235a29631486ac50484b2f5c3a376b,P-D01-W002::C016::C017,45.00453261667449,0.015442027373048,,,45.01997464404754,inner_validation_within_outer_train
rolling_origin_2023-05-16,rolling_origin_2023-05-16__inner_1_2022-07-19,C01_compact_gru,42117,51c5278fc47558298dc8cd4a6780705a3e235a29631486ac50484b2f5c3a376b,P-D01-W005::C016::C017,38.64764601513382,4.097012450342419,,,42.74465846547624,inner_validation_within_outer_train
rolling_origin_2023-05-16,rolling_origin_2023-05-16__inner_1_2022-07-19,C01_compact_gru,42117,51c5278fc47558298dc8cd4a6780705a3e235a29631486ac50484b2f5c3a376b,P-D01-W006::C016::C017,44.54162276236073,32.8414406054965,,,77.38306336785723,inner_validation_within_outer_train
rolling_origin_2023-05-16,rolling_origin_2023-05-16__inner_1_2022-07-19,C01_compact_gru,42117,51c5278fc47558298dc8cd4a6780705a3e235a29631486ac50484b2f5c3a376b,P-D01-W007::C016::C017,23.48543403692591,1.9494099000211875,,,21.53602413690472,inner_validation_within_outer_train
rolling_origin_2023-05-16,rolling_origin_2023-05-16__inner_1_2022-07-19,C01_compact_gru,42117,51c5278fc47558298dc8cd4a6780705a3e235a29631486ac50484b2f5c3a376b,P-H03-W001::C016::C017,44.42331440138753,3.8681940216256407,,,40.55512037976189,inner_validation_within_outer_train
rolling_origin_2023-05-16,rolling_origin_2023-05-16__inner_1_2022-07-19,C01_compact_gru,42117,51c5278fc47558298dc8cd4a6780705a3e235a29631486ac50484b2f5c3a376b,P-H03-W002::C016::C017,43.34569413333672,4.919302392853936,,,48.26499652619066,inner_validation_within_outer_train
rolling_origin_2023-05-16,rolling_origin_2023-05-16__inner_1_2022-07-19,C01_compact_gru,42117,51c5278fc47558298dc8cd4a6780705a3e235a29631486ac50484b2f5c3a376b,P-H03-W004::C016::C017,40.68335712052706,8.68036184494946,,,49.36371896547652,inner_validation_within_outer_train
rolling_origin_2023-05-16,rolling_origin_2023-05-16__inner_1_2022-07-19,C01_compact_gru,42117,51c5278fc47558298dc8cd4a6780705a3e235a29631486ac50484b2f5c3a376b,P-H03-W006::C016::C017,44.510123798623184,9.705610372805369,,,54.21573417142855,inner_validation_within_outer_train
rolling_origin_2023-05-16,rolling_origin_2023-05-16__inner_1_2022-07-19,C01_compact_gru,42117,51c5278fc47558298dc8cd4a6780705a3e235a29631486ac50484b2f5c3a376b,P-H04-W002::C016::C017,34.38354881993074,24.195977847311475,,,10.18757097261926,inner_validation_within_outer_train
rolling_origin_2023-05-16,rolling_origin_2023-05-16__inner_1_2022-07-19,C01_compact_gru,42117,51c5278fc47558298dc8cd4a6780705a3e235a29631486ac50484b2f5c3a376b,P-H04-W003::C016::C017,39.01088559487148,31.67452569368067,,,7.336359901190802,inner_validation_within_outer_train
rolling_origin_2023-05-16,rolling_origin_2023-05-16__inner_1_2022-07-19,C01_compact_gru,42117,51c5278fc47558298dc8cd4a6780705a3e235a29631486ac50484b2f5c3a376b,P-H04-W004::C016::C017,24.87356831312316,23.49276619764698,,,1.3808021154761807,inner_validation_within_outer_train
rolling_origin_2023-05-16,rolling_origin_2023-05-16__inner_1_2022-07-19,C01_compact_gru,42117,51c5278fc47558298dc8cd4a6780705a3e235a29631486ac50484b2f5c3a376b,P-H04-W005::C016::C017,36.720906539691896,16.285245568263313,,,20.435660971428582,inner_validation_within_outer_train
rolling_origin_2023-05-16,rolling_origin_2023-05-16__inner_1_2022-07-19,C01_compact_gru,42117,51c5278fc47558298dc8cd4a6780705a3e235a29631486ac50484b2f5c3a376b,P-H04-W006::C016::C017,37.207942585036605,4.057326740989012,,,33.15061584404759,inner_validation_within_outer_train
rolling_origin_2023-05-16,rolling_origin_2023-05-16__inner_1_2022-07-19,C01_compact_gru,42118,51c5278fc47558298dc8cd4a6780705a3e235a29631486ac50484b2f5c3a376b,P-D01-W002::C016::C017,45.1977007254072,0.1777260813596655,,,45.01997464404754,inner_validation_within_outer_train
rolling_origin_2023-05-16,rolling_origin_2023-05-16__inner_1_2022-07-19,C01_compact_gru,42118,51c5278fc47558298dc8cd4a6780705a3e235a29631486ac50484b2f5c3a376b,P-D01-W005::C016::C017,37.410059512527695,5.3345989529485465,,,42.74465846547624,inner_validation_within_outer_train
rolling_origin_2023-05-16,rolling_origin_2023-05-16__inner_1_2022-07-19,C01_compact_gru,42118,51c5278fc47558298dc8cd4a6780705a3e235a29631486ac50484b2f5c3a376b,P-D01-W006::C016::C017,40.16552901445333,37.21753435340391,,,77.38306336785723,inner_validation_within_outer_train
rolling_origin_2023-05-16,rolling_origin_2023-05-16__inner_1_2022-07-19,C01_compact_gru,42118,51c5278fc47558298dc8cd4a6780705a3e235a29631486ac50484b2f5c3a376b,P-D01-W007::C016::C017,24.364087639814347,2.8280635029096253,,,21.53602413690472,inner_validation_within_outer_train
rolling_origin_2023-05-16,rolling_origin_2023-05-16__inner_1_2022-07-19,C01_compact_gru,42118,51c5278fc47558298dc8cd4a6780705a3e235a29631486ac50484b2f5c3a376b,P-H03-W001::C016::C017,43.59937533532823,3.0442549555663447,,,40.55512037976189,inner_validation_within_outer_train
