model_id,reference_model_id,cluster_column,left_out_cluster,remaining_rows,mean_absolute_error_delta
B1_persistence_last_rate,B7_two_regime_imm,profile_id,P-D01,543,0.6544450487094884
B1_persistence_last_rate,B7_two_regime_imm,profile_id,P-H01,548,0.7535329794967814
B1_persistence_last_rate,B7_two_regime_imm,profile_id,P-H02,544,0.6816350146992922
B1_persistence_last_rate,B7_two_regime_imm,profile_id,P-H03,546,0.7222268942012241
B1_persistence_last_rate,B7_two_regime_imm,profile_id,P-H04,535,0.5638017230089628
B1_persistence_last_rate,B7_two_regime_imm,profile_id,P-H05,561,0.6749120580209546
B1_persistence_last_rate,B7_two_regime_imm,profile_id,P-H06,558,0.675673180991266
B1_persistence_last_rate,B7_two_regime_imm,profile_id,P-H07,563,0.6575504945481165
B1_persistence_last_rate,B7_two_regime_imm,profile_id,P-V01,558,0.6798691601555626
B1_persistence_last_rate,B7_two_regime_imm,profile_id,P-V02,556,0.6247053143385937
B1_persistence_last_rate,B7_two_regime_imm,profile_id,P-V03,553,0.6813169624051302
B1_persistence_last_rate,B7_two_regime_imm,profile_id,P-V04,558,0.6181800761270527
B1_persistence_last_rate,B7_two_regime_imm,profile_id,P-V05,560,0.6849814650745396
B1_persistence_last_rate,B7_two_regime_imm,profile_id,P-V06,552,0.7235413380850885
B3_profile_robust_trend,B1_persistence_last_rate,profile_id,P-D01,543,0.6609907648836293
B3_profile_robust_trend,B1_persistence_last_rate,profile_id,P-H01,548,0.8433320608267884
B3_profile_robust_trend,B1_persistence_last_rate,profile_id,P-H02,544,0.80612634790211
B3_profile_robust_trend,B1_persistence_last_rate,profile_id,P-H03,546,1.0527874589434807
B3_profile_robust_trend,B1_persistence_last_rate,profile_id,P-H04,535,1.163586432812453
B3_profile_robust_trend,B1_persistence_last_rate,profile_id,P-H05,561,1.0732695564446257
B3_profile_robust_trend,B1_persistence_last_rate,profile_id,P-H06,558,1.051847915831517
B3_profile_robust_trend,B1_persistence_last_rate,profile_id,P-H07,563,1.0213472795995453
B3_profile_robust_trend,B1_persistence_last_rate,profile_id,P-V01,558,1.0758548474115153
B3_profile_robust_trend,B1_persistence_last_rate,profile_id,P-V02,556,1.047127731904316
B3_profile_robust_trend,B1_persistence_last_rate,profile_id,P-V03,553,1.0069715252317066
B3_profile_robust_trend,B1_persistence_last_rate,profile_id,P-V04,558,0.9996373020571111
B3_profile_robust_trend,B1_persistence_last_rate,profile_id,P-V05,560,1.0550120160253231
B3_profile_robust_trend,B1_persistence_last_rate,profile_id,P-V06,552,0.9950391199413485
B3_profile_robust_trend,B7_two_regime_imm,profile_id,P-D01,543,1.3154358135931177
B3_profile_robust_trend,B7_two_regime_imm,profile_id,P-H01,548,1.5968650403235696
B3_profile_robust_trend,B7_two_regime_imm,profile_id,P-H02,544,1.4877613626014021
B3_profile_robust_trend,B7_two_regime_imm,profile_id,P-H03,546,1.775014353144705
B3_profile_robust_trend,B7_two_regime_imm,profile_id,P-H04,535,1.7273881558214157
B3_profile_robust_trend,B7_two_regime_imm,profile_id,P-H05,561,1.7481816144655808
B3_profile_robust_trend,B7_two_regime_imm,profile_id,P-H06,558,1.727521096822783
B3_profile_robust_trend,B7_two_regime_imm,profile_id,P-H07,563,1.678897774147662
B3_profile_robust_trend,B7_two_regime_imm,profile_id,P-V01,558,1.7557240075670781
B3_profile_robust_trend,B7_two_regime_imm,profile_id,P-V02,556,1.6718330462429098
B3_profile_robust_trend,B7_two_regime_imm,profile_id,P-V03,553,1.6882884876368367
B3_profile_robust_trend,B7_two_regime_imm,profile_id,P-V04,558,1.6178173781841638
B3_profile_robust_trend,B7_two_regime_imm,profile_id,P-V05,560,1.7399934810998627
B3_profile_robust_trend,B7_two_regime_imm,profile_id,P-V06,552,1.7185804580264372
B5_fixed_kalman,B1_persistence_last_rate,profile_id,P-D01,543,-0.11781555592283557
B5_fixed_kalman,B1_persistence_last_rate,profile_id,P-H01,548,-0.06599852476247264
B5_fixed_kalman,B1_persistence_last_rate,profile_id,P-H02,544,-0.2469114535737525
B5_fixed_kalman,B1_persistence_last_rate,profile_id,P-H03,546,-0.05704831215225485
B5_fixed_kalman,B1_persistence_last_rate,profile_id,P-H04,535,0.15350509769597398
B5_fixed_kalman,B1_persistence_last_rate,profile_id,P-H05,561,0.028035986050131197
B5_fixed_kalman,B1_persistence_last_rate,profile_id,P-H06,558,0.02747769019536642
B5_fixed_kalman,B1_persistence_last_rate,profile_id,P-H07,563,0.03165825631842338
B5_fixed_kalman,B1_persistence_last_rate,profile_id,P-V01,558,-0.001877304840483644
B5_fixed_kalman,B1_persistence_last_rate,profile_id,P-V02,556,0.06412286749263299
B5_fixed_kalman,B1_persistence_last_rate,profile_id,P-V03,553,0.022547191219989215
B5_fixed_kalman,B1_persistence_last_rate,profile_id,P-V04,558,0.041433393718729186
B5_fixed_kalman,B1_persistence_last_rate,profile_id,P-V05,560,0.008295512521054859
B5_fixed_kalman,B1_persistence_last_rate,profile_id,P-V06,552,-0.034439834077791186
B5_fixed_kalman,B7_two_regime_imm,profile_id,P-D01,543,0.5366294927866528
B5_fixed_kalman,B7_two_regime_imm,profile_id,P-H01,548,0.6875344547343086
B5_fixed_kalman,B7_two_regime_imm,profile_id,P-H02,544,0.4347235611255398
B5_fixed_kalman,B7_two_regime_imm,profile_id,P-H03,546,0.6651785820489692
B5_fixed_kalman,B7_two_regime_imm,profile_id,P-H04,535,0.7173068207049367
